sequence_length,worst_R,best_R,sample
10,-7.5276000000000005,11.8148,FULL_DATASET
20,-13.6508,14.819600000000001,FULL_DATASET
50,-12.771999999999998,21.2512,FULL_DATASET
100,-10.7684,32.4116,FULL_DATASET
10,-7.5276000000000005,10.740400000000001,DEVELOPMENT
20,-13.6508,12.8784,DEVELOPMENT
50,-12.771999999999998,19.3972,DEVELOPMENT
100,-10.7684,21.131200000000003,DEVELOPMENT
10,-6.2288,11.8148,HOLDOUT_OOS
20,-6.3908,14.8196,HOLDOUT_OOS
50,-3.9512,21.2512,HOLDOUT_OOS
100,6.029999999999999,32.4116,HOLDOUT_OOS
