failure_type,trades,win_rate,mean_R,median_R,total_R,mean_MFE_R,mean_MAE_R,median_MFE_R,median_MAE_R,mean_time_to_MFE,mean_time_to_MAE
STOP,193,0.0,-1.0444,-1.0444,-201.5692,0.37834196891191707,1.1933678756476684,0.28,1.11,2.538860103626943,8.575129533678757
TARGET,115,1.0,1.7056,1.7056,196.144,2.0131304347826084,0.32591304347826083,1.93,0.3,10.808695652173913,2.5217391304347827
TIMEOUT_FLAT,1,0.0,-0.0443999999999999,-0.0443999999999999,-0.0443999999999999,1.7,0.44,1.7,0.44,3.0,17.0
TIMEOUT_LOSS,92,0.0,-0.44342173913043476,-0.4044,-40.794799999999995,0.5520652173913043,0.7082608695652174,0.505,0.725,6.891304347826087,12.73913043478261
TIMEOUT_WIN,136,0.9485294117647058,0.5111882352941177,0.4656,69.5216,1.0675735294117648,0.47919117647058823,1.065,0.45,13.522058823529411,6.647058823529412
