window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,14,-17.270000000000003,-14.889999999999997,2.380000000000006,0.2631578947368421,0.05263157894736842,0.24814976055724858,0.016512549537648614,-16.51,-14.189999999999996
13,1,1,1.46,-0.7,-2.16,1.0,0.0,inf,0.0,0.0,0.0
14,20,16,-6.62,-10.129999999999997,-3.509999999999997,0.3,0.15,0.4380305602716469,0.14945424013434092,-7.8100000000000005,-9.43
15,3,1,-3.53,-3.57,-0.040000000000000036,0.0,0.0,0.0,0.0,-2.8699999999999997,-2.87
16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5,2.4935064935064934,2.742857142857143,-0.77,-0.7
18,9,5,-6.6899999999999995,-8.939999999999998,-2.2499999999999982,0.2222222222222222,0.0,0.053748231966053744,0.0,-4.489999999999999,-6.719999999999999
19,2,2,-0.41999999999999993,-1.4,-0.98,0.5,0.0,0.8839779005524863,0.0,0.0,-0.7
20,33,24,-26.269999999999996,-28.029999999999998,-1.7600000000000016,0.2727272727272727,0.06060606060606061,0.3101365546218487,0.07277538868673503,-27.070000000000004,-27.32999999999999
21,1,1,3.94,-0.7,-4.64,1.0,0.0,inf,0.0,0.0,0.0
22,10,8,-11.400000000000002,-7.21,4.190000000000002,0.1,0.1,0.03307888040712468,0.05131578947368422,-8.63,-6.51
