sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct,index,window,triggered,crossing_bar
HOLDOUT,0.7,2,,,-1.31,-1.31,,,,,,,,,,,,,,,,102,12.0,False,
HOLDOUT,0.7,2,,,0.25,0.25,,,,,,,,,,,,,,,,103,12.0,False,
HOLDOUT,0.7,2,,,-0.64,-0.64,,,,,,,,,,,,,,,,104,12.0,False,
HOLDOUT,0.7,2,,,-1.46,-1.46,,,,,,,,,,,,,,,,105,12.0,False,
HOLDOUT,0.7,2,,,-0.63,-0.63,,,,,,,,,,,,,,,,106,12.0,False,
HOLDOUT,0.7,2,,,1.46,-0.81,,,,,,,,,,,,,,,,107,12.0,True,2.0
HOLDOUT,0.7,2,,,-2.49,-0.74,,,,,,,,,,,,,,,,108,12.0,True,1.0
HOLDOUT,0.7,2,,,1.37,-0.42,,,,,,,,,,,,,,,,109,12.0,True,2.0
HOLDOUT,0.7,2,,,-1.29,-1.29,,,,,,,,,,,,,,,,110,12.0,False,
HOLDOUT,0.7,2,,,-4.12,-1.17,,,,,,,,,,,,,,,,111,12.0,True,2.0
HOLDOUT,0.7,2,,,-1.57,-1.57,,,,,,,,,,,,,,,,112,12.0,False,
HOLDOUT,0.7,2,,,-1.76,-1.76,,,,,,,,,,,,,,,,113,12.0,False,
HOLDOUT,0.7,2,,,1.46,1.46,,,,,,,,,,,,,,,,114,13.0,False,
HOLDOUT,0.7,2,,,-0.77,-0.38,,,,,,,,,,,,,,,,115,14.0,True,1.0
HOLDOUT,0.7,2,,,0.17,-0.53,,,,,,,,,,,,,,,,116,14.0,True,2.0
