sample,block_length,trades,observed_total_R,observed_mean_R,observed_win_rate,observed_profit_factor,observed_max_drawdown_R,negative_probability,total_R_p05,total_R_p50,total_R_p95,mean_R_p05,mean_R_p50,mean_R_p95,win_rate_p05,win_rate_p50,win_rate_p95,max_DD_p05,max_DD_p50,max_DD_p95,prob_DD_le_10R,prob_DD_le_15R,prob_DD_le_20R,prob_DD_le_25R
FULL_DATASET,5,537,49.26520000000001,0.09174152700186221,0.5065176908752328,1.2375600347188738,-16.581599999999987,0.0252,7.675980000000006,49.485800000000005,90.81745999999998,0.014294189944134091,0.09215232774674117,0.1691200372439478,0.47113594040968343,0.5065176908752328,0.5418994413407822,-28.654079999999983,-15.571799999999996,-9.495620000000006,0.9245,0.5402,0.2432,0.1035
FULL_DATASET,10,537,49.26520000000001,0.09174152700186221,0.5065176908752328,1.2375600347188738,-16.581599999999987,0.0274,6.521560000000003,49.6144,93.40862000000001,0.012144432029795165,0.09239180633147115,0.1739452886405959,0.47113594040968343,0.5065176908752328,0.5418994413407822,-30.04161999999998,-16.24219999999999,-9.70898,0.9379,0.5931,0.2767,0.1212
FULL_DATASET,20,537,49.26520000000001,0.09174152700186221,0.5065176908752328,1.2375600347188738,-16.581599999999987,0.0369,4.324380000000006,49.48680000000001,93.768,0.008052849162011185,0.0921541899441341,0.1746145251396648,0.47113594040968343,0.5065176908752328,0.5418994413407822,-31.738159999999986,-17.013800000000053,-9.987039999999993,0.9493,0.6412,0.3249,0.1533
DEVELOPMENT,5,320,14.920000000000003,0.046625000000000014,0.484375,1.1271310642881003,-16.581599999999987,0.2175,-16.769360000000006,14.758200000000002,45.53725999999999,-0.05240425000000001,0.04611937500000001,0.14230393749999995,0.434375,0.484375,0.53125,-31.491199999999964,-15.590799999999998,-8.655900000000017,0.8832,0.5413,0.2829,0.1368
DEVELOPMENT,10,320,14.920000000000003,0.046625000000000014,0.484375,1.1271310642881003,-16.581599999999987,0.223,-16.850779999999997,15.270200000000003,47.74312,-0.05265868749999999,0.04771937500000001,0.14919725,0.4375,0.484375,0.53125,-32.33753999999999,-16.151799999999998,-8.850739999999998,0.9014,0.5763,0.3049,0.1494
DEVELOPMENT,20,320,14.920000000000003,0.046625000000000014,0.484375,1.1271310642881003,-16.581599999999987,0.2263,-19.331899999999994,14.852800000000002,48.173259999999985,-0.060412187499999985,0.04641500000000001,0.15054143749999996,0.4375,0.484375,0.528125,-35.84589999999999,-17.239,-9.236460000000005,0.9231,0.6334,0.3684,0.201
HOLDOUT_OOS,5,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.381525158630006,-7.7644000000000055,0.0168,7.774020000000003,34.56100000000001,61.445499999999996,0.03582497695852536,0.1592672811059908,0.2831589861751152,0.4930875576036866,0.5391705069124424,0.5852534562211982,-17.104099999999992,-9.2854,-5.641940000000001,0.4147,0.0986,0.0193,0.0039
HOLDOUT_OOS,10,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.381525158630006,-7.7644000000000055,0.0177,6.865560000000001,33.94680000000001,62.1929,0.03163852534562213,0.15643686635944704,0.2866032258064516,0.4930875576036866,0.5391705069124424,0.5898617511520737,-17.43316,-9.562000000000001,-5.697480000000007,0.4506,0.1087,0.0225,0.0044
HOLDOUT_OOS,20,217,34.345200000000006,0.15827281105990787,0.5391705069124424,1.381525158630006,-7.7644000000000055,0.0167,7.244680000000005,34.1212,62.96224000000001,0.03338562211981569,0.15724055299539172,0.2901485714285715,0.48847926267281105,0.5391705069124424,0.5898617511520737,-15.73122,-9.142800000000003,-5.7276000000000025,0.3887,0.0641,0.0097,0.0012
