mae_threshold,recovery_level,recovery_horizon,trades,triggered_trades,recovered_trades,recovery_pct,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF
0.7,0.0,2,95,95,5,0.05263157894736842,-67.49,-53.620000000000005,13.86999999999999,0.21052631578947367,0.06315789473684211,-0.14736842105263157,0.18559189091347894,0.11982928430728823
0.8,0.0,2,95,80,7,0.0875,-67.49,-53.980000000000004,13.509999999999991,0.21052631578947367,0.12631578947368421,-0.08421052631578946,0.18559189091347894,0.16101958346285358
0.7,1.0,3,95,95,0,0.0,-67.49,-54.56,12.929999999999993,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.09263262930317645
0.7,0.25,3,95,95,5,0.05263157894736842,-67.49,-54.830000000000005,12.65999999999999,0.21052631578947367,0.12631578947368421,-0.08421052631578946,0.18559189091347894,0.11933825891423061
0.8,0.5,1,95,80,0,0.0,-67.49,-54.99,12.499999999999993,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.08821091029679987
0.8,0.75,1,95,80,0,0.0,-67.49,-54.99,12.499999999999993,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.08821091029679987
0.8,1.0,1,95,80,0,0.0,-67.49,-54.99,12.499999999999993,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.08821091029679987
0.7,0.5,2,95,95,0,0.0,-67.49,-55.480000000000004,12.009999999999991,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.05598094265781862
0.7,0.75,2,95,95,0,0.0,-67.49,-55.480000000000004,12.009999999999991,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.05598094265781862
0.7,1.0,2,95,95,0,0.0,-67.49,-55.480000000000004,12.009999999999991,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.05598094265781862
0.8,0.5,2,95,80,0,0.0,-67.49,-55.730000000000004,11.759999999999991,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.09426296115715913
0.8,0.75,2,95,80,0,0.0,-67.49,-55.730000000000004,11.759999999999991,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.09426296115715913
0.8,1.0,2,95,80,0,0.0,-67.49,-55.730000000000004,11.759999999999991,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.09426296115715913
0.7,0.25,2,95,95,2,0.021052631578947368,-67.49,-55.89,11.599999999999994,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.08136094674556214
0.8,0.0,1,95,80,2,0.025,-67.49,-56.120000000000005,11.36999999999999,0.21052631578947367,0.09473684210526316,-0.11578947368421051,0.18559189091347894,0.10948905109489052
0.8,0.25,1,95,80,2,0.025,-67.49,-56.120000000000005,11.36999999999999,0.21052631578947367,0.09473684210526316,-0.11578947368421051,0.18559189091347894,0.10948905109489052
0.8,0.25,2,95,80,2,0.025,-67.49,-56.14,11.349999999999994,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.11729559748427676
0.7,0.5,1,95,95,0,0.0,-67.49,-56.620000000000005,10.86999999999999,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05206763770299683
0.7,0.75,1,95,95,0,0.0,-67.49,-56.620000000000005,10.86999999999999,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05206763770299683
0.7,1.0,1,95,95,0,0.0,-67.49,-56.620000000000005,10.86999999999999,0.21052631578947367,0.05263157894736842,-0.15789473684210525,0.18559189091347894,0.05206763770299683
