trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,window,validation_start,validation_end
45,24,21,0.5333333333333333,0.18061111111111122,0.157,8.127500000000005,1.5179885918230778,-3.153999999999998,3,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
54,19,35,0.35185185185185186,-0.1666111111111111,-0.518,-8.997,0.7097039606356379,-16.284499999999998,6,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
1,1,0,1.0,0.24450000000000002,0.24450000000000002,0.24450000000000002,inf,0.0,0,3,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
50,29,21,0.58,0.21375000000000002,0.20700000000000002,10.687500000000002,1.5434644428059294,-5.622,4,4,2022-02-06 09:30:00-05:00,2022-05-06 09:30:00-04:00
7,4,3,0.5714285714285714,-0.5179999999999999,0.23200000000000004,-3.6259999999999994,0.5159847827537877,-7.4915,3,5,2022-05-06 09:30:00-04:00,2022-08-06 09:30:00-04:00
17,10,7,0.5882352941176471,0.40479411764705886,0.4445,6.881500000000001,2.274115904462137,-2.2234999999999996,2,6,2022-08-06 09:30:00-04:00,2022-11-06 09:30:00-05:00
27,17,10,0.6296296296296297,0.4986666666666667,0.507,13.464,2.6689185001549434,-2.6235,2,7,2022-11-06 09:30:00-05:00,2023-02-06 09:30:00-05:00
0,0,0,,,,0.0,,,0,8,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
27,10,17,0.37037037037037035,-0.22355555555555554,-0.39299999999999996,-6.036,0.6755885198323123,-9.881,5,9,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
6,5,1,0.8333333333333334,1.0236666666666667,1.3695,6.142,7.428048142333856,0.0,1,10,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
31,15,16,0.4838709677419355,0.08280645161290323,-0.005499999999999994,2.567,1.1980251484995759,-4.797000000000001,4,11,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
40,20,20,0.5,0.0010625000000000439,0.10700000000000001,0.04250000000000176,1.0019386475082679,-4.8205,3,12,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
33,15,18,0.45454545454545453,-0.16648484848484843,-0.493,-5.493999999999998,0.7972618915827153,-7.7745,4,13,2024-05-06 09:30:00-04:00,2024-08-06 09:30:00-04:00
42,28,14,0.6666666666666666,0.45491666666666675,0.26325,19.106500000000004,2.4695046915859105,-3.9914999999999985,3,14,2024-08-06 09:30:00-04:00,2024-11-06 09:30:00-05:00
36,22,14,0.6111111111111112,-0.10793055555555549,0.23200000000000004,-3.8854999999999977,0.7884233167252035,-6.487499999999998,2,15,2024-11-06 09:30:00-05:00,2025-02-06 09:30:00-05:00
8,6,2,0.75,0.7773125000000001,1.6945000000000001,6.218500000000001,3.173540720027963,-2.2540000000000004,1,16,2025-02-06 09:30:00-05:00,2025-05-06 09:30:00-04:00
6,4,2,0.6666666666666666,0.4236666666666667,0.49450000000000005,2.5420000000000003,2.3845315904139435,-1.2555,1,17,2025-05-06 09:30:00-04:00,2025-08-06 09:30:00-04:00
6,3,3,0.5,-0.13049999999999992,0.44450000000000006,-0.7829999999999996,0.8665302991562261,-2.743,1,18,2025-08-06 09:30:00-04:00,2025-11-06 09:30:00-05:00
58,34,24,0.5862068965517241,-0.05463793103448271,0.1945,-3.168999999999997,0.9090204409738174,-14.023999999999997,4,19,2025-11-06 09:30:00-05:00,2026-02-06 09:30:00-05:00
70,34,36,0.4857142857142857,-0.11299999999999993,-0.08049999999999999,-7.909999999999996,0.8223390157895918,-10.175499999999996,5,20,2026-02-06 09:30:00-05:00,2026-05-06 09:30:00-04:00
2,2,0,1.0,0.72575,0.72575,1.4515,inf,0.0,0,21,2026-05-06 09:30:00-04:00,2026-08-06 09:30:00-04:00
12,7,5,0.5833333333333334,0.09866666666666668,0.15075000000000002,1.1840000000000002,1.18528951486698,-2.9735,2,22,2026-08-06 09:30:00-04:00,2026-08-26 15:59:00-04:00
