rule,block,windows,trades,benchmark_total_R,strategy_total_R,delta_R,benchmark_mean_R,strategy_mean_R,benchmark_WR,strategy_WR,benchmark_DD,strategy_DD,delta_DD
RULE_A,EARLY_OOS,"12,13,14,15",43,-25.96,-24.599999999999994,1.3600000000000065,-0.6037209302325581,-0.5720930232558138,0.27906976744186046,0.27906976744186046,-25.2,-23.139999999999997,2.0600000000000023
RULE_A,MID_OOS,"16,18,19",13,-5.96,-3.1399999999999997,2.8200000000000003,-0.4584615384615385,-0.2415384615384615,0.3076923076923077,0.46153846153846156,-11.08,-5.040000000000001,6.039999999999999
RULE_A,LATE_OOS,"20,21,22",44,-33.73,-23.95,9.779999999999998,-0.766590909090909,-0.5443181818181818,0.25,0.3181818181818182,-34.529999999999994,-22.829999999999995,11.7
RULE_B,EARLY_OOS,"12,13,14,15",43,-25.96,-21.979999999999997,3.980000000000004,-0.6037209302325581,-0.5111627906976743,0.27906976744186046,0.27906976744186046,-25.2,-20.519999999999996,4.680000000000003
RULE_B,MID_OOS,"16,18,19",13,-5.96,-3.5700000000000003,2.3899999999999997,-0.4584615384615385,-0.27461538461538465,0.3076923076923077,0.38461538461538464,-11.08,-5.470000000000001,5.609999999999999
RULE_B,LATE_OOS,"20,21,22",44,-33.73,-26.689999999999998,7.039999999999999,-0.766590909090909,-0.6065909090909091,0.25,0.29545454545454547,-34.529999999999994,-25.56999999999999,8.960000000000004
RULE_C,EARLY_OOS,"12,13,14,15",43,-25.96,-22.119999999999997,3.8400000000000034,-0.6037209302325581,-0.5144186046511627,0.27906976744186046,0.27906976744186046,-25.2,-20.659999999999993,4.540000000000006
RULE_C,MID_OOS,"16,18,19",13,-5.96,-3.5700000000000003,2.3899999999999997,-0.4584615384615385,-0.27461538461538465,0.3076923076923077,0.38461538461538464,-11.08,-5.470000000000001,5.609999999999999
RULE_C,LATE_OOS,"20,21,22",44,-33.73,-26.63,7.099999999999998,-0.766590909090909,-0.6052272727272727,0.25,0.3181818181818182,-34.529999999999994,-25.50999999999999,9.020000000000003
