time_bucket,trades,wins,win_rate,mean_R,total_R,mean_MFE_R,mean_MAE_R
09:30-10:00,55,24,0.43636363636363634,0.10050909090909092,5.5280000000000005,1.1434545454545455,0.8674545454545455
10:00-10:30,20,11,0.55,0.0941,1.8820000000000001,1.0025,0.7430000000000001
10:30-11:00,33,18,0.5454545454545454,0.19863030303030305,6.5548,1.016969696969697,0.6866666666666666
11:00-11:30,37,16,0.43243243243243246,0.013437837837837857,0.49720000000000075,0.9232432432432431,0.7427027027027027
11:30-12:00,42,15,0.35714285714285715,-0.20678095238095237,-8.6848,0.8973809523809523,0.8128571428571428
12:00-12:30,39,21,0.5384615384615384,0.22226666666666667,8.6684,0.9156410256410257,0.6274358974358974
12:30-13:00,39,15,0.38461538461538464,-0.1577333333333333,-6.151599999999999,0.783076923076923,0.7548717948717949
13:00-13:30,48,26,0.5416666666666666,0.18747500000000003,8.998800000000001,1.0875000000000001,0.6895833333333333
13:30-14:00,53,27,0.5094339622641509,0.15465660377358492,8.196800000000001,0.910566037735849,0.6430188679245282
14:00-14:30,44,16,0.36363636363636365,-0.15417272727272727,-6.7836,0.8588636363636364,0.8009090909090909
14:30-15:00,30,16,0.5333333333333333,0.2536,7.6080000000000005,1.0576666666666668,0.6166666666666667
15:00-15:30,29,11,0.3793103448275862,0.07697931034482759,2.2324,0.933103448275862,0.6979310344827587
15:30-16:00,42,19,0.4523809523809524,0.014647619047619052,0.6152000000000002,0.9316666666666668,1.0004761904761905
