window,trades,triggered_trades,recovery_exits,losses_rescued,winners_damaged,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,19,8,3,5,-17.270000000000003,-18.470000000000002,-1.1999999999999993,0.2631578947368421,0.2631578947368421,0.24814976055724858,0.06100660904931367,-16.51,-17.709999999999997
13,1,1,0,0,0,1.46,1.46,0.0,1.0,1.0,inf,inf,0.0,0.0
14,20,20,9,4,5,-6.62,-6.97,-0.34999999999999964,0.3,0.25,0.4380305602716469,0.11883691529709231,-7.8100000000000005,-6.369999999999999
15,3,3,1,1,0,-3.53,-1.87,1.6599999999999997,0.0,0.0,0.0,0.0,-2.8699999999999997,-1.21
16,2,2,2,1,1,1.15,0.08,-1.0699999999999998,0.5,0.5,2.4935064935064934,inf,-0.77,0.0
18,9,9,3,2,1,-6.6899999999999995,-6.35,0.33999999999999986,0.2222222222222222,0.2222222222222222,0.053748231966053744,0.007812500000000002,-4.489999999999999,-4.149999999999999
19,2,2,1,0,1,-0.41999999999999993,-2.96,-2.54,0.5,0.5,0.8839779005524863,0.18232044198895028,0.0,0.0
20,33,33,21,12,9,-26.269999999999996,-20.52,5.7499999999999964,0.2727272727272727,0.36363636363636365,0.3101365546218487,0.08718861209964411,-27.070000000000004,-18.509999999999998
21,1,1,1,0,1,3.94,-0.03,-3.9699999999999998,1.0,0.0,inf,0.0,0.0,0.0
22,10,10,4,3,1,-11.400000000000002,-6.65,4.750000000000002,0.1,0.2,0.03307888040712468,0.06862745098039216,-8.63,-3.8799999999999994
