rule_type,decision_bar,threshold_a,threshold_b,triggered_trades,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak
BASELINE_ADVERSE_COHORT,,,,0,195,0.13846153846153847,-0.6917846153846152,-134.89799999999997,0.17724653450370587,-135.99599999999975,0.1,-23.705199999999998,0.6612,18
CLOSE_BELOW,6.0,-0.75,,68,195,0.13846153846153847,-0.3313271794871795,-64.6088,0.31025088075157486,-66.75120000000013,0.15,-11.1724,1.7056,8
CLOSE_BELOW,6.0,-0.5,,116,195,0.13333333333333333,-0.09916717948717949,-19.3376,0.599413339078412,-21.479999999999983,0.25,-4.6864,3.5591999999999997,3
CLOSE_BELOW,6.0,-0.25,,152,195,0.07692307692307693,-0.025893333333333327,-5.049199999999999,0.8029442068125762,-6.754800000000001,0.35,-3.1332,2.9824,3
CLOSE_BELOW,6.0,0.0,,173,195,0.046153846153846156,-0.0022399999999999968,-0.4367999999999994,0.9654899977878206,-4.256399999999999,0.25,-2.0888,3.0312,3
CLOSE_BELOW,6.0,0.25,,179,195,0.041025641025641026,0.0213825641025641,4.169599999999999,1.5607919087583388,-4.256399999999999,0.3,-1.0444,3.0312,1
CLOSE_BELOW,8.0,-0.75,,78,195,0.13333333333333333,-0.28920410256410256,-56.394800000000004,0.3266324698150696,-58.537200000000084,0.2,-11.1724,1.7056,6
CLOSE_BELOW,8.0,-0.5,,116,195,0.11794871794871795,-0.13603897435897436,-26.5276,0.48456468686366266,-28.66999999999998,0.25,-7.5248,2.1424,5
CLOSE_BELOW,8.0,-0.25,,147,195,0.08717948717948718,-0.045134358974358975,-8.8012,0.6984485924951349,-11.333599999999995,0.3,-2.902,4.0268,2
CLOSE_BELOW,8.0,0.0,,165,195,0.06153846153846154,-0.004420512820512816,-0.8619999999999992,0.9508809518382605,-5.1808,0.3,-2.964,3.0312,2
CLOSE_BELOW,8.0,0.25,,175,195,0.046153846153846156,0.006574358974358974,1.282,1.1172017845388724,-5.6708,0.25,-1.8788,3.4112,2
CLOSE_BELOW,10.0,-0.75,,82,195,0.13333333333333333,-0.2667035897435897,-52.0072,0.34469045950999727,-54.14960000000006,0.2,-9.7448,1.7056,5
CLOSE_BELOW,10.0,-0.5,,115,195,0.12307692307692308,-0.13016410256410255,-25.381999999999998,0.5170521573014895,-27.46879999999998,0.35,-9.2304,2.5148,5
CLOSE_BELOW,10.0,-0.25,,146,195,0.1076923076923077,-0.014592820512820511,-2.8455999999999997,0.8964980431524887,-6.866,0.35,-2.9232,3.4024,2
CLOSE_BELOW,10.0,0.0,,165,195,0.08717948717948718,0.04065641025641026,7.928000000000001,1.6313509381072215,-3.7075999999999993,0.35,-1.8788,4.0268,2
