recovery_level_R,trades,recovered_trades,recovery_pct
-0.2,73,47,0.6438356164383562
0.0,73,40,0.547945205479452
0.25,73,30,0.410958904109589
0.5,73,22,0.3013698630136986
0.75,73,17,0.2328767123287671
1.0,73,15,0.2054794520547945
