entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,early_1_MAE_R,early_1_MFE_R,early_1_close_R,early_1_adverse_points,early_1_favorable_points,early_2_MAE_R,early_2_MFE_R,early_2_close_R,early_2_adverse_points,early_2_favorable_points,early_3_MAE_R,early_3_MFE_R,early_3_close_R,early_3_adverse_points,early_3_favorable_points,early_5_MAE_R,early_5_MFE_R,early_5_close_R,early_5_adverse_points,early_5_favorable_points,early_8_MAE_R,early_8_MFE_R,early_8_close_R,early_8_adverse_points,early_8_favorable_points,early_10_MAE_R,early_10_MFE_R,early_10_close_R,early_10_adverse_points,early_10_favorable_points,early_15_MAE_R,early_15_MFE_R,early_15_close_R,early_15_adverse_points,early_15_favorable_points,original_net_R,early_exit_triggered,early_exit_reason
2021-05-06 13:14:00-04:00,2021-05-06 13:34:00-04:00,2021-05-05,0.9977525830778488,0.4739338852701669,25.0,1.75,20,-7.75,-8.86,-0.3544,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.34,0.01,-0.24,8.5,0.25,0.34,0.01,-0.09,8.5,0.25,0.34,0.16,0.02,8.5,4.0,0.34,0.48,0.29,8.5,12.0,0.34,0.48,0.1,8.5,12.0,0.34,0.65,0.38,8.5,16.25,0.34,0.65,0.12,8.5,16.25,-0.3544,False,BENCHMARK
2021-05-06 13:41:00-04:00,2021-05-06 14:01:00-04:00,2021-05-05,0.9094552229569572,0.5438644933210814,25.0,1.75,20,17.0,15.89,0.6356,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.24,0.09,0.01,6.0,2.25,0.41,0.16,-0.41,10.25,4.0,0.52,0.16,-0.14,13.0,4.0,0.52,0.31,0.15,13.0,7.75,0.52,0.31,-0.14,13.0,7.75,0.52,0.31,0.1,13.0,7.75,0.52,0.74,0.58,13.0,18.5,0.6356,False,BENCHMARK
2021-05-07 12:14:00-04:00,2021-05-07 12:34:00-04:00,2021-05-06,1.0,0.4060447494330501,25.0,1.75,20,14.75,13.64,0.5456,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.31,0.07,-0.31,7.75,1.75,0.5,0.07,-0.43,12.5,1.75,0.5,0.07,-0.34,12.5,1.75,0.5,0.07,-0.34,12.5,1.75,0.5,0.07,-0.25,12.5,1.75,0.5,0.07,0.03,12.5,1.75,0.5,0.76,0.63,12.5,19.0,0.5456,False,BENCHMARK
2021-05-07 12:35:00-04:00,2021-05-07 12:55:00-04:00,2021-05-06,1.0,0.426812542153459,25.0,1.75,20,-3.25,-4.359999999999999,-0.1743999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.07,0.22,-0.05,1.75,5.5,0.12,0.22,0.02,3.0,5.5,0.12,0.22,0.17,3.0,5.5,0.12,0.43,0.38,3.0,10.75,0.12,0.58,0.47,3.0,14.5,0.12,0.63,0.19,3.0,15.75,0.16,0.63,-0.08,4.0,15.75,-0.1743999999999999,False,BENCHMARK
2021-05-07 14:01:00-04:00,2021-05-07 14:08:00-04:00,2021-05-06,0.7770225312476939,0.5199507511802969,25.0,1.75,20,-25.0,-26.11,-1.2344,stop,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.42,0.06,-0.32,10.5,1.5,0.96,0.06,-0.76,24.0,1.5,0.96,0.06,-0.54,24.0,1.5,0.96,0.06,-0.79,24.0,1.5,1.24,0.06,-1.19,31.0,1.5,1.3,0.06,-1.24,32.5,1.5,1.35,0.06,-0.89,33.75,1.5,-1.0444,True,MAE>=0.75R
2021-05-10 13:55:00-04:00,2021-05-10 14:15:00-04:00,2021-05-09,1.0,0.4279803910030373,25.0,1.75,20,43.75,42.64,0.2656,target,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.23,0.04,0.03,5.75,1.0,0.63,0.07,-0.43,15.75,1.75,0.84,0.07,-0.69,21.0,1.75,0.84,0.1,0.03,21.0,2.5,0.84,0.94,0.31,21.0,23.5,0.84,0.94,0.17,21.0,23.5,0.84,1.14,0.75,21.0,28.5,1.7056,True,MAE>=0.75R
2021-05-17 13:31:00-04:00,2021-05-17 13:51:00-04:00,2021-05-16,0.8767274041889735,0.4062756032754086,25.0,1.75,20,5.25,4.140000000000001,-0.20439999999999997,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.15,0.1,0.08,3.75,2.5,0.15,0.37,0.23,3.75,9.25,0.26,0.37,-0.25,6.5,9.25,0.88,0.37,-0.75,22.0,9.25,0.88,0.37,-0.16,22.0,9.25,0.88,0.99,0.66,22.0,24.75,0.88,0.99,-0.14,22.0,24.75,0.1656,True,MAE>=0.75R
2021-05-18 11:45:00-04:00,2021-05-18 12:05:00-04:00,2021-05-17,1.0,0.4263236751931703,25.0,1.75,20,-7.0,-8.11,-0.3243999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.23,0.12,-0.18,5.75,3.0,0.36,0.12,-0.36,9.0,3.0,0.6,0.12,-0.54,15.0,3.0,0.67,0.12,-0.49,16.75,3.0,0.67,0.12,-0.15,16.75,3.0,0.67,0.12,-0.41,16.75,3.0,0.67,0.18,-0.13,16.75,4.5,-0.3243999999999999,False,BENCHMARK
2021-05-18 14:23:00-04:00,2021-05-18 14:41:00-04:00,2021-05-17,0.8013228570463733,0.4227024384502917,25.0,1.75,20,43.75,42.64,1.7056,target,18,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.22,0.01,-0.12,5.5,0.25,0.22,0.03,-0.09,5.5,0.75,0.34,0.03,-0.16,8.5,0.75,0.37,0.03,-0.21,9.25,0.75,0.37,0.12,0.0,9.25,3.0,0.37,0.48,0.46,9.25,12.0,0.37,1.69,1.35,9.25,42.25,1.7056,False,BENCHMARK
2021-05-18 15:50:00-04:00,2021-05-18 15:59:00-04:00,2021-05-17,0.760319988741285,0.4835030033632236,25.0,1.75,20,43.75,42.64,1.7056,target,9,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0.29,0.14,-0.15,7.25,3.5,0.29,0.25,0.06,7.25,6.25,0.29,0.93,0.55,7.25,23.25,0.29,1.35,0.99,7.25,33.75,0.29,1.35,1.05,7.25,33.75,0.29,1.9,1.3,7.25,47.5,0.29,1.9,1.67,7.25,47.5,1.7056,False,BENCHMARK
