mae_threshold,recovery_level,deadline,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,benchmark_max_drawdown_R,delta_R,delta_mean_R,delta_win_rate,delta_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct,_score
0.65,0.3,5,95,21,74,0.22105263157894736,-0.5511578947368421,-52.36,0.12965425531914895,-52.29999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,15.129999999999995,0.15926315789473677,0.01052631578947369,16.749999999999986,95,13,82,0.1368421052631579,22.502763157894726
0.8,0.3,4,95,21,74,0.22105263157894736,-0.5621052631578947,-53.39999999999999,0.1403734707018674,-53.60999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,14.090000000000003,0.14831578947368418,0.01052631578947369,15.439999999999976,89,10,79,0.11235955056179775,20.91631578947368
0.65,0.2,5,95,22,73,0.23157894736842105,-0.5653684210526316,-53.71,0.10721409574468085,-53.64999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,13.779999999999994,0.1450526315789472,0.02105263157894738,15.399999999999977,95,16,79,0.16842105263157894,20.531052631578934
0.65,0.1,5,95,22,73,0.23157894736842105,-0.5668421052631579,-53.85,0.10488696808510639,-53.78999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,13.639999999999993,0.14357894736842092,0.02105263157894738,15.259999999999977,95,18,77,0.18947368421052632,20.326578947368407
0.7,0.3,4,95,18,77,0.18947368421052632,-0.5734736842105261,-54.47999999999998,0.10893032384690875,-54.669999999999966,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,13.010000000000012,0.1369473684210527,-0.02105263157894735,14.380000000000003,95,11,84,0.11578947368421053,19.34394736842107
0.65,-0.1,5,95,18,77,0.18947368421052632,-0.5771578947368422,-54.830000000000005,0.0665645216207014,-54.40999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,12.65999999999999,0.13326315789473664,-0.02105263157894735,14.639999999999986,95,29,66,0.30526315789473685,18.98526315789472
0.75,0.3,4,95,18,77,0.18947368421052632,-0.5772631578947367,-54.83999999999998,0.1081476662872012,-55.049999999999976,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,12.650000000000013,0.13315789473684214,-0.02105263157894735,13.999999999999993,95,11,84,0.11578947368421053,18.813157894736854
0.65,0.3,6,95,22,73,0.23157894736842105,-0.5788421052631578,-54.989999999999995,0.13155401137081488,-54.800000000000004,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,12.5,0.13157894736842102,0.02105263157894738,14.249999999999964,95,13,82,0.1368421052631579,18.69407894736841
0.8,0.2,4,95,21,74,0.22105263157894736,-0.5789473684210525,-54.99999999999999,0.11461687057308437,-55.209999999999994,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,12.490000000000002,0.1314736842105263,0.01052631578947369,13.839999999999975,89,13,76,0.14606741573033707,18.57947368421052
0.65,0.0,5,95,22,73,0.23157894736842105,-0.5806315789473685,-55.16000000000001,0.06950067476383266,-54.73999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,12.329999999999984,0.12978947368421034,0.02105263157894738,14.309999999999981,95,24,71,0.25263157894736843,18.503289473684184
