boundary_R,execution_model,development_trades,triggered_trades,development_WR,development_mean_R,development_R,development_PF,development_DD,benchmark_R,development_delta_R,development_delta_WR,positive_window_pct
0.95,BAR_CLOSE_BOUNDARY,95,70,0.12631578947368421,-0.6276842105263158,-59.63000000000001,0.13904129367600346,-61.469999999999985,-67.49,7.859999999999985,-0.08421052631578946,0.1
1.0,BAR_CLOSE_BOUNDARY,95,66,0.12631578947368421,-0.6291578947368422,-59.77000000000002,0.150632371749325,-61.32999999999999,-67.49,7.7199999999999775,-0.08421052631578946,0.1
0.9,BAR_CLOSE_BOUNDARY,95,74,0.11578947368421053,-0.6387368421052633,-60.68000000000001,0.11596736596736594,-62.519999999999996,-67.49,6.809999999999988,-0.09473684210526315,0.1
0.85,BAR_CLOSE_BOUNDARY,95,79,0.08421052631578947,-0.6483157894736843,-61.59,0.09705321800322535,-62.85999999999999,-67.49,5.8999999999999915,-0.12631578947368421,0.1
1.0,THEORETICAL_BOUNDARY,95,66,0.12631578947368421,-0.6591578947368422,-62.620000000000005,0.1447691887462442,-64.22,-67.49,4.86999999999999,-0.08421052631578946,0.1
0.95,THEORETICAL_BOUNDARY,95,70,0.11578947368421053,-0.6618947368421054,-62.88000000000002,0.12944759795098987,-64.53000000000007,-67.49,4.609999999999978,-0.09473684210526315,0.1
0.7,BAR_CLOSE_BOUNDARY,95,95,0.0,-0.6621052631578948,-62.9,0.0,-62.90000000000003,-67.49,4.589999999999996,-0.21052631578947367,0.0
0.9,THEORETICAL_BOUNDARY,95,74,0.10526315789473684,-0.663578947368421,-63.04,0.10859728506787325,-64.73999999999992,-67.49,4.449999999999996,-0.10526315789473684,0.1
0.85,THEORETICAL_BOUNDARY,95,79,0.07368421052631578,-0.6733684210526315,-63.96999999999999,0.09017209500782251,-65.15000000000006,-67.49,3.520000000000003,-0.13684210526315788,0.1
0.8,BAR_CLOSE_BOUNDARY,95,89,0.042105263157894736,-0.6765263157894736,-64.27,0.03178668273576379,-64.26999999999998,-67.49,3.219999999999999,-0.16842105263157894,0.1
0.75,BAR_CLOSE_BOUNDARY,95,95,0.0,-0.6969473684210525,-66.21,0.0,-66.21000000000002,-67.49,1.2800000000000011,-0.21052631578947367,0.0
0.7,THEORETICAL_BOUNDARY,95,95,0.0,-0.7000000000000003,-66.50000000000003,0.0,-66.50000000000011,-67.49,0.9899999999999665,-0.21052631578947367,0.0
0.8,THEORETICAL_BOUNDARY,95,89,0.042105263157894736,-0.7293684210526313,-69.28999999999998,0.02955182072829132,-69.28999999999988,-67.49,-1.799999999999983,-0.16842105263157894,0.1
0.75,THEORETICAL_BOUNDARY,95,95,0.0,-0.75,-71.25,0.0,-71.25,-67.49,-3.760000000000005,-0.21052631578947367,0.0
