sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
DEVELOPMENT,0.7,3,1,8,3,-0.3800000000000001,-2.8099999999999996,-2.4299999999999997,0.5,0.375
DEVELOPMENT,0.7,3,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.7,3,3,14,8,-6.59,-8.51,-1.92,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.7,3,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.7,3,5,7,5,-14.000000000000002,-4.57,9.430000000000001,0.0,0.0
DEVELOPMENT,0.7,3,6,17,5,-11.78,-12.309999999999999,-0.5299999999999994,0.23529411764705882,0.17647058823529413
DEVELOPMENT,0.7,3,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.7,3,9,19,8,-11.989999999999998,-13.18,-1.1900000000000013,0.10526315789473684,0.05263157894736842
DEVELOPMENT,0.7,3,10,12,7,-7.510000000000001,-5.67,1.8400000000000007,0.3333333333333333,0.16666666666666666
DEVELOPMENT,0.7,3,11,15,8,-12.880000000000003,-8.41,4.470000000000002,0.13333333333333333,0.13333333333333333
HOLDOUT,0.7,3,12,19,11,-17.270000000000003,-17.29,-0.01999999999999602,0.2631578947368421,0.05263157894736842
HOLDOUT,0.7,3,13,1,0,1.46,1.46,0.0,1.0,1.0
HOLDOUT,0.7,3,14,20,13,-6.62,-10.200000000000001,-3.580000000000001,0.3,0.15
HOLDOUT,0.7,3,15,3,0,-3.53,-3.53,0.0,0.0,0.0
HOLDOUT,0.7,3,16,2,0,1.15,1.15,0.0,0.5,0.5
HOLDOUT,0.7,3,18,9,4,-6.6899999999999995,-8.74,-2.0500000000000007,0.2222222222222222,0.0
HOLDOUT,0.7,3,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
HOLDOUT,0.7,3,20,33,16,-26.269999999999996,-27.53,-1.2600000000000051,0.2727272727272727,0.15151515151515152
HOLDOUT,0.7,3,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.7,3,22,10,5,-11.400000000000002,-8.39,3.0100000000000016,0.1,0.1
