window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
12,19,19,-17.270000000000003,-11.399999999999999,5.8700000000000045,0.2631578947368421,0.0,0.24814976055724858,0.0,-17.270000000000003,-11.399999999999997
13,1,1,1.46,-0.6,-2.06,1.0,0.0,inf,0.0,0.0,-0.6
14,20,20,-6.62,-11.999999999999998,-5.379999999999998,0.3,0.0,0.4380305602716469,0.0,-8.41,-11.999999999999996
15,3,3,-3.53,-1.7999999999999998,1.73,0.0,0.0,0.0,0.0,-3.53,-1.7999999999999998
16,2,2,1.15,-1.2,-2.3499999999999996,0.5,0.0,2.4935064935064934,0.0,-0.77,-1.2
18,9,9,-6.6899999999999995,-5.3999999999999995,1.29,0.2222222222222222,0.0,0.053748231966053744,0.0,-6.6899999999999995,-5.3999999999999995
19,2,2,-0.41999999999999993,-1.2,-0.78,0.5,0.0,0.8839779005524863,0.0,-3.62,-1.2
20,33,33,-26.269999999999996,-19.8,6.469999999999995,0.2727272727272727,0.0,0.3101365546218487,0.0,-27.070000000000004,-19.800000000000004
21,1,1,3.94,-0.6,-4.54,1.0,0.0,inf,0.0,0.0,-0.6
22,10,10,-11.400000000000002,-5.999999999999999,5.400000000000003,0.1,0.0,0.03307888040712468,0.0,-11.4,-5.999999999999999
