entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,entry_past_return_1,entry_past_return_3,entry_past_return_5,entry_past_return_10,entry_past_return_15,entry_past_return_30,entry_realized_vol_5,entry_realized_vol_15,entry_realized_vol_30,entry_realized_vol_60,entry_vol_ratio_5_30,entry_vol_ratio_5_60,entry_variance_5,entry_variance_30,entry_variance_60,entry_variance_ratio_5_30,entry_variance_ratio_5_60,entry_timestamp_et,minutes_from_rth_open,entry_price,early_1_MFE_R,early_1_MAE_R,early_1_close_R,early_1_range_R,early_1_favorable,early_2_MFE_R,early_2_MAE_R,early_2_close_R,early_2_range_R,early_2_favorable,early_3_MFE_R,early_3_MAE_R,early_3_close_R,early_3_range_R,early_3_favorable,early_5_MFE_R,early_5_MAE_R,early_5_close_R,early_5_range_R,early_5_favorable,early_8_MFE_R,early_8_MAE_R,early_8_close_R,early_8_range_R,early_8_favorable,outcome
2021-05-06 13:14:00-04:00,2021-05-06 13:34:00-04:00,2021-05-05,0.9977525830778488,0.4739338852701669,25.0,1.75,20,-7.75,-8.86,-0.3544,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0011631880044548,-0.0014214905889168,-0.0014214905889168,-0.0024171760346013,-0.0021775645726545,-0.0028225416061901,0.0011903782520831,0.0014990014515438,0.0019458509949801,0.0030733999980516,0.6117520072986377,0.3873164094611157,2.8340007660651225e-07,1.2621120315550854e-07,1.5742979246706356e-07,2.245443110603475,1.800168012454208,2021-05-06 13:14:00-04:00,224,13532.5,0.01,0.34,-0.24,0.35,False,0.01,0.34,-0.09,0.35,False,0.16,0.34,0.02,0.5,False,0.48,0.34,0.29,0.82,True,0.48,0.34,0.1,0.82,True,LOSS
2021-05-06 13:41:00-04:00,2021-05-06 14:01:00-04:00,2021-05-05,0.9094552229569572,0.5438644933210814,25.0,1.75,20,17.0,15.89,0.6356,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0007767277959716,-0.002069934944738,-0.0021991637260135,-0.0014420146330469,-0.0014420146330468,-0.0028635052219637,0.0012221434851539,0.0014223841194544,0.0021827436566813,0.0026794653096956,0.5599115963127126,0.4561146885281843,2.9872693966083826e-07,1.5881232902609598e-07,1.196589057643778e-07,1.8810059741127,2.4964873090939514,2021-05-06 13:41:00-04:00,251,13513.0,0.09,0.24,0.01,0.33,False,0.16,0.41,-0.41,0.57,False,0.16,0.52,-0.14,0.68,False,0.31,0.52,0.15,0.83,False,0.31,0.52,-0.14,0.83,False,WIN
2021-05-07 12:14:00-04:00,2021-05-07 12:34:00-04:00,2021-05-06,1.0,0.4060447494330501,25.0,1.75,20,14.75,13.64,0.5456,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0002361725523971,-0.0007991282662832,-0.0014161993760831,-0.0012891864478108,-0.002177938354099,-0.0028303959675017,0.0007249022637062,0.001118715075642,0.0017383589994043,0.0026840990158053,0.4170037742230788,0.2700728473270462,1.050966583852972e-07,1.0072973369367225e-07,1.2007312544412232e-07,1.0433528862977552,0.875272114360056,2021-05-07 12:14:00-04:00,164,13759.5,0.07,0.31,-0.31,0.38,False,0.07,0.5,-0.43,0.57,False,0.07,0.5,-0.34,0.57,False,0.07,0.5,-0.34,0.57,False,0.07,0.5,-0.25,0.57,False,WIN
2021-05-07 12:35:00-04:00,2021-05-07 12:55:00-04:00,2021-05-06,1.0,0.426812542153459,25.0,1.75,20,-3.25,-4.359999999999999,-0.1743999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0007642199869738,-0.0005095448782699,-0.0005459310078814,-0.0014006241432618,-0.0021092834440902,-0.0029081940630694,0.0009516526928415,0.0013674614323299,0.0018010702935719,0.0026567825084235,0.5283817606886558,0.3581974398823596,1.81128569558519e-07,1.0812847341290713e-07,1.176415549510918e-07,1.675123710170664,1.5396648712593204,2021-05-07 12:35:00-04:00,185,13734.25,0.22,0.07,-0.05,0.29,True,0.22,0.12,0.02,0.34,True,0.22,0.12,0.17,0.34,True,0.43,0.12,0.38,0.55,True,0.58,0.12,0.47,0.7,True,LOSS
2021-05-07 14:01:00-04:00,2021-05-07 14:08:00-04:00,2021-05-06,0.7770225312476939,0.5199507511802969,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-5.486015234214308e-05,-0.0012427583521003,-0.0009322135261128,-0.0022103089729699,-0.0027028524225224,-0.0025022158567473,0.0008996179430899,0.0015976367359718,0.0020980054950324,0.0034427629559497,0.4287967525442787,0.2613069661201216,1.6186248870588377e-07,1.467209019062113e-07,1.975436128476615e-07,1.1031999299551165,0.8193759665148287,2021-05-07 14:01:00-04:00,271,13670.75,0.06,0.42,-0.32,0.48,False,0.06,0.96,-0.76,1.02,False,0.06,0.96,-0.54,1.02,False,0.06,0.96,-0.79,1.02,False,0.06,1.24,-1.19,1.3,False,LOSS
2021-05-10 13:55:00-04:00,2021-05-10 14:15:00-04:00,2021-05-09,1.0,0.4279803910030373,25.0,1.75,20,43.75,42.64,1.7056,target,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0006311373675746,-0.0006311373675746,-0.0011505986237363,-0.0014473125195413,-0.0013731422988508,-0.003133200557214,0.0008278935221902,0.0013759047313594,0.0018046345730886,0.002483325410094,0.4587596483720632,0.3333810054957153,1.3708153681690117e-07,1.0855686474622556e-07,1.027817515403111e-07,1.2627624898467544,1.3337147379040104,2021-05-10 13:55:00-04:00,265,13463.5,0.04,0.23,0.03,0.27,False,0.07,0.63,-0.43,0.7,False,0.07,0.84,-0.69,0.91,False,0.1,0.84,0.03,0.94,False,0.94,0.84,0.31,1.78,True,WIN
2021-05-17 13:31:00-04:00,2021-05-17 13:51:00-04:00,2021-05-16,0.8767274041889735,0.4062756032754086,25.0,1.75,20,5.25,4.140000000000001,0.1656,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0002081972960799,-0.0010027339527741,-0.0003595862903891,-7.571312301301038e-05,-0.0008325292339097,-0.0024766292707078,0.0007916435077446,0.0013113662577204,0.0017390691754081,0.0024354350402507,0.4552110513711279,0.3250521958750994,1.2533988867085348e-07,1.008120532284913e-07,9.885573058801737e-08,1.2433026077424458,1.267907160518688,2021-05-17 13:31:00-04:00,241,13207.25,0.1,0.15,0.08,0.25,False,0.37,0.15,0.23,0.52,True,0.37,0.26,-0.25,0.63,True,0.37,0.88,-0.75,1.25,False,0.37,0.88,-0.16,1.25,False,WIN
2021-05-18 11:45:00-04:00,2021-05-18 12:05:00-04:00,2021-05-17,1.0,0.4263236751931703,25.0,1.75,20,-7.0,-8.11,-0.3243999999999999,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0006749030083141,-0.0001687684594507,-0.0010121837790125,-0.0008248196174809,-0.0024724206717017,-0.0041733397647857,0.000987266552592,0.0014306523850405,0.0017997712793569,0.0025590220083105,0.5485511208650643,0.3857983828923093,1.949390491733881e-07,1.079725552666092e-07,1.0914322731695926e-07,1.8054499932139096,1.7860847069078507,2021-05-18 11:45:00-04:00,135,13330.75,0.12,0.23,-0.18,0.35,False,0.12,0.36,-0.36,0.48,False,0.12,0.6,-0.54,0.72,False,0.12,0.67,-0.49,0.79,False,0.12,0.67,-0.15,0.79,False,LOSS
2021-05-18 14:23:00-04:00,2021-05-18 14:41:00-04:00,2021-05-17,0.8013228570463733,0.4227024384502917,25.0,1.75,20,43.75,42.64,1.7056,target,18,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.000751314836243,-0.0014645414660757,-0.0020085039648346,-0.0021210109966428,-0.0019897515621826,-0.0022147571882721,0.0010704321662597,0.0013080818006294,0.0017885543125262,0.0022066225639086,0.5984901653603631,0.4850998008303349,2.2916500451272838e-07,1.0663088429520244e-07,8.115305232584459e-08,2.149142868198449,2.8238618011875665,2021-05-18 14:23:00-04:00,293,13305.0,0.01,0.22,-0.12,0.23,False,0.03,0.22,-0.09,0.25,False,0.03,0.34,-0.16,0.37,False,0.03,0.37,-0.21,0.4,False,0.12,0.37,0.0,0.49,False,WIN
2021-05-18 15:50:00-04:00,2021-05-18 15:59:00-04:00,2021-05-17,0.760319988741285,0.4835030033632236,25.0,1.75,20,43.75,42.64,1.7056,target,9,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,-0.0006035344669347,-0.0018283435969595,-0.0028447377442004,-0.0034465582693985,-0.0036721476225377,-0.0023366698027073,0.0013604928720249,0.0016588988463937,0.0019780016280162,0.0024633461673675,0.6878118059940038,0.5522946348538795,3.701881709661486e-07,1.3041634801450368e-07,1.0113457233807361e-07,2.838510482788398,3.660352364260562,2021-05-18 15:50:00-04:00,380,13251.25,0.14,0.29,-0.15,0.43,False,0.25,0.29,0.06,0.54,False,0.93,0.29,0.55,1.22,True,1.35,0.29,0.99,1.64,True,1.35,0.29,1.05,1.64,True,WIN
