window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_PF,strategy_PF,benchmark_DD,strategy_DD
1,8,6,-1.5352000000000001,-1.5051999999999999,0.03000000000000025,0.5825538394605179,0.5750423489553924,-2.6332,-2.362
2,1,1,-1.0444,-0.6444,0.4,0.0,0.0,0.0,0.0
3,14,13,-13.141599999999997,-11.1016,2.0399999999999974,0.0,0.03775612800332836,-12.097199999999997,-9.707200000000004
4,1,1,0.0456,0.18560000000000001,0.14,inf,inf,0.0,0.0
5,7,7,-7.310799999999999,-13.210799999999999,-5.9,0.0,0.0,-6.266399999999999,-7.986399999999999
6,17,15,-10.294799999999999,-10.464799999999999,-0.16999999999999993,0.24919046646634974,0.21764354066985647,-10.955999999999998,-11.085999999999999
8,1,1,-0.7944,-0.45439999999999997,0.34,0.0,0.0,0.0,0.0
9,19,16,-10.513599999999999,-10.7836,-0.27000000000000135,0.2449729978168448,0.26749809803282254,-9.747199999999998,-10.004000000000001
10,12,11,-7.4628,-9.152800000000001,-1.6900000000000013,0.2114539306846999,0.20820789646700577,-7.419600000000001,-9.885200000000001
11,15,13,-12.255999999999998,-12.346000000000002,-0.09000000000000341,0.04187122799337067,0.05879303509895405,-11.211599999999999,-11.321600000000002
12,19,14,-8.9736,-12.1736,-3.200000000000001,0.3862778355309953,0.26980013915880896,-7.929199999999998,-11.8992
13,1,1,-1.0444,-0.6544,0.39,0.0,0.0,0.0,0.0
14,20,16,-12.137999999999998,-10.187999999999999,1.9499999999999993,0.2736260053619303,0.3041173738422448,-11.219199999999994,-9.153599999999999
15,3,3,-3.1332,-3.0032,0.1299999999999999,0.0,0.0,-2.0888,-2.2388000000000003
16,2,1,-1.8588,-0.6888,1.17,0.0,0.34048257372654156,-0.8144,0.0
18,9,9,-8.9096,-10.0496,-1.1400000000000006,0.0,0.0,-7.865199999999998,-8.5752
19,2,1,0.6612,-2.3188,-2.98,1.6330907698199923,0.42381473014610876,0.0,0.0
20,33,30,-23.7052,-22.715200000000003,0.9899999999999984,0.1906062634015761,0.14920520772469176,-22.66079999999999,-21.616399999999995
21,1,0,-1.0444,-1.0444,0.0,0.0,0.0,0.0,0.0
22,10,10,-10.443999999999999,-11.244000000000002,-0.8000000000000025,0.0,0.017956959195081047,-9.399599999999998,-8.889600000000002
