mae_threshold,recovery_threshold,deadline,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,delta_total_R_vs_frozen,delta_mean_R_vs_frozen,delta_win_rate_vs_frozen,delta_max_DD_vs_frozen,positive_OOS,PF_above_1
0.5,0.1,4,217,28.955200000000005,0.1334341013824885,0.48847926267281105,1.324534189337016,-8.289200000000001,-5.390000000000001,-0.024838709677419357,-0.05069124423963134,-0.5247999999999955,True,True
0.5,0.1,5,217,30.7452,0.14168294930875577,0.5023041474654378,1.3461486498657977,-7.749199999999995,-3.600000000000005,-0.016589861751152096,-0.03686635944700456,0.01520000000001076,True,True
0.5,0.1,6,217,31.505200000000002,0.1451852534562212,0.5253456221198156,1.3514997076897677,-7.2844000000000015,-2.8400000000000034,-0.013087557603686656,-0.01382488479262678,0.480000000000004,True,True
0.5,0.1,7,217,31.565200000000004,0.14546175115207374,0.543778801843318,1.3477461915065196,-8.708800000000004,-2.780000000000001,-0.012811059907834127,0.004608294930875556,-0.9443999999999981,True,True
0.5,0.1,8,217,32.995200000000004,0.15205161290322583,0.5576036866359447,1.3612713345333671,-8.49880000000001,-1.3500000000000014,-0.00622119815668204,0.018433179723502335,-0.7344000000000044,True,True
0.5,0.15,4,217,30.845200000000006,0.14214377880184334,0.48847926267281105,1.34571759051701,-8.289200000000001,-3.5,-0.01612903225806453,-0.05069124423963134,-0.5247999999999955,True,True
0.5,0.15,5,217,32.6352,0.1503926267281106,0.5023041474654378,1.3674274494262608,-7.749199999999995,-1.710000000000008,-0.007880184331797269,-0.03686635944700456,0.01520000000001076,True,True
0.5,0.15,6,217,33.3952,0.15389493087557604,0.5253456221198156,1.3725862092048717,-7.2844000000000015,-0.9500000000000028,-0.004377880184331828,-0.01382488479262678,0.480000000000004,True,True
0.5,0.15,7,217,33.455200000000005,0.1541714285714286,0.543778801843318,1.3685678654369027,-8.708800000000007,-0.8900000000000006,-0.0041013824884792716,0.004608294930875556,-0.9444000000000017,True,True
0.5,0.15,8,217,34.88520000000001,0.16076129032258069,0.5576036866359447,1.381965339184591,-8.49880000000001,0.5400000000000063,0.002488479262672816,0.018433179723502335,-0.7344000000000044,True,True
0.5,0.2,4,217,31.015200000000007,0.1429271889400922,0.48847926267281105,1.347622975808332,-8.059200000000004,-3.3299999999999983,-0.01534562211981566,-0.05069124423963134,-0.2947999999999986,True,True
0.5,0.2,5,217,32.5952,0.15020829493087556,0.4976958525345622,1.3669771044620185,-7.6691999999999965,-1.750000000000007,-0.008064516129032306,-0.04147465437788017,0.09520000000000906,True,True
0.5,0.2,6,217,32.0752,0.1478119815668203,0.5207373271889401,1.3515444844850113,-7.2844000000000015,-2.270000000000003,-0.010460829493087576,-0.018433179723502335,0.480000000000004,True,True
0.5,0.2,7,217,32.275200000000005,0.14873364055299543,0.5345622119815668,1.3499774454353033,-8.708800000000007,-2.0700000000000003,-0.009539170506912442,-0.004608294930875556,-0.9444000000000017,True,True
0.5,0.2,8,217,32.8952,0.15159078341013826,0.5483870967741935,1.3514789915248084,-8.49880000000001,-1.4500000000000028,-0.006682027649769606,0.009216589861751112,-0.7344000000000044,True,True
0.5,0.25,4,217,29.255200000000002,0.13481658986175116,0.4792626728110599,1.3233304745316135,-8.209200000000003,-5.090000000000003,-0.023456221198156713,-0.05990783410138251,-0.4447999999999972,True,True
