outcome,bar,trades,mean_MAE_R,median_MAE_R,mean_MFE_R,median_MFE_R,mean_close_R,median_close_R
WIN,1,244,0.2014344262295082,0.17,0.32885245901639343,0.24,0.11631147540983607,0.065
WIN,2,244,0.2505327868852459,0.22,0.5,0.37,0.21196721311475408,0.135
WIN,3,244,0.2889754098360656,0.255,0.6221311475409836,0.5,0.2772131147540984,0.185
WIN,5,244,0.3411475409836066,0.305,0.8271721311475411,0.68,0.4112295081967213,0.315
WIN,8,244,0.37508196721311465,0.34,1.1140573770491804,0.965,0.623688524590164,0.43
WIN,10,244,0.388483606557377,0.34,1.2469262295081966,1.05,0.6949180327868852,0.52
LOSS,1,293,0.30559726962457334,0.26,0.21682593856655294,0.15,-0.07634812286689419,-0.09
LOSS,2,293,0.43607508532423206,0.38,0.27993174061433446,0.21,-0.15641638225255972,-0.15
LOSS,3,293,0.5435153583617748,0.48,0.318259385665529,0.22,-0.22160409556313995,-0.21
LOSS,5,293,0.7189419795221843,0.64,0.3760409556313993,0.28,-0.31733788395904433,-0.32
LOSS,8,293,0.8911945392491468,0.81,0.44706484641638217,0.33,-0.41501706484641643,-0.4
LOSS,10,293,1.002491467576792,0.92,0.4697952218430033,0.33,-0.5057679180887372,-0.48
