state,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
FAILED_TO_RECOVER,87,7,80,0.08045977011494253,-0.7541379310344828,-65.61,0.013383458646616546,-64.27
RECOVERED,13,13,0,1.0,0.7246153846153847,9.42,inf,0.0
