trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,sample,removed_window,remaining_windows
174,33.9308,0.19500459770114942,0.5459770114942529,1.485588674730522,-7.7644000000000055,LEAVE_ONE_OUT,12,10
216,34.5352,0.1598851851851852,0.5416666666666666,1.3844472051902021,-7.7644000000000055,LEAVE_ONE_OUT,13,10
173,20.0508,0.11590057803468208,0.5260115606936416,1.2691108021195154,-7.7644000000000055,LEAVE_ONE_OUT,14,10
212,32.094000000000015,0.15138679245283027,0.5377358490566038,1.3622314922664358,-7.7644000000000055,LEAVE_ONE_OUT,15,10
209,28.881600000000002,0.13818947368421053,0.5263157894736842,1.3245984328428664,-7.7644000000000055,LEAVE_ONE_OUT,16,10
212,31.087200000000003,0.14663773584905662,0.5377358490566038,1.352614505115583,-7.7644000000000055,LEAVE_ONE_OUT,17,10
197,33.6336,0.1707289340101523,0.5431472081218274,1.4073679314755245,-7.7644000000000055,LEAVE_ONE_OUT,18,10
215,35.235200000000006,0.16388465116279072,0.5395348837209303,1.3982692594618795,-7.764400000000009,LEAVE_ONE_OUT,19,10
146,27.3324,0.1872082191780822,0.5547945205479452,1.4837764168643142,-5.5764,LEAVE_ONE_OUT,20,10
216,33.40520000000001,0.15465370370370374,0.5370370370370371,1.3710831274549884,-7.7988000000000035,LEAVE_ONE_OUT,21,10
200,33.266000000000005,0.16633000000000003,0.545,1.4022393654325171,-7.7644000000000055,LEAVE_ONE_OUT,22,10
