feature,recovery_n,failure_n,recovery_mean,failure_mean,recovery_median,failure_median,mean_difference,median_difference,abs_standardized_difference
net_R_path,27,168,1.0763407407407408,-0.9759476190476187,1.3256,-1.0444,2.0522883597883594,2.37,4.175320195406712
final_close_R,27,168,1.0366666666666668,-0.959107142857143,1.04,-0.855,1.99577380952381,1.895,1.9152527498801908
close_20R,27,168,1.0366666666666668,-0.959107142857143,1.04,-0.855,1.99577380952381,1.895,1.9152527498801908
close_19R,27,168,0.8996296296296296,-0.9533928571428573,0.89,-1.0,1.853022486772487,1.8900000000000001,1.857400343812969
close_18R,27,168,0.8007407407407406,-0.9605357142857143,0.82,-0.955,1.7612764550264548,1.775,1.8062449683176665
close_12R,27,168,0.5888888888888889,-0.7963690476190477,0.51,-0.805,1.3852579365079367,1.315,1.7812873609208386
close_14R,27,168,0.7622222222222221,-0.8288095238095239,0.69,-0.83,1.591031746031746,1.52,1.7066243417794893
close_13R,27,168,0.6914814814814813,-0.8026785714285714,0.66,-0.82,1.4941600529100527,1.48,1.679416490170136
time_to_max_MFE,27,168,15.296296296296296,5.565476190476191,18.0,2.0,9.730820105820104,16.0,1.650959834289008
time_to_max_MAE,27,168,5.7407407407407405,13.279761904761905,5.0,14.5,-7.539021164021165,-9.5,1.6337661982006078
close_16R,27,168,0.6614814814814814,-0.8997619047619048,0.76,-0.92,1.5612433862433863,1.6800000000000002,1.5757082160214244
close_17R,27,168,0.7207407407407407,-0.9797023809523808,0.82,-0.965,1.7004431216931215,1.785,1.5724730593129799
close_11R,27,168,0.38888888888888895,-0.7633928571428571,0.24,-0.74,1.152281746031746,0.98,1.544627742432349
holding_bars,27,168,17.333333333333332,8.738095238095237,20.0,7.0,8.595238095238095,13.0,1.506726827447639
close_15R,27,168,0.6185185185185185,-0.8515476190476191,0.65,-0.81,1.4700661375661377,1.46,1.4453164415795605
close_10R,27,168,0.25962962962962965,-0.7676785714285714,0.23,-0.73,1.027308201058201,0.96,1.4115631785421336
max_MFE_R,27,168,1.661111111111111,0.5453571428571429,1.65,0.345,1.115753968253968,1.305,1.3431313490372554
mfe_20R,27,168,1.661111111111111,0.5453571428571429,1.65,0.345,1.115753968253968,1.305,1.3431313490372554
mfe_19R,27,168,1.5533333333333332,0.5208333333333334,1.54,0.33,1.0324999999999998,1.21,1.282506386969657
mae_14R,27,168,0.9085185185185186,1.5142261904761904,0.87,1.36,-0.6057076719576718,-0.4900000000000001,1.1984826372051312
mfe_18R,27,168,1.4474074074074073,0.5011904761904762,1.39,0.32,0.9462169312169311,1.0699999999999998,1.172981425208549
mae_13R,27,168,0.9085185185185186,1.4691666666666667,0.87,1.36,-0.5606481481481481,-0.4900000000000001,1.1557605301939562
close_9R,27,168,0.18703703703703703,-0.7160119047619047,0.0,-0.745,0.9030489417989417,0.745,1.1328806501210418
mae_12R,27,168,0.9074074074074076,1.4179761904761907,0.87,1.3,-0.5105687830687832,-0.43000000000000005,1.1201571077360912
mfe_17R,27,168,1.4059259259259262,0.4961904761904763,1.38,0.32,0.90973544973545,1.0599999999999998,1.1125937399079318
mfe_16R,27,168,1.3688888888888893,0.4838095238095238,1.21,0.315,0.8850793650793655,0.895,1.0998358483883628
close_6,27,168,0.041851851851851835,-0.6702380952380952,-0.2,-0.655,0.712089947089947,0.455,1.090609337749023
close_6R,27,168,0.041851851851851835,-0.6702380952380952,-0.2,-0.655,0.712089947089947,0.455,1.090609337749023
mae_16R,27,168,0.9514814814814815,1.6120238095238095,0.87,1.4249999999999998,-0.660542328042328,-0.5549999999999998,1.0784115718508327
mfe_15R,27,168,1.3299999999999998,0.4714880952380952,1.14,0.31,0.8585119047619046,0.8299999999999998,1.0697796792956011
max_MAE_R,27,168,0.9514814814814815,1.7844642857142854,0.87,1.6,-0.8329828042328039,-0.7300000000000001,1.0558745127968499
mae_20R,27,168,0.9514814814814815,1.7844642857142854,0.87,1.6,-0.8329828042328039,-0.7300000000000001,1.0558745127968499
mae_11R,27,168,0.9074074074074076,1.3751190476190476,0.87,1.28,-0.46771164021164,-0.41000000000000003,1.0537303469454713
close_7,27,168,0.13222222222222224,-0.6963095238095237,-0.04,-0.7,0.828531746031746,0.6599999999999999,1.051824865082447
close_7R,27,168,0.13222222222222224,-0.6963095238095237,-0.04,-0.7,0.828531746031746,0.6599999999999999,1.051824865082447
close_8R,27,168,0.16185185185185186,-0.7113690476190476,-0.01,-0.71,0.8732208994708994,0.7,1.050768290448306
close_8,27,168,0.16185185185185186,-0.7113690476190476,-0.01,-0.71,0.8732208994708994,0.7,1.050768290448306
mae_19R,27,168,0.9514814814814815,1.7585119047619049,0.87,1.57,-0.8070304232804234,-0.7000000000000001,1.0245735237704823
mae_15R,27,168,0.9514814814814815,1.5558333333333334,0.87,1.38,-0.6043518518518519,-0.5099999999999999,1.0219024303221873
mfe_14R,27,168,1.271111111111111,0.4543452380952381,1.01,0.29,0.816765873015873,0.72,1.0198021947776197
mae_17R,27,168,0.9514814814814815,1.6983333333333333,0.87,1.505,-0.7468518518518518,-0.6349999999999999,1.0114543674780054
mae_18R,27,168,0.9514814814814815,1.725238095238095,0.87,1.525,-0.7737566137566135,-0.6549999999999999,0.999877293953177
mae_10R,27,168,0.904074074074074,1.3340476190476191,0.87,1.21,-0.4299735449735451,-0.33999999999999997,0.9899399197710443
mfe_minus_mae_8,27,168,-0.12259259259259257,-0.8585714285714287,-0.48,-0.815,0.7359788359788361,0.33499999999999996,0.9764237260075765
mfe_13R,27,168,1.1548148148148147,0.4382738095238095,0.96,0.28500000000000003,0.7165410052910053,0.6749999999999999,0.9511038828912314
mae_9R,27,168,0.8988888888888888,1.2888690476190474,0.87,1.15,-0.38998015873015857,-0.2799999999999999,0.9119948453805476
mfe_12R,27,168,1.061111111111111,0.41154761904761905,0.77,0.28,0.6495634920634918,0.49,0.8948254421796465
mae_7R,27,168,0.8625925925925927,1.1557738095238095,0.86,1.04,-0.2931812169312168,-0.18000000000000005,0.866672367527935
mae_7,27,168,0.8625925925925927,1.1557738095238095,0.86,1.04,-0.2931812169312168,-0.18000000000000005,0.866672367527935
close_change_5_8,27,168,0.412962962962963,-0.12785714285714286,0.28,-0.12999999999999995,0.5408201058201059,0.41,0.859064162551984
mae_8,27,168,0.8981481481481483,1.2323214285714286,0.86,1.085,-0.3341732804232803,-0.22499999999999998,0.8024634174193471
mae_8R,27,168,0.8981481481481483,1.2323214285714286,0.86,1.085,-0.3341732804232803,-0.22499999999999998,0.8024634174193471
mae_speed_1_8,27,168,0.11226851851851853,0.15404017857142857,0.1075,0.135625,-0.04177166005291004,-0.028124999999999997,0.8024634174193471
mae_6R,27,168,0.8062962962962963,1.0779761904761904,0.84,0.99,-0.27167989417989413,-0.15000000000000002,0.7943545762218805
mae_6,27,168,0.8062962962962963,1.0779761904761904,0.84,0.99,-0.27167989417989413,-0.15000000000000002,0.7943545762218805
close_change_2_8,27,168,0.28481481481481485,-0.4117261904761904,0.28,-0.43000000000000005,0.6965410052910053,0.7100000000000001,0.7934459700424152
close_change_1_8,27,168,0.1625925925925926,-0.5585119047619047,-0.07999999999999996,-0.5800000000000001,0.7211044973544973,0.5000000000000001,0.7628513883725644
close_change_3_8,27,168,0.3351851851851852,-0.3105357142857143,0.4,-0.31000000000000005,0.6457208994708995,0.7100000000000001,0.7617437176972944
mfe_11R,27,168,0.965185185185185,0.407797619047619,0.76,0.27,0.557387566137566,0.49,0.7579443134878687
mfe_to_mae_8,27,168,0.8433053778886658,0.3455112210875067,0.4545454545454546,0.22131517811048013,0.49779415680115907,0.23323027643497446,0.7349461739931263
mae_change_1_8,27,168,0.5422222222222223,0.8557142857142856,0.55,0.76,-0.3134920634920634,-0.20999999999999996,0.6837768129016621
mfe_10R,27,168,0.8829629629629628,0.39571428571428574,0.6,0.265,0.4872486772486771,0.33499999999999996,0.6687974316857824
