decision_bar,threshold_R,triggered_trades,trigger_pct,win_rate,mean_R,total_R,mean_final_close_R,mean_max_MFE_R,mean_max_MAE_R,mean_time_to_MFE,mean_time_to_MAE
1,0.25,243,0.45251396648044695,0.34156378600823045,-0.21526419753086415,-52.30919999999999,-0.19024691358024692,1.0027572016460904,1.2686419753086418,9.106995884773662,10.757201646090534
1,0.5,64,0.1191806331471136,0.171875,-0.5308062499999999,-33.971599999999995,-0.57578125,0.99375,1.78796875,7.953125,11.609375
1,0.75,19,0.035381750465549346,0.10526315789473684,-0.6865052631578946,-13.043599999999998,-0.20736842105263156,1.4268421052631577,1.8357894736842106,9.052631578947368,10.263157894736842
1,1.0,4,0.0074487895716946,0.0,-1.0444,-4.1776,-0.23250000000000004,2.695,2.3724999999999996,11.25,12.25
2,0.25,314,0.5847299813780261,0.3535031847133758,-0.1911834394904458,-60.03159999999998,-0.1874203821656051,0.9860828025477707,1.2438216560509554,9.146496815286625,10.617834394904458
2,0.5,137,0.25512104283054005,0.19708029197080293,-0.5383416058394161,-73.75280000000001,-0.5286861313868614,0.7951824817518248,1.5716058394160584,7.824817518248175,11.233576642335766
2,0.75,52,0.09683426443202979,0.09615384615384616,-0.7495923076923078,-38.97880000000001,-0.5917307692307692,0.8780769230769232,1.8575000000000002,7.6923076923076925,10.865384615384615
2,1.0,17,0.03165735567970205,0.0,-1.0444,-17.7548,-1.0823529411764705,0.9058823529411766,2.301764705882353,8.235294117647058,11.823529411764707
3,0.25,360,0.6703910614525139,0.35555555555555557,-0.1913722222222222,-68.89399999999999,-0.1839166666666667,0.9727777777777777,1.20875,9.022222222222222,10.766666666666667
3,0.5,179,0.3333333333333333,0.20670391061452514,-0.5183106145251396,-92.77759999999999,-0.5137430167597765,0.7663128491620113,1.5078212290502793,7.916201117318436,11.296089385474861
3,0.75,88,0.16387337057728119,0.125,-0.7057636363636361,-62.107199999999985,-0.6947727272727273,0.7529545454545455,1.8262499999999997,7.159090909090909,11.454545454545455
3,1.0,34,0.0633147113594041,0.0,-1.0444000000000002,-35.509600000000006,-1.101764705882353,0.7323529411764707,2.1976470588235295,6.382352941176471,12.617647058823529
5,0.25,407,0.7579143389199255,0.36363636363636365,-0.16592334152334148,-67.53079999999999,-0.1643734643734644,0.9795823095823094,1.1813759213759214,9.058968058968059,10.717444717444717
5,0.5,251,0.46741154562383613,0.24302788844621515,-0.4641609561752988,-116.50439999999999,-0.4882470119521913,0.7811553784860559,1.4653784860557768,8.0398406374502,11.53784860557769
5,0.75,141,0.26256983240223464,0.15602836879432624,-0.6648255319148936,-93.7404,-0.6990780141843971,0.7313475177304963,1.745035460992908,6.957446808510638,11.77304964539007
5,1.0,69,0.12849162011173185,0.0,-1.0443999999999996,-72.06359999999997,-1.1340579710144925,0.5847826086956521,2.1021739130434782,5.463768115942029,13.333333333333334
8,0.25,419,0.7802607076350093,0.36754176610978523,-0.16129737470167063,-67.58359999999999,-0.16572792362768496,0.9834128878281622,1.1783770883054894,9.088305489260144,10.778042959427207
8,0.5,299,0.5567970204841713,0.24414715719063546,-0.44690836120401334,-133.6256,-0.4348829431438127,0.8147826086956522,1.4166889632107023,8.066889632107024,11.826086956521738
8,0.75,195,0.36312849162011174,0.13846153846153847,-0.6917846153846152,-134.89799999999997,-0.6827692307692307,0.699846153846154,1.6691282051282053,6.912820512820513,12.235897435897435
8,1.0,102,0.18994413407821228,0.00980392156862745,-1.0174392156862742,-103.77879999999996,-1.015098039215686,0.6150980392156862,1.9748039215686273,5.5,13.205882352941176
10,0.25,434,0.8081936685288641,0.3663594470046083,-0.16103594470046076,-69.88959999999997,-0.17695852534562215,0.9839631336405529,1.1711059907834103,9.009216589861751,10.95852534562212
10,0.5,316,0.5884543761638734,0.24367088607594936,-0.44553924050632915,-140.7904,-0.4590506329113924,0.8282278481012659,1.424398734177215,8.041139240506329,12.063291139240507
10,0.75,222,0.4134078212290503,0.13963963963963963,-0.6912018018018016,-153.44679999999994,-0.7039189189189189,0.7051801801801802,1.6583783783783783,6.675675675675675,12.702702702702704
10,1.0,129,0.24022346368715083,0.007751937984496124,-1.0230821705426354,-131.97759999999997,-1.0134108527131784,0.6113953488372093,1.9481395348837212,5.217054263565892,13.666666666666666
