deadline,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,delta_R,delta_mean_R,delta_win_rate,delta_max_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct
3,100,15,85,0.15,-0.595,-59.5,0.08993576017130621,-58.75999999999999,-65.64999999999999,-0.6564999999999999,0.27,6.1499999999999915,0.06149999999999989,-0.12000000000000002,6.129999999999981,100,8,92,0.08
5,100,20,80,0.2,-0.5619000000000001,-56.19000000000001,0.15503759398496245,-54.850000000000016,-65.64999999999999,-0.6564999999999999,0.27,9.45999999999998,0.0945999999999998,-0.07,10.039999999999957,100,13,87,0.13
8,100,25,75,0.25,-0.6063,-60.629999999999995,0.19460680127523913,-59.0,-65.64999999999999,-0.6564999999999999,0.27,5.019999999999996,0.05019999999999991,-0.020000000000000018,5.889999999999972,100,21,79,0.21
10,100,27,73,0.27,-0.5899,-58.99,0.22197309417040353,-57.53,-65.64999999999999,-0.6564999999999999,0.27,6.6599999999999895,0.06659999999999988,0.0,7.359999999999971,100,25,75,0.25
12,100,30,70,0.3,-0.6306,-63.06,0.22587773140191506,-62.09000000000001,-65.64999999999999,-0.6564999999999999,0.27,2.589999999999989,0.025899999999999812,0.02999999999999997,2.7999999999999616,100,27,73,0.27
