check,result,value
Frozen S2R model,PASS,MAE=0.70R | REC=+0.20R | DL=6
OOS trade count,PASS,217
OOS total R,PASS,34.3452R
OOS positive expectancy,PASS,0.158273R
OOS PF > 1,PASS,1.3815
All OOS windows represented,PASS,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
S28.2 window stability,PASS,Worst LOO = 20.0508R
S28.3 year stability,PASS,3/3 positive years
S28.4 perturbation robustness,PASS,125/125 positive
