entry_time_bucket,trades,wins,losses,mean_R,median_R,total_R,mean_holding_bars,median_holding_bars,win_rate
09:30-10:00,52,23,29,-0.038192307692307775,-1.0555,-1.9860000000000044,5.538461538461538,4.0,0.4423076923076923
10:00-10:30,33,11,22,-0.28996969696969704,-1.0555,-9.569000000000003,6.7272727272727275,5.0,0.3333333333333333
10:30-11:30,37,15,22,-0.1879324324324325,-1.0555,-6.953500000000002,8.108108108108109,7.0,0.40540540540540543
11:30-13:00,68,29,39,-0.12369852941176476,-0.3429999999999999,-8.411500000000004,9.558823529411764,10.0,0.4264705882352941
13:00-14:30,78,37,41,0.06613461538461533,-0.08674999999999994,5.158499999999996,8.538461538461538,8.0,0.47435897435897434
14:30-15:30,63,24,39,-0.17097619047619053,-0.4805,-10.771500000000003,9.317460317460318,9.0,0.38095238095238093
15:30-16:00,26,9,17,-0.18482692307692308,-0.28049999999999997,-4.8055,10.0,15.0,0.34615384615384615
