mae_threshold,horizon,recovery_level,reached_trades,reached_wins,reached_losses,reached_pct,reached_win_rate,reached_mean_R,reached_total_R,reached_PF,reached_DD,not_reached_trades,not_reached_wins,not_reached_losses,not_reached_pct,not_reached_win_rate,not_reached_mean_R,not_reached_total_R,not_reached_PF,not_reached_DD,win_rate_difference,mean_R_difference
0.6,1,-0.5,71,24,47,0.3641025641025641,0.3380281690140845,-0.306338028169014,-21.749999999999993,0.5636035313001605,-22.219999999999995,124,23,101,0.6358974358974359,0.18548387096774194,-0.8983064516129031,-111.38999999999999,0.16020808202653802,-112.48000000000002,0.15254429804634256,0.5919684234438891
0.6,1,-0.4,43,16,27,0.2205128205128205,0.37209302325581395,-0.11744186046511627,-5.05,0.8184759166067579,-11.02,152,31,121,0.7794871794871795,0.20394736842105263,-0.8426973684210527,-128.09,0.17179619811198757,-129.64999999999998,0.16814565483476132,0.7252555079559364
0.6,1,-0.3,29,12,17,0.14871794871794872,0.41379310344827586,-0.03931034482758617,-1.139999999999999,0.9478021978021978,-8.15,166,35,131,0.8512820512820513,0.21084337349397592,-0.7951807228915663,-132.0,0.17828685258964144,-133.55999999999997,0.20294972995429994,0.75587037806398
0.6,1,-0.2,23,11,12,0.11794871794871795,0.4782608695652174,0.08956521739130441,2.0600000000000014,1.1401360544217687,-6.180000000000001,172,36,136,0.882051282051282,0.20930232558139536,-0.786046511627907,-135.2,0.19418285850518535,-136.76,0.268958543983822,0.8756117290192114
0.6,1,-0.1,15,9,6,0.07692307692307693,0.6,0.46333333333333326,6.949999999999999,1.8383594692400482,-2.71,180,38,142,0.9230769230769231,0.2111111111111111,-0.7782777777777776,-140.08999999999997,0.19576324702910616,-141.64999999999998,0.38888888888888884,1.2416111111111108
0.6,1,0.0,11,7,4,0.05641025641025641,0.6363636363636364,0.47272727272727266,5.199999999999999,1.7715133531157268,-2.71,184,40,144,0.9435897435897436,0.21739130434782608,-0.7518478260869564,-138.33999999999997,0.21281438488676455,-139.9,0.4189723320158103,1.224575098814229
0.6,1,0.1,8,5,3,0.041025641025641026,0.625,0.4412499999999999,3.5299999999999994,1.6429872495446265,-4.0,187,42,145,0.958974358974359,0.22459893048128343,-0.730855614973262,-136.67,0.22780948076162494,-138.23,0.40040106951871657,1.1721056149732618
0.6,1,0.2,7,4,3,0.035897435897435895,0.5714285714285714,0.15,1.05,1.1912568306010929,-4.0,188,43,145,0.9641025641025641,0.22872340425531915,-0.7137765957446809,-134.19,0.24182157184021694,-135.74999999999997,0.3427051671732523,0.8637765957446809
0.6,1,0.3,3,3,0,0.015384615384615385,1.0,1.4766666666666666,4.43,inf,0.0,192,44,148,0.9846153846153847,0.22916666666666666,-0.7165104166666666,-137.57,0.24610916264796137,-139.13,0.7708333333333334,2.193177083333333
0.6,1,0.4,2,2,0,0.010256410256410256,1.0,2.035,4.07,inf,0.0,193,45,148,0.9897435897435898,0.23316062176165803,-0.7109326424870466,-137.20999999999998,0.24808198158702321,-138.77,0.766839378238342,2.7459326424870465
0.6,2,-0.5,95,31,64,0.48717948717948717,0.3263157894736842,-0.3316842105263158,-31.51,0.5356616563513117,-34.00999999999999,100,16,84,0.5128205128205128,0.16,-1.0162999999999998,-101.62999999999998,0.11333100680509511,-101.63000000000001,0.16631578947368422,0.684615789473684
0.6,2,-0.4,73,26,47,0.37435897435897436,0.3561643835616438,-0.320958904109589,-23.429999999999996,0.5795801184281356,-25.93,122,21,101,0.6256410256410256,0.1721311475409836,-0.8992622950819671,-109.70999999999998,0.13443786982248526,-109.71000000000001,0.1840332360206602,0.578303390972378
0.6,2,-0.3,54,18,36,0.27692307692307694,0.3333333333333333,-0.4037037037037037,-21.799999999999997,0.5335900727428327,-22.269999999999996,141,29,112,0.7230769230769231,0.20567375886524822,-0.789645390070922,-111.34,0.17975541476351853,-112.43,0.1276595744680851,0.3859416863672184
0.6,2,-0.2,44,16,28,0.22564102564102564,0.36363636363636365,-0.20477272727272727,-9.01,0.7215698393077874,-9.27,151,31,120,0.7743589743589744,0.2052980132450331,-0.8220529801324503,-124.13,0.1731281641353584,-125.42999999999998,0.15833835039133054,0.617280252859723
0.6,2,-0.1,29,15,14,0.14871794871794872,0.5172413793103449,0.0813793103448276,2.3600000000000003,1.1205927439959122,-5.81,166,32,134,0.8512820512820513,0.1927710843373494,-0.8162650602409639,-135.5,0.1682524093057517,-136.8,0.32447029497299545,0.8976443705857915
0.6,2,0.0,18,11,7,0.09230769230769231,0.6111111111111112,0.16555555555555557,2.9800000000000004,1.2566752799310936,-3.4299999999999997,177,36,141,0.9076923076923077,0.2033898305084746,-0.7690395480225989,-136.12,0.20337098378884536,-137.42000000000002,0.40772128060263657,0.9345951035781545
0.6,2,0.1,13,8,5,0.06666666666666667,0.6153846153846154,0.3523076923076923,4.58,1.5344224037339556,-3.12,182,39,143,0.9333333333333333,0.21428571428571427,-0.7567032967032965,-137.71999999999997,0.20809614168247947,-139.28,0.4010989010989011,1.1090109890109887
0.6,2,0.2,11,6,5,0.05641025641025641,0.5454545454545454,0.23181818181818173,2.549999999999999,1.2975495915985997,-3.73,184,41,143,0.9435897435897436,0.22282608695652173,-0.737445652173913,-135.69,0.21976884595480425,-137.25,0.3226284584980237,0.9692638339920947
0.6,2,0.3,6,4,2,0.03076923076923077,0.6666666666666666,0.4916666666666667,2.95,1.744949494949495,-2.71,189,43,146,0.9692307692307692,0.2275132275132275,-0.72005291005291,-136.08999999999997,0.23767645081783553,-137.64999999999998,0.43915343915343913,1.2117195767195765
0.6,2,0.4,5,3,2,0.02564102564102564,0.6,0.518,2.5900000000000003,1.654040404040404,-2.71,190,44,146,0.9743589743589743,0.23157894736842105,-0.7143684210526314,-135.72999999999996,0.23969303159309877,-137.29,0.3684210526315789,1.2323684210526316
