block,windows,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,benchmark_max_drawdown_R,delta_R,delta_mean_R,delta_win_rate,delta_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct
EARLY_OOS,"12,13,14,15",43,8,35,0.18604651162790697,-0.6179069767441859,-26.569999999999997,0.13141549525988885,-25.229999999999993,-25.96,-0.6037209302325581,0.27906976744186046,-25.2,-0.6099999999999959,-0.014186046511627803,-0.09302325581395349,-0.02999999999999403,43,6,37,0.13953488372093023
MID_OOS,"16,18,19",13,5,8,0.38461538461538464,-0.2730769230769231,-3.5500000000000007,0.4141914191419141,-5.45,-5.96,-0.4584615384615385,0.3076923076923077,-11.08,2.4099999999999993,0.18538461538461537,0.07692307692307693,5.63,13,4,9,0.3076923076923077
LATE_OOS,"20,21,22",44,10,34,0.22727272727272727,-0.5895454545454545,-25.939999999999998,0.15228758169934642,-25.269999999999996,-33.73,-0.766590909090909,0.25,-34.529999999999994,7.789999999999999,0.1770454545454545,-0.022727272727272735,9.259999999999998,44,6,38,0.13636363636363635
