trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak,mae_threshold,triggered_trades,selected_by_development,development_delta_R,development_positive_window_pct
195,193,1,0.9897435897435898,0.5413846153846154,0.53,105.57,286.3243243243243,-0.37000000000000455,1.0,0.21,18.44,1,0.5,195,False,113.838,1.0
195,194,0,0.9948717948717949,0.616974358974359,0.62,120.31,inf,0.0,1.0,0.21,20.81,0,0.6,195,False,122.18799999999999,1.0
195,194,0,0.9948717948717949,0.673128205128205,0.7,131.26,inf,0.0,1.0,0.21,22.53,0,0.7,195,False,127.20799999999998,1.0
195,194,0,0.9948717948717949,0.7018461538461539,0.73,136.86,inf,0.0,1.0,0.21,22.58,0,0.75,195,False,130.518,1.0
195,192,2,0.9846153846153847,0.7544635897435898,0.77,147.12040000000002,510.41966759002787,-0.2143999999999977,1.0,0.0456,25.9856,1,0.8,186,True,132.46159999999998,0.9
195,180,14,0.9230769230769231,0.7656020512820512,0.87,149.2924,24.974242034943476,-0.8343999999999996,0.95,-0.7944,25.7312,1,0.9,166,False,130.8756,0.8
195,173,22,0.8871794871794871,0.8376348717948717,0.95,163.3388,15.232085598773178,-1.5987999999999971,0.9,-0.7944,37.7236,2,1.0,147,False,129.3304,0.8
195,163,32,0.8358974358974359,0.8104348717948718,1.04,158.03480000000002,8.209353673223605,-2.088799999999992,0.9,-1.8588,42.6136,2,1.1,137,False,127.72279999999999,0.8
