state,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
FAILED_TO_RECOVER,149,9,140,0.06040268456375839,-0.8593288590604028,-128.04000000000002,0.005669022287799954,-126.85000000000002
RECOVERED,46,46,0,1.0,0.41630434782608694,19.15,inf,0.0
