feature,win_n,loss_n,win_mean,loss_mean,win_median,loss_median,win_q25,win_q75,loss_q25,loss_q75,mean_difference,median_difference
entry_minutes_from_rth_open,148,209,188.90540540540542,194.3062200956938,199.0,193.0,74.5,292.0,64.0,304.0,-5.400814690288371,6.0
entry_variance_ratio_5_60,148,209,2.3140359892582247,2.2329809901384885,1.9235342600863925,1.9277394278231346,1.2793388023456296,3.0206419829782702,1.1475617058859813,2.745041503187681,0.08105499911973624,-0.004205167736742066
entry_variance_ratio_5_30,148,209,1.8550568936663048,1.7784513555657369,1.7749730143301656,1.706027192538948,1.1661958482802672,2.3613410025148185,1.1329215102299368,2.3292093878308218,0.07660553810056792,0.06894582179121755
entry_vol_ratio_5_30,148,209,0.5320863270639196,0.5205777307065058,0.5439013884081487,0.5332334061395234,0.4408695626738105,0.6273407427544836,0.43453452303009193,0.623058235350814,0.011508596357413747,0.010667982268625309
quality,148,209,0.8812803381632153,0.8719094464901661,0.8749612050955631,0.8548961232070196,0.7958494480840026,0.9767683542518079,0.7954687201132277,0.9539511949828712,0.009370891673049164,0.0200650818885435
entry_vol_ratio_5_60,148,209,0.4100375307002807,0.40178127845784695,0.40036497139487315,0.4008053796028623,0.32649773811508054,0.5017040813280244,0.3092412361849,0.4782817774063459,0.00825625224243376,-0.00044040820798912916
entry_past_return_15,148,209,-0.002932548662665455,-0.003027328519978091,-0.0028183517503699803,-0.0027590049042890757,-0.004085145879203264,-0.0015573596978181413,-0.004045858519543696,-0.0015665507390490124,9.477985731263594e-05,-5.934684608090461e-05
entry_realized_vol_15,148,209,0.0019211028086211367,0.0019884367133512627,0.0019267044700394215,0.001951465433324755,0.001533208399267521,0.0023375715743363047,0.001319183550747037,0.0024845299019511944,-6.733390473012604e-05,-2.4760963285333634e-05
entry_realized_vol_30,148,209,0.002457554493202099,0.002522929906621582,0.002456354518778779,0.0024641169256142464,0.0021308934843113254,0.002834213229640904,0.001951071569968929,0.002946409086810522,-6.5375413419483e-05,-7.762406835467358e-06
entry_realized_vol_60,148,209,0.0032575781000922315,0.0033098629887154353,0.0032585992282436523,0.003260543650334228,0.0026862450360143676,0.0039044870214235104,0.0025995156328695646,0.003982228646340596,-5.2284888623203764e-05,-1.94442209057585e-06
entry_past_return_30,148,209,-0.0044388084408673156,-0.004489572741258414,-0.004309102252251353,-0.004323909440419076,-0.005247875424992296,-0.0034905078526709663,-0.005683980279207546,-0.003325037595815879,5.07643003910983e-05,1.4807188167723084e-05
entry_past_return_5,148,209,-0.0018042896824662928,-0.0017683363335321623,-0.0017457958385376018,-0.0015919271906145473,-0.002544188454595648,-0.0009608964274588962,-0.0024981830024363634,-0.0007107078657124983,-3.595334893413053e-05,-0.00015386864792305455
entry_realized_vol_5,148,209,0.0013424925189585292,0.0013512170979504893,0.0013576887323996157,0.0013687370573639303,0.0007933211244072444,0.0018064958748745066,0.00070622291759589,0.0016699591471131627,-8.724578991960164e-06,-1.104832496431462e-05
