feature,threshold,side,trades,win_rate,mean_R,total_R
early_1_MFE_R,0.02,LOWER_OR_EQUAL,67,0.2537313432835821,-0.391265671641791,-26.214799999999997
early_1_MFE_R,0.02,ABOVE,470,0.4829787234042553,0.10525957446808512,49.47200000000001
early_1_MFE_R,0.04,LOWER_OR_EQUAL,94,0.2978723404255319,-0.2687617021276595,-25.263599999999993
early_1_MFE_R,0.04,ABOVE,443,0.48758465011286684,0.10952776523702036,48.52080000000002
early_1_MFE_R,0.06,LOWER_OR_EQUAL,121,0.2727272727272727,-0.31373884297520666,-37.9624
early_1_MFE_R,0.06,ABOVE,416,0.5072115384615384,0.14716250000000003,61.21960000000001
early_1_MFE_R,0.07,LOWER_OR_EQUAL,137,0.2846715328467153,-0.3308233576642336,-45.3228
early_1_MFE_R,0.07,ABOVE,400,0.5125,0.17145000000000002,68.58000000000001
early_1_MFE_R,0.09,LOWER_OR_EQUAL,167,0.3473053892215569,-0.22368143712574845,-37.35479999999999
early_1_MFE_R,0.09,ABOVE,370,0.5027027027027027,0.16381621621621625,60.612000000000016
early_1_MFE_R,0.11,LOWER_OR_EQUAL,194,0.3247422680412371,-0.26187422680412364,-50.80359999999999
early_1_MFE_R,0.11,ABOVE,343,0.5276967930029155,0.21592069970845482,74.0608
early_1_MFE_R,0.13,LOWER_OR_EQUAL,220,0.35909090909090907,-0.1916727272727273,-42.168000000000006
early_1_MFE_R,0.13,ABOVE,317,0.5205047318611987,0.20638864353312308,65.42520000000002
early_1_MFE_R,0.16,LOWER_OR_EQUAL,251,0.3745019920318725,-0.1530852589641434,-38.42439999999999
early_1_MFE_R,0.16,ABOVE,286,0.5244755244755245,0.21566993006993007,61.6816
early_1_MFE_R,0.19,LOWER_OR_EQUAL,276,0.38405797101449274,-0.13882028985507244,-38.31439999999999
early_1_MFE_R,0.19,ABOVE,261,0.5287356321839081,0.2359065134099617,61.571600000000004
early_1_MFE_R,0.22,LOWER_OR_EQUAL,298,0.37919463087248323,-0.14513825503355704,-43.2512
early_1_MFE_R,0.22,ABOVE,239,0.5481171548117155,0.27827782426778236,66.50839999999998
early_1_MFE_R,0.26,LOWER_OR_EQUAL,334,0.39520958083832336,-0.12475928143712571,-41.66959999999999
early_1_MFE_R,0.26,ABOVE,203,0.5517241379310345,0.31983645320197046,64.9268
early_1_MFE_R,0.2840000000000009,LOWER_OR_EQUAL,349,0.3954154727793696,-0.14021661891117473,-48.93559999999999
early_1_MFE_R,0.2840000000000009,ABOVE,188,0.5638297872340425,0.38400425531914895,72.1928
early_1_MFE_R,0.33,LOWER_OR_EQUAL,381,0.4015748031496063,-0.12728713910761152,-48.49639999999999
early_1_MFE_R,0.33,ABOVE,156,0.5833333333333334,0.45995897435897437,71.7536
early_1_MFE_R,0.38,LOWER_OR_EQUAL,404,0.40594059405940597,-0.10870693069306925,-43.91759999999998
early_1_MFE_R,0.38,ABOVE,133,0.6015037593984962,0.5050736842105262,67.17479999999999
early_1_MFE_R,0.44,LOWER_OR_EQUAL,431,0.4176334106728538,-0.07880835266821341,-33.96639999999998
early_1_MFE_R,0.44,ABOVE,106,0.6037735849056604,0.5398452830188679,57.223600000000005
early_1_MFE_R,0.52,LOWER_OR_EQUAL,459,0.420479302832244,-0.056077559912854,-25.739599999999985
early_1_MFE_R,0.52,ABOVE,78,0.6538461538461539,0.6281641025641024,48.996799999999986
early_1_MFE_R,0.6340000000000015,LOWER_OR_EQUAL,483,0.432712215320911,-0.014565631469979252,-7.035199999999979
early_1_MFE_R,0.6340000000000015,ABOVE,54,0.6481481481481481,0.5609703703703703,30.2924
early_1_MFE_R,0.78,LOWER_OR_EQUAL,511,0.44227005870841485,0.006304500978473601,3.2216000000000102
early_1_MFE_R,0.78,ABOVE,26,0.6923076923076923,0.7706000000000001,20.035600000000002
early_1_MAE_R,0.03600000000000002,LOWER_OR_EQUAL,54,0.5925925925925926,0.3830074074074075,20.682400000000005
early_1_MAE_R,0.03600000000000002,ABOVE,483,0.4389233954451346,0.005330848861283706,2.57480000000003
early_1_MAE_R,0.054000000000000055,LOWER_OR_EQUAL,81,0.5925925925925926,0.3653530864197531,29.593600000000002
early_1_MAE_R,0.054000000000000055,ABOVE,456,0.4298245614035088,-0.013895614035087675,-6.33639999999998
early_1_MAE_R,0.08,LOWER_OR_EQUAL,116,0.603448275862069,0.4499965517241378,52.19959999999999
early_1_MAE_R,0.08,ABOVE,421,0.41330166270783847,-0.06874679334916864,-28.942399999999996
early_1_MAE_R,0.1,LOWER_OR_EQUAL,137,0.6058394160583942,0.39837372262773724,54.577200000000005
early_1_MAE_R,0.1,ABOVE,400,0.4025,-0.07829999999999998,-31.31999999999999
early_1_MAE_R,0.13,LOWER_OR_EQUAL,166,0.5783132530120482,0.34072048192771087,56.5596
early_1_MAE_R,0.13,ABOVE,371,0.39892183288409705,-0.08976388140161723,-33.30239999999999
early_1_MAE_R,0.15,LOWER_OR_EQUAL,196,0.5816326530612245,0.3404469387755102,66.7276
early_1_MAE_R,0.15,ABOVE,341,0.3812316715542522,-0.12747917888563048,-43.4704
early_1_MAE_R,0.17,LOWER_OR_EQUAL,220,0.5681818181818182,0.31823636363636365,70.012
early_1_MAE_R,0.17,ABOVE,317,0.3753943217665615,-0.14749148264984224,-46.75479999999999
early_1_MAE_R,0.2,LOWER_OR_EQUAL,251,0.5537848605577689,0.27456414342629487,68.91560000000001
early_1_MAE_R,0.2,ABOVE,286,0.36713286713286714,-0.1596447552447552,-45.658399999999986
early_1_MAE_R,0.22000000000000056,LOWER_OR_EQUAL,269,0.5427509293680297,0.2565293680297398,69.00640000000001
early_1_MAE_R,0.22000000000000056,ABOVE,268,0.3656716417910448,-0.17070597014925368,-45.74919999999999
early_1_MAE_R,0.25,LOWER_OR_EQUAL,307,0.5439739413680782,0.24149576547231275,74.13920000000002
early_1_MAE_R,0.25,ABOVE,230,0.3347826086956522,-0.2212260869565217,-50.88199999999999
early_1_MAE_R,0.27,LOWER_OR_EQUAL,329,0.5288753799392097,0.21180060790273555,69.6824
early_1_MAE_R,0.27,ABOVE,208,0.33653846153846156,-0.22319807692307686,-46.42519999999999
early_1_MAE_R,0.29,LOWER_OR_EQUAL,354,0.519774011299435,0.19093898305084753,67.59240000000003
early_1_MAE_R,0.29,ABOVE,183,0.32786885245901637,-0.24226885245901636,-44.33519999999999
early_1_MAE_R,0.32,LOWER_OR_EQUAL,377,0.5225464190981433,0.19323925729442973,72.8512
early_1_MAE_R,0.32,ABOVE,160,0.29375,-0.3099625,-49.593999999999994
early_1_MAE_R,0.36,LOWER_OR_EQUAL,409,0.5183374083129584,0.17743374083129587,72.5704
early_1_MAE_R,0.36,ABOVE,128,0.25,-0.3852593749999999,-49.31319999999999
early_1_MAE_R,0.39,LOWER_OR_EQUAL,430,0.5093023255813953,0.15699534883720934,67.50800000000001
early_1_MAE_R,0.39,ABOVE,107,0.2336448598130841,-0.41355887850467293,-44.250800000000005
early_1_MAE_R,0.4460000000000008,LOWER_OR_EQUAL,456,0.5,0.13555614035087724,61.81360000000002
early_1_MAE_R,0.4460000000000008,ABOVE,81,0.19753086419753085,-0.4760049382716049,-38.5564
early_1_MAE_R,0.5240000000000015,LOWER_OR_EQUAL,483,0.4865424430641822,0.11092091097308492,53.57480000000002
early_1_MAE_R,0.5240000000000015,ABOVE,54,0.16666666666666666,-0.5614370370370368,-30.31759999999999
early_1_MAE_R,0.6720000000000016,LOWER_OR_EQUAL,510,0.46862745098039216,0.07218823529411768,36.81600000000002
early_1_MAE_R,0.6720000000000016,ABOVE,27,0.18518518518518517,-0.5021777777777777,-13.558799999999998
early_1_close_R,-0.35,LOWER_OR_EQUAL,58,0.1896551724137931,-0.5304344827586207,-30.7652
early_1_close_R,-0.35,ABOVE,479,0.48643006263048016,0.11278162839248437,54.02240000000001
early_1_close_R,-0.3,LOWER_OR_EQUAL,86,0.19767441860465115,-0.5363767441860466,-46.12840000000001
early_1_close_R,-0.3,ABOVE,451,0.5033259423503326,0.15384833702882486,69.38560000000001
early_1_close_R,-0.24,LOWER_OR_EQUAL,112,0.21428571428571427,-0.48270357142857134,-54.06279999999999
early_1_close_R,-0.24,ABOVE,425,0.5176470588235295,0.1819294117647059,77.32000000000001
early_1_close_R,-0.2,LOWER_OR_EQUAL,141,0.24822695035460993,-0.3946836879432624,-55.650400000000005
early_1_close_R,-0.2,ABOVE,396,0.5277777777777778,0.1992616161616162,78.90760000000002
early_1_close_R,-0.16,LOWER_OR_EQUAL,169,0.2603550295857988,-0.38345325443786976,-64.80359999999999
early_1_close_R,-0.16,ABOVE,368,0.5434782608695652,0.23929565217391308,88.06080000000001
