mae_threshold,recovery_level,deadline,development_trades,triggered_trades,recovered_trades,failed_recovery_trades,development_win_rate,development_mean_R,development_total_R,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD_R,development_profit_factor,development_max_drawdown_R,development_positive_window_pct
0.6,0.4,5,95,95,11,84,0.22105263157894736,-0.5417894736842106,-51.470000000000006,16.01999999999999,0.16863157894736824,0.01052631578947369,17.66999999999998,0.13843321057917646,-51.37999999999999,0.2
0.6,0.3,5,95,95,13,82,0.22105263157894736,-0.5467368421052632,-51.940000000000005,15.54999999999999,0.16368421052631565,0.01052631578947369,17.16999999999998,0.13056578506863073,-51.87999999999999,0.2
0.6,0.2,5,95,95,16,79,0.23157894736842105,-0.5609473684210527,-53.290000000000006,14.199999999999989,0.1494736842105261,0.02105263157894738,15.819999999999979,0.10796786072982928,-53.22999999999999,0.2
0.6,-0.3,3,95,95,34,61,0.09473684210526316,-0.5614736842105262,-53.339999999999996,14.149999999999999,0.1489473684210526,-0.11578947368421051,16.469999999999978,0.025575447570332484,-52.57999999999999,0.1
0.8,0.3,4,95,89,10,79,0.22105263157894736,-0.5621052631578947,-53.39999999999999,14.090000000000003,0.14831578947368418,0.01052631578947369,15.439999999999976,0.1403734707018674,-53.60999999999999,0.1
0.8,0.4,4,95,89,7,82,0.22105263157894736,-0.5624210526315788,-53.429999999999986,14.06000000000001,0.14800000000000002,0.01052631578947369,15.439999999999976,0.13989053444945268,-53.60999999999999,0.1
0.6,0.1,5,95,95,18,77,0.23157894736842105,-0.5624210526315789,-53.43,14.059999999999995,0.1479999999999999,0.02105263157894738,15.679999999999978,0.10562437227987949,-53.36999999999999,0.2
0.7,0.1,3,95,95,12,83,0.15789473684210525,-0.5669473684210528,-53.86000000000001,13.629999999999988,0.1434736842105261,-0.05263157894736842,15.58999999999996,0.06509286582190593,-53.46000000000001,0.1
0.7,0.2,3,95,95,8,87,0.15789473684210525,-0.5669473684210528,-53.86000000000001,13.629999999999988,0.1434736842105261,-0.05263157894736842,15.58999999999996,0.06509286582190593,-53.46000000000001,0.1
0.7,0.3,3,95,95,6,89,0.14736842105263157,-0.5696842105263158,-54.120000000000005,13.36999999999999,0.14073684210526305,-0.06315789473684211,15.32999999999997,0.07122018191178994,-53.72,0.1
0.7,0.4,3,95,95,4,91,0.14736842105263157,-0.5696842105263158,-54.120000000000005,13.36999999999999,0.14073684210526305,-0.06315789473684211,15.32999999999997,0.07122018191178994,-53.72,0.1
0.7,-0.3,3,95,95,34,61,0.10526315789473684,-0.5706315789473685,-54.21000000000001,13.279999999999987,0.13978947368421035,-0.10526315789473684,15.599999999999959,0.0407007609272695,-53.45000000000001,0.1
0.6,-0.1,5,95,95,29,66,0.18947368421052632,-0.5727368421052633,-54.41000000000001,13.079999999999984,0.13768421052631552,-0.02105263157894735,15.059999999999981,0.06704389574759945,-53.98999999999999,0.2
0.7,0.4,4,95,95,8,87,0.18947368421052632,-0.5731578947368419,-54.44999999999998,13.040000000000013,0.13726315789473698,-0.02105263157894735,14.440000000000005,0.10942100098135427,-54.609999999999964,0.1
0.8,0.4,8,95,89,16,73,0.2631578947368421,-0.5731578947368421,-54.449999999999996,13.04,0.13726315789473675,0.05263157894736842,14.08999999999999,0.18791946308724833,-54.95999999999998,0.1
0.7,0.3,4,95,95,11,84,0.18947368421052632,-0.5734736842105261,-54.47999999999998,13.010000000000012,0.1369473684210527,-0.02105263157894735,14.380000000000003,0.10893032384690875,-54.669999999999966,0.1
