feature,bucket,trades,recovery_trades,recovery_rate,mean_R,median_R,total_R
mfe_speed_1_8,"(-0.00475, 0.0112]",50,3,0.06,-0.8912,-1.0444,-44.56
mfe_speed_1_8,"(0.0112, 0.035]",51,5,0.09803921568627451,-0.8038117647058824,-1.0444,-40.994400000000006
mfe_speed_1_8,"(0.035, 0.0644]",45,7,0.15555555555555556,-0.7017333333333333,-1.0444,-31.578
mfe_speed_1_8,"(0.0644, 0.46]",49,12,0.24489795918367346,-0.36256326530612243,-1.0444,-17.7656
mfe_speed_3_8,"(-0.001, 0.58]",195,27,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997
mfe_speed_5_8,"(-0.001, 0.707]",195,27,0.13846153846153847,-0.6917846153846152,-1.0444,-134.89799999999997
mae_path_std_8,"(-0.001, 0.2]",49,12,0.24489795918367346,-0.4172571428571428,-1.0444,-20.4456
mae_path_std_8,"(0.2, 0.283]",49,7,0.14285714285714285,-0.6552163265306123,-1.0444,-32.1056
mae_path_std_8,"(0.283, 0.387]",48,7,0.14583333333333334,-0.7066916666666666,-1.0444,-33.9212
mae_path_std_8,"(0.387, 1.651]",49,1,0.02040816326530612,-0.988277551020408,-1.0444,-48.425599999999996
mfe_path_std_8,"(-0.001, 0.0963]",146,13,0.08904109589041095,-0.8221397260273972,-1.0444,-120.03239999999998
mfe_path_std_8,"(0.0963, 1.3]",49,14,0.2857142857142857,-0.3033795918367347,-1.0444,-14.8656
close_path_std_8,"(0.122, 0.257]",49,8,0.16326530612244897,-0.6484816326530612,-1.0444,-31.7756
close_path_std_8,"(0.257, 0.335]",49,7,0.14285714285714285,-0.7227673469387756,-1.0444,-35.415600000000005
close_path_std_8,"(0.335, 0.462]",48,6,0.125,-0.691275,-1.0444,-33.1812
close_path_std_8,"(0.462, 1.62]",49,6,0.12244897959183673,-0.704604081632653,-1.0444,-34.5256
quality,"(0.749, 0.829]",49,5,0.10204081632653061,-0.7601142857142857,-1.0444,-37.2456
quality,"(0.829, 0.938]",49,8,0.16326530612244897,-0.7188897959183673,-1.0444,-35.2256
quality,"(0.938, 1.0]",97,14,0.14432989690721648,-0.6435752577319587,-1.0444,-62.42679999999999
vol_percentile,"(0.401, 0.451]",49,6,0.12244897959183673,-0.6829714285714286,-1.0444,-33.4656
vol_percentile,"(0.451, 0.505]",49,6,0.12244897959183673,-0.7260326530612246,-1.0444,-35.5756
vol_percentile,"(0.505, 0.561]",48,7,0.14583333333333334,-0.711275,-1.0444,-34.1412
vol_percentile,"(0.561, 0.6]",49,8,0.16326530612244897,-0.6472571428571429,-1.0444,-31.7156
