target_points,horizon_bars,windows,mean_realized_probability,mean_baseline_probability,mean_probability_lift,median_probability_lift,positive_lift_window_ratio,mean_top_decile_lift,positive_top_decile_lift_ratio,mean_future_mfe,median_future_mfe
5.0,5,21,0.7478353539890366,0.6481555899811658,0.10361423805086209,0.09466899225369096,0.9523809523809523,0.21690448764914516,1.0,16.347656119584574,10.25
5.0,10,21,0.8168536576292976,0.7379305331748321,0.08690044353744651,0.10003150106644243,0.9047619047619048,0.16220500847891683,1.0,22.64195524752817,13.75
5.0,20,21,0.8645007817705161,0.8025394790467302,0.07070589845475646,0.0762029984608843,0.9047619047619048,0.12085037299802352,1.0,31.064551426818824,19.0
5.0,30,21,0.8881359452079243,0.8357291768334809,0.05675430541974854,0.061672700725093677,0.9047619047619048,0.10075109313361,1.0,37.85592759078493,23.25
5.0,60,21,0.9219608619978801,0.8904247214033164,0.042647630452363985,0.042621238328848454,0.8571428571428571,0.05154313273260256,0.9047619047619048,52.957823528574636,33.25
5.0,120,21,0.9479484148975007,0.9275384237583344,0.02876257669210704,0.028321073420226384,0.8571428571428571,0.03075446191059285,0.9047619047619048,78.01846056836695,50.125
10.0,5,21,0.5330812438774385,0.3996535224078273,0.12408368301734304,0.11603623990659723,0.8571428571428571,0.36192084291586835,1.0,16.347656119584574,10.25
10.0,10,21,0.6424066759588519,0.5180057250967764,0.12718446239045972,0.1323207708404625,0.9523809523809523,0.2913844916548981,1.0,22.64195524752817,13.75
10.0,20,21,0.7293420670741829,0.6217882651243468,0.10746020420346432,0.1146885294198795,0.9047619047619048,0.24116713126697645,1.0,31.064551426818824,19.0
10.0,30,21,0.7721602480677302,0.6783121379142983,0.09266231498813735,0.10948787039211372,0.9047619047619048,0.200139683361944,1.0,37.85592759078493,23.25
10.0,60,21,0.8361713143604568,0.7715818009950713,0.06798714823115193,0.08120327719686615,0.8571428571428571,0.1319634645886523,1.0,52.957823528574636,33.25
10.0,120,21,0.8903634599171132,0.8474591331590512,0.044143992105473914,0.052459437552000554,0.8571428571428571,0.0846910971540222,1.0,78.01846056836695,50.125
15.0,5,21,0.37532742070236186,0.2588938335057219,0.1107837467082769,0.0954049983152847,0.8571428571428571,0.38372322280395155,1.0,16.347656119584574,10.25
15.0,10,21,0.49743570542191295,0.3695674102531722,0.12393874474558136,0.109900131310957,0.8095238095238095,0.34203734360854265,1.0,22.64195524752817,13.75
15.0,20,21,0.6109432052403896,0.4860557245704869,0.12416619122536272,0.10492434190560507,0.8571428571428571,0.2909857195084826,1.0,31.064551426818824,19.0
15.0,30,21,0.6683268930671055,0.5518442498214982,0.11108987938311422,0.09591934059061613,0.9047619047619048,0.24706358751299642,1.0,37.85592759078493,23.25
15.0,60,21,0.7572711258488235,0.6713548183974452,0.08412608410375975,0.07402593067582253,0.8571428571428571,0.18707263388866127,1.0,52.957823528574636,33.25
15.0,120,21,0.8356945925227401,0.7752439164828859,0.05389686890523574,0.05851986813650156,0.8095238095238095,0.11884598504940327,1.0,78.01846056836695,50.125
20.0,5,21,0.2651003423122256,0.1695667941829478,0.09286511732660532,0.08191448459187953,0.8095238095238095,0.36902247515694164,1.0,16.347656119584574,10.25
20.0,10,21,0.381824363515929,0.265691146646763,0.10893867597671998,0.08962531120891609,0.8095238095238095,0.3807558254799852,1.0,22.64195524752817,13.75
20.0,20,21,0.5032085770219036,0.3762538669352867,0.1262032499268006,0.1297871533478006,0.8571428571428571,0.3431489799219788,1.0,31.064551426818824,19.0
20.0,30,21,0.573967818416422,0.4468229517075086,0.12986874985501715,0.12907941646111387,0.8571428571428571,0.3065661631055257,1.0,37.85592759078493,23.25
20.0,60,21,0.6825691255475019,0.5791215487595862,0.09749940403563422,0.10414737836423738,0.8571428571428571,0.23475154166756357,1.0,52.957823528574636,33.25
20.0,120,21,0.7808380371664767,0.7043566034545233,0.06549777656900362,0.07178819319706053,0.8095238095238095,0.1541578222704023,1.0,78.01846056836695,50.125
25.0,5,21,0.1886602050432351,0.11136966308091986,0.0700247120519036,0.03841286032480018,0.7619047619047619,0.33890789801745175,1.0,16.347656119584574,10.25
