side,hmm_state,zscore_threshold,horizon_bars,observations,mean_close_move,median_close_move,std_close_move,mean_mfe,median_mfe,mean_mae,median_mae,mfe_ge_5,mfe_ge_10,mfe_ge_20,mfe_ge_35,mfe_ge_50,mfe_ge_75,mfe_ge_100,mae_ge_5,mae_ge_10,mae_ge_20,mae_ge_35,mae_ge_50,mae_ge_75,mae_ge_100
LONG,0,1.5,5,48077,15869.996063606299,14751.75,5844.4339900041605,12.995299207521269,9.25,13.268834369865008,9.0,0.7110260623583002,0.4775880358591426,0.19826528277554756,0.05547351124238201,0.019260769182769307,0.00582399068161491,0.0027247956403269754,0.6826965076855877,0.46431765709174866,0.21087006260789984,0.06924308921105726,0.02498076003078395,0.006988788817937891,0.002911995340807455
LONG,0,1.5,10,48077,15870.043191130893,14750.75,5844.758721593098,18.46603885433783,13.0,19.013530378351394,12.75,0.7903987353620234,0.6025542359132225,0.32658027747155605,0.12608939825696278,0.05514071177486116,0.017367972211244462,0.008548786321941886,0.762859579424673,0.5874118601410238,0.33309066705493273,0.14878216194854088,0.0688686898100963,0.02221436445701687,0.009692784491544813
LONG,0,1.5,20,48077,15870.30788110739,14750.25,5844.745207417055,26.154949352081037,18.5,27.149026561557502,18.0,0.8484930424111321,0.7051604717432453,0.4686024502360796,0.2376604197433284,0.12575659878944193,0.048255922790523535,0.02323356282629948,0.8254674792520332,0.6889988976017638,0.4634024585560663,0.26022838363458617,0.14880296191526093,0.06364789816336294,0.029431952908875347
LONG,0,1.5,30,48077,15870.57363188219,14751.25,5845.004371818552,32.13786737941219,22.25,33.43500530399152,22.25,0.8756993988809618,0.7543107931027311,0.5447095284647545,0.31767789171537325,0.1863677018116771,0.07989267217172452,0.040206335669862925,0.8516338373858602,0.7352996235206024,0.536722341244254,0.3333818665890135,0.20943486490421614,0.10262703579674272,0.05179191713293259
LONG,0,1.5,60,48077,15871.181011710381,14751.0,5844.825580425524,45.95807246708405,31.75,47.92117852611436,31.25,0.9164465336855461,0.8246354805832311,0.6622917403332155,0.463277658755746,0.3196122886203382,0.17068452690475694,0.0982382428188115,0.8915073735882023,0.8011107182228508,0.6443621690205296,0.4626536597541444,0.3356282629947792,0.19809888304178713,0.1168750129999792
LONG,0,1.5,120,48077,15869.163984646431,14761.0,5841.513256342235,69.66714169804648,47.25,72.35504088043773,45.75,0.9442560891902573,0.8824593880649791,0.7643155770950767,0.6100214239657217,0.48031283149946963,0.31776109158225346,0.2109740624415001,0.9219169249329201,0.8548370322607484,0.735570023087963,0.5868502610395824,0.47114004617592614,0.3344010649582961,0.23674522120764607
LONG,0,2.0,5,17734,15619.26384346453,14645.5,5762.690006398952,13.684518439156422,9.75,13.699391000338332,9.0,0.72093154392692,0.4939663922408932,0.22183376564790797,0.06552385248674862,0.023514153603248,0.006766662907409496,0.0028758317356490357,0.6833201759332356,0.47095973835570093,0.22172098793278447,0.07809856772301793,0.031239427089207173,0.008965828352317582,0.0032705537385812563
LONG,0,2.0,10,17734,15619.45466335852,14646.125,5762.93217103974,19.477599526333595,13.5,19.502777151234916,12.75,0.7947445584752453,0.6130032705537386,0.3509078606067441,0.14475019736100148,0.0651291304838164,0.020581933010037218,0.010375549791361228,0.7584865230630428,0.5851471749182362,0.33743092364948685,0.161046577196346,0.07815495658057968,0.02655915191158227,0.012518326378707567
LONG,0,2.0,20,17734,15619.701956693358,14638.0,5762.936488538954,27.22056501635277,19.25,27.761728882372843,18.0,0.8485959174467125,0.7094282169843239,0.48641028532761926,0.25837374534791924,0.13990075561069132,0.05492274726514041,0.026615540769144016,0.8212473215292658,0.6835457313634826,0.4617119657155746,0.26739596255779857,0.15862185632119094,0.07206495996391113,0.03462275854291192
LONG,0,2.0,30,17734,15619.351330777039,14643.0,5762.844204360156,32.868360212022104,23.0,34.14601894665614,22.0,0.8754934025036653,0.7564001353332581,0.5554866358407579,0.3343295364835908,0.20136461035299424,0.08621856321190932,0.04364497575279125,0.8485959174467125,0.730686816285102,0.5333822036765535,0.3388406450885305,0.21974737791812338,0.11187549340250366,0.05932107815495658
