context,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,aggregate_wr,mean_window_wr,median_window_wr,std_window_wr,min_window_wr,max_window_wr,mean_window_expectancy,median_window_expectancy,min_window_expectancy,positive_window_ratio,wr_ge_50_window_ratio,windows,robustness_score
C1,LONG,0,40-60,2.0,50.0,12.5,4.0,3,5149,2586,0.5022334433870654,0.507642123949313,0.5084745762711864,0.03978098389078248,0.4131054131054131,0.5794392523364486,1.538210619746565,1.542372881355932,1.0655270655270654,1.0,0.6666666666666666,21,10.478340740474767
A1,LONG,0,20-40,2.0,50.0,12.5,4.0,3,3222,1660,0.5152079453755432,0.5191775288511421,0.5,0.06640139875725974,0.40384615384615385,0.6451612903225806,1.5958876442557106,1.5,1.0192307692307692,1.0,0.5263157894736842,19,10.131068120777105
A2,LONG,0,20-40,2.5,50.0,12.5,4.0,3,796,402,0.5050251256281407,0.512362994115341,0.5208333333333333,0.10608944516281012,0.34782608695652173,0.6756756756756757,1.5618149705767053,1.6041666666666665,0.7391304347826086,1.0,0.5714285714285714,14,7.81452386118184
A2,LONG,0,20-40,2.5,50.0,12.5,4.0,4,796,399,0.5012562814070352,0.5103241060910464,0.4849397590361446,0.11316052666036101,0.30434782608695654,0.7297297297297297,1.5516205304552315,1.4246987951807228,0.5217391304347827,1.0,0.5,14,7.676268257519753
