window,direction,horizon_bars,quantile,mfe_points,mae_points,validation_start,validation_end
1,long_reversion,20,0.5,23.0,-28.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,20,0.75,60.75,-11.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,20,0.9,131.5,-3.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,30,0.1,2.5,-110.425,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,30,0.25,8.3125,-65.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,30,0.5,33.5,-34.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,30,0.75,82.25,-14.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,30,0.9,159.75,-5.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,60,0.1,4.25,-208.675,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,60,0.25,19.25,-99.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,60,0.5,68.125,-50.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,60,0.75,144.75,-19.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,60,0.9,229.75,-6.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,1,0.1,0.0,-9.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,1,0.25,0.75,-5.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,1,0.5,2.0,-2.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,1,0.75,4.0,-1.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,1,0.9,8.0,-0.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,3,0.1,0.25,-18.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,3,0.25,1.25,-10.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,3,0.5,3.0,-6.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,3,0.75,7.0,-3.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,3,0.9,18.75,-1.1000000000000227,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,5,0.1,0.25,-26.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,5,0.25,1.5,-15.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,5,0.5,3.75,-9.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,5,0.75,10.0,-4.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,5,0.9,28.149999999999977,-2.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,10,0.1,0.5,-45.64999999999999,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,10,0.25,2.0,-26.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,10,0.5,5.5,-15.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,10,0.75,17.5,-8.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,10,0.9,55.75,-3.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,20,0.1,0.75,-76.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,20,0.25,2.75,-46.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,20,0.5,8.75,-26.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,20,0.75,33.0,-13.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,20,0.9,83.39999999999998,-5.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,30,0.1,1.0,-98.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,30,0.25,3.25,-65.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,30,0.5,12.0,-35.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,30,0.75,42.75,-18.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,30,0.9,102.89999999999998,-8.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,60,0.1,1.25,-150.25,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,60,0.25,4.25,-101.5,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,60,0.5,19.75,-66.75,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,60,0.75,69.25,-32.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,60,0.9,178.29999999999995,-13.0,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2,long_reversion,1,0.1,0.25,-11.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,1,0.25,1.25,-7.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,1,0.5,3.0,-3.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,1,0.75,6.25,-1.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,1,0.9,12.0,0.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,3,0.1,0.5,-23.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,3,0.25,1.75,-14.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,3,0.5,4.75,-7.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,3,0.75,11.0,-3.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,3,0.9,31.5,-0.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
