target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,1,past_return_1,6.6824445724487305,0.014014221597367113
1.0,5,1,past_return_3,6.9154534339904785,0.014502880767584471
1.0,5,1,past_return_5,7.972103118896484,0.01671885467870583
1.0,5,1,past_return_10,7.485987186431885,0.015699386978568475
1.0,5,1,past_return_15,6.8245038986206055,0.01431214413983809
1.0,5,1,past_return_30,5.691198348999023,0.011935409856787718
1.0,5,1,realized_vol_5,7.613061428070068,0.01596588325284768
1.0,5,1,realized_vol_15,7.487981796264648,0.0157035700142665
1.0,5,1,realized_vol_30,10.551698684692383,0.02212870484636716
1.0,5,1,realized_vol_60,8.413137435913086,0.017643778572006334
1.0,5,1,vol_ratio_5_30,6.189413070678711,0.0129802507734601
1.0,5,1,vol_ratio_5_60,6.214019775390625,0.013031855213852394
1.0,5,1,variance_ratio_5_30,6.4422760009765625,0.013510547299010649
1.0,5,1,variance_ratio_5_60,5.996923446655273,0.01257656732842558
1.0,5,1,rolling_range_5,28.464008331298828,0.059693861427413425
1.0,5,1,rolling_range_15,6.413321018218994,0.013449823780796146
1.0,5,1,rolling_range_30,6.897635459899902,0.01446551344869177
1.0,5,1,rolling_range_60,9.183424949645996,0.019259202358032922
1.0,5,1,atr_5,16.09733772277832,0.03375885209804381
1.0,5,1,atr_15,35.255760192871094,0.07393731898108019
1.0,5,1,atr_30,29.59727668762207,0.062070517709798136
1.0,5,1,atr_60,14.681936264038086,0.030790514766253014
1.0,5,1,normalized_range_5,5.9844770431518555,0.012550465105669211
1.0,5,1,normalized_range_15,6.967379093170166,0.014611777696910865
1.0,5,1,normalized_range_30,6.911256790161133,0.014494079692476096
1.0,5,1,normalized_range_60,6.7723493576049805,0.01420276720641534
1.0,5,1,vwap_distance,8.28734302520752,0.01737996632063258
1.0,5,1,vwap_distance_pct,8.06103515625,0.016905360270344547
1.0,5,1,normalized_vwap_distance,8.470836639404297,0.01776478360466328
1.0,5,1,mean_distance_5,10.835572242736816,0.0227240359269226
1.0,5,1,mean_distance_15,7.1017279624938965,0.014893530101385884
1.0,5,1,mean_distance_30,7.451623439788818,0.015627320363551984
1.0,5,1,mean_distance_60,7.8172454833984375,0.016394091907180337
1.0,5,1,zscore_5,5.8262939453125,0.012218728274627095
1.0,5,1,zscore_15,6.591341495513916,0.013823162966872759
1.0,5,1,zscore_30,6.258691787719727,0.013125540013358474
1.0,5,1,zscore_60,9.86437702178955,0.02068727454520097
1.0,5,1,abs_zscore_5,5.829545974731445,0.012225548332829472
1.0,5,1,abs_zscore_15,8.31259822845459,0.017432930772631215
1.0,5,1,abs_zscore_30,6.919564723968506,0.014511502841165246
1.0,5,1,abs_zscore_60,6.7437286376953125,0.01414274469418322
1.0,5,1,zscore_direction_5,0.0,0.0
1.0,5,1,zscore_direction_15,0.0,0.0
1.0,5,1,zscore_direction_30,0.0,0.0
1.0,5,1,zscore_direction_60,0.0,0.0
1.0,5,1,log_zscore_5,7.181756019592285,0.015061362533667862
1.0,5,1,log_zscore_30,6.955132007598877,0.014586093477721739
1.0,5,1,log_zscore_60,6.472311496734619,0.013573536836563363
1.0,5,1,autocorrelation_30,6.004184246063232,0.012591794458373908
1.0,5,1,autocorrelation_60,6.885071754455566,0.01443916522383602
1.0,5,1,ar1_coefficient_30,6.313647270202637,0.013240790996910367
1.0,5,1,ar1_coefficient_60,7.758058071136475,0.016269965847888545
1.0,5,1,mean_reversion_speed_30,6.749953746795654,0.01415579980559554
1.0,5,1,mean_reversion_speed_60,5.803220272064209,0.012170338861671846
1.0,5,1,half_life_30,8.819819450378418,0.018496659850495163
1.0,5,1,half_life_60,5.5218658447265625,0.01158029082620191
1.0,5,1,ou_residual_30,8.42751693725586,0.017673934829359833
1.0,5,1,ou_residual_60,5.862660884857178,0.012294995925495229
1.0,5,1,normalized_ou_residual_30,0.0,0.0
1.0,5,1,normalized_ou_residual_60,0.0,0.0
1.0,5,2,past_return_1,6.61161994934082,0.015357429208652601
1.0,5,2,past_return_3,8.002534866333008,0.01858823762423555
1.0,5,2,past_return_5,6.6114068031311035,0.015356934113978088
1.0,5,2,past_return_10,7.003681182861328,0.016268106574469508
1.0,5,2,past_return_15,6.616270065307617,0.015368230468755162
1.0,5,2,past_return_30,7.372583389282227,0.01712499029788884
1.0,5,2,realized_vol_5,7.494133949279785,0.017407327173682905
1.0,5,2,realized_vol_15,6.892229080200195,0.0160092263318227
1.0,5,2,realized_vol_30,7.709452152252197,0.01790746694046015
1.0,5,2,realized_vol_60,6.992729187011719,0.016242667347435503
1.0,5,2,vol_ratio_5_30,6.771305084228516,0.01572834483500472
1.0,5,2,vol_ratio_5_60,7.533962726593018,0.017499841206967005
1.0,5,2,variance_ratio_5_30,6.917478561401367,0.016067875667851287
1.0,5,2,variance_ratio_5_60,6.588106632232666,0.015302812623652871
1.0,5,2,rolling_range_5,14.874582290649414,0.034550586132782946
1.0,5,2,rolling_range_15,11.72350025177002,0.027231272603944714
1.0,5,2,rolling_range_30,5.672909259796143,0.013176997926675307
1.0,5,2,rolling_range_60,6.678463459014893,0.015512692892249508
1.0,5,2,atr_5,12.885895729064941,0.029931277503166803
1.0,5,2,atr_15,27.948951721191406,0.06491964916359719
1.0,5,2,atr_30,16.25849151611328,0.03776512177217364
1.0,5,2,atr_60,16.235004425048828,0.037710566104863175
1.0,5,2,normalized_range_5,5.239550590515137,0.012170395136975867
1.0,5,2,normalized_range_15,6.8513360023498535,0.015914240147949087
1.0,5,2,normalized_range_30,6.183847904205322,0.014363802994359395
1.0,5,2,normalized_range_60,7.915230751037598,0.018385448174668508
1.0,5,2,vwap_distance,7.4944748878479,0.017408119103643253
1.0,5,2,vwap_distance_pct,7.417522430419922,0.01722937441982339
1.0,5,2,normalized_vwap_distance,6.090699195861816,0.014147437760842691
1.0,5,2,mean_distance_5,11.124823570251465,0.025840670175834957
1.0,5,2,mean_distance_15,8.438703536987305,0.019601367467440362
1.0,5,2,mean_distance_30,8.303353309631348,0.01928697681115326
1.0,5,2,mean_distance_60,7.336178302764893,0.01704042879203874
1.0,5,2,zscore_5,5.457098484039307,0.012675714014934366
