observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
5154,2608,2546,0.5060147458284827,50.0,15.0,3.3333333333333335,4,1.1927305652567586,0.23076923076923073,0.275245515059252,C1,LONG,0,40-60,2.0,True,10.256450879805273
3267,1687,1580,0.5163758800122437,50.0,15.0,3.3333333333333335,5,1.2376288133863893,0.23076923076923073,0.28560664924301293,A1,LONG,0,20-40,2.0,True,10.178811328049875
5154,2598,2556,0.5040745052386496,50.0,15.0,3.3333333333333335,5,1.1843228560341483,0.23076923076923073,0.2733052744694189,C1,LONG,0,40-60,2.0,True,10.164510289282397
861,431,430,0.5005807200929152,50.0,12.5,4.0,3,1.5029036004645762,0.2,0.3005807200929152,A2,LONG,0,20-40,2.5,True,10.164408333078038
5154,2666,2488,0.5172681412495149,47.5,15.0,3.1666666666666665,3,1.1552839218729787,0.24000000000000005,0.2772681412495149,C1,LONG,0,40-60,2.0,True,10.045569946800152
3267,1656,1611,0.5068870523415978,42.5,12.5,3.4,4,1.2303030303030302,0.22727272727272727,0.2796143250688705,A1,LONG,0,20-40,2.0,True,10.024094509835749
3267,1727,1540,0.5286195286195287,47.5,15.0,3.1666666666666665,3,1.202581369248036,0.24000000000000005,0.2886195286195286,A1,LONG,0,20-40,2.0,True,10.009711013102178
3267,1656,1611,0.5068870523415978,50.0,15.0,3.3333333333333335,6,1.196510560146924,0.23076923076923073,0.2761178215723671,A1,LONG,0,20-40,2.0,True,9.748764850213451
3267,1707,1560,0.5224977043158862,47.5,15.0,3.1666666666666665,4,1.1770737679828591,0.24000000000000005,0.2824977043158861,A1,LONG,0,20-40,2.0,True,9.739088795932966
3267,1684,1583,0.5154576063666972,40.0,12.5,3.2,3,1.1649219467401286,0.23809523809523808,0.27736236827145916,A1,LONG,0,20-40,2.0,True,9.572181550635776
3267,1643,1624,0.5029078665442301,50.0,15.0,3.3333333333333335,7,1.179267421691664,0.23076923076923073,0.2721386357749994,A1,LONG,0,20-40,2.0,True,9.570301975212216
5154,2608,2546,0.5060147458284827,47.5,15.0,3.1666666666666665,4,1.1083947742853446,0.24000000000000005,0.26601474582848267,C1,LONG,0,40-60,2.0,True,9.531236046963603
5154,2588,2566,0.5021342646488165,40.0,12.5,3.2,3,1.1089639115250294,0.23809523809523808,0.2640390265535784,C1,LONG,0,40-60,2.0,True,9.4993466048609
861,431,430,0.5005807200929152,47.5,12.5,3.8,3,1.402787456445993,0.20833333333333334,0.29224738675958184,A2,LONG,0,20-40,2.5,True,9.487304779514414
3267,1687,1580,0.5163758800122437,47.5,15.0,3.1666666666666665,5,1.1515661667176817,0.24000000000000005,0.2763758800122436,A1,LONG,0,20-40,2.0,True,9.470993738997105
