probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
7,0.4219438635711435,0.39659543643607387,20.01593625498008,2761,20.0,5
8,0.5566655934742075,0.48678015211879755,24.766932270916335,2761,20.0,5
9,0.7526836007542042,0.6110105034407823,35.00271640709888,2761,20.0,5
0,0.003997103454228907,0.04742939898624186,7.909757422157857,2762,20.0,10
1,0.04120240562346827,0.16081130025353133,11.854128938790293,2761,20.0,10
2,0.12290560067703826,0.23107569721115537,14.10729808040565,2761,20.0,10
3,0.21158945165933452,0.2777978993118435,15.737866714958349,2761,20.0,10
4,0.3021701505567578,0.35892792466497647,18.471296631655196,2761,20.0,10
5,0.39202098691433246,0.3980441868888084,21.221296631655196,2761,20.0,10
6,0.48281767045790974,0.45599420499818905,24.067547989858745,2761,20.0,10
7,0.5773964580182189,0.5251720391162622,27.59272002897501,2761,20.0,10
8,0.6872025178161837,0.5838464324520102,32.030785947120606,2761,20.0,10
9,0.8402918100745641,0.7001086562839551,47.1636182542557,2761,20.0,10
0,0.02957856485609214,0.1335988414192614,10.577118030412745,2762,20.0,20
1,0.15305008103464532,0.2969938428105759,16.55269829771822,2761,20.0,20
2,0.2875585668234236,0.3853676204273814,20.5265302426657,2761,20.0,20
3,0.400115242528121,0.45092357841361824,24.131474103585656,2761,20.0,20
4,0.4895619024771877,0.5012676566461427,26.840094168779427,2761,20.0,20
5,0.5668113940826839,0.5516117348786671,29.314016660630205,2761,20.0,20
6,0.6371802884528103,0.5679101774719305,32.61264034770011,2761,20.0,20
7,0.7101849670299626,0.6117348786671496,36.12477363274176,2761,20.0,20
8,0.7910246497390495,0.6877942774357118,44.62513582035494,2761,20.0,20
9,0.8946670732693325,0.77145961608113,60.85105034407823,2761,20.0,20
0,0.06254078716433835,0.22519913106444606,13.60400072411296,2762,20.0,30
1,0.25500757872993557,0.40709887721839916,20.55595798623687,2761,20.0,30
2,0.4016844198264233,0.4773632741760232,26.160268018833754,2761,20.0,30
3,0.5056062294969693,0.5298804780876494,28.893879029337196,2761,20.0,30
4,0.5871656596639026,0.5776892430278885,32.95255342267294,2761,20.0,30
5,0.6548853749298005,0.5990583122057226,34.92520825787758,2761,20.0,30
6,0.7152170836385805,0.6609923940601231,40.129391524809854,2761,20.0,30
7,0.7779667209085025,0.6834480260775081,47.06329228540384,2761,20.0,30
