window,feature,feature_value,horizon_bars,observations,mean_future_points,median_future_points,positive_probability,cost_covered_probability
1,vwap_distance_bucket,-1:0,60,268,8.014925373134329,7.25,0.6194029850746269,0.6044776119402985
1,vwap_distance_bucket,0:1,1,194,-0.21262886597938144,-0.25,0.4587628865979381,0.3556701030927835
1,vwap_distance_bucket,0:1,3,194,-1.115979381443299,-0.5,0.4536082474226804,0.39690721649484534
1,vwap_distance_bucket,0:1,5,194,-1.1056701030927836,-0.75,0.4742268041237113,0.422680412371134
1,vwap_distance_bucket,0:1,10,194,-0.9652061855670103,0.75,0.5309278350515464,0.4896907216494845
1,vwap_distance_bucket,0:1,20,194,1.4935567010309279,0.625,0.5154639175257731,0.4845360824742268
1,vwap_distance_bucket,0:1,30,194,0.2036082474226804,0.0,0.4845360824742268,0.4690721649484536
1,vwap_distance_bucket,0:1,60,194,-0.7010309278350515,0.375,0.5103092783505154,0.4948453608247423
1,vwap_distance_bucket,1:2,1,131,-0.09732824427480916,-0.25,0.4732824427480916,0.3893129770992366
1,vwap_distance_bucket,1:2,3,131,-0.015267175572519083,0.5,0.5190839694656488,0.46564885496183206
1,vwap_distance_bucket,1:2,5,131,-0.2862595419847328,-0.25,0.45038167938931295,0.42748091603053434
1,vwap_distance_bucket,1:2,10,131,2.1908396946564888,1.75,0.5801526717557252,0.5419847328244275
1,vwap_distance_bucket,1:2,20,131,1.001908396946565,-1.25,0.4732824427480916,0.44274809160305345
1,vwap_distance_bucket,1:2,30,131,-2.4770992366412212,0.25,0.5038167938931297,0.46564885496183206
1,vwap_distance_bucket,1:2,60,131,0.6030534351145038,5.25,0.5877862595419847,0.5648854961832062
1,vwap_distance_bucket,>=2,1,928,0.24838362068965517,0.25,0.5129310344827587,0.3771551724137931
1,vwap_distance_bucket,>=2,3,928,0.9423491379310345,0.875,0.5549568965517241,0.47521551724137934
1,vwap_distance_bucket,>=2,5,928,1.3257004310344827,1.0,0.5495689655172413,0.49353448275862066
1,vwap_distance_bucket,>=2,10,928,2.169719827586207,1.5,0.5711206896551724,0.5183189655172413
1,vwap_distance_bucket,>=2,20,928,3.8332435344827585,4.25,0.6196120689655172,0.59375
1,vwap_distance_bucket,>=2,30,928,1.982489224137931,4.0,0.59375,0.5700431034482759
1,vwap_distance_bucket,>=2,60,928,3.632543103448276,6.125,0.6131465517241379,0.5980603448275862
1,ou_residual_bucket,<=-2,1,1695,0.1747787610619469,0.25,0.5014749262536873,0.40648967551622417
1,ou_residual_bucket,<=-2,3,1695,0.6660766961651917,0.75,0.5286135693215339,0.4761061946902655
1,ou_residual_bucket,<=-2,5,1695,0.8821533923303835,0.75,0.5303834808259587,0.4825958702064897
1,ou_residual_bucket,<=-2,10,1695,1.0721238938053097,1.25,0.551622418879056,0.5091445427728614
1,ou_residual_bucket,<=-2,20,1695,3.515929203539823,3.0,0.5705014749262537,0.5510324483775811
1,ou_residual_bucket,<=-2,30,1695,2.1442477876106194,2.25,0.5445427728613569,0.5238938053097345
1,ou_residual_bucket,<=-2,60,1695,3.675811209439528,6.0,0.5769911504424778,0.5663716814159292
1,ou_residual_bucket,-2:-1,1,2120,0.18007075471698114,0.25,0.5127358490566037,0.40235849056603773
1,ou_residual_bucket,-2:-1,3,2120,0.5261792452830188,0.5,0.5264150943396226,0.45990566037735847
1,ou_residual_bucket,-2:-1,5,2120,0.9533018867924529,1.0,0.5363207547169812,0.49339622641509434
1,ou_residual_bucket,-2:-1,10,2120,1.9257075471698113,1.5,0.5580188679245283,0.5160377358490567
1,ou_residual_bucket,-2:-1,20,2120,2.640801886792453,3.0,0.5632075471698114,0.5424528301886793
1,ou_residual_bucket,-2:-1,30,2120,3.0621462264150945,3.0,0.5702830188679245,0.5448113207547169
1,ou_residual_bucket,-2:-1,60,2120,6.643514150943396,6.625,0.5976415094339622,0.5830188679245283
1,half_life_bucket,<=5,1,1594,0.28199498117942284,0.25,0.5150564617314931,0.4316185696361355
1,half_life_bucket,<=5,3,1594,0.9462045169385195,1.0,0.5439146800501882,0.486198243412798
1,half_life_bucket,<=5,5,1594,1.6207653701380176,1.5,0.562107904642409,0.5181932245922208
1,half_life_bucket,<=5,10,1594,1.9490276035131744,1.75,0.5602258469259724,0.5213299874529486
1,half_life_bucket,<=5,20,1594,3.6333124215809285,3.0,0.5702634880803011,0.5501882057716436
1,half_life_bucket,<=5,30,1594,2.5360727728983687,2.25,0.5476787954830615,0.5219573400250941
1,half_life_bucket,<=5,60,1594,6.489805520702635,6.5,0.5803011292346298,0.5677540777917189
1,vol_ratio_bucket,<=0.5,1,2347,0.24371538133787815,0.25,0.510012782275245,0.40349382190029826
1,vol_ratio_bucket,<=0.5,3,2347,0.7364720920323817,0.5,0.5266297400937366,0.463996591393268
1,vol_ratio_bucket,<=0.5,5,2347,1.1860886237750319,1.0,0.5351512569237324,0.4895611418832552
1,vol_ratio_bucket,<=0.5,10,2347,1.8542820622070728,1.25,0.5517682147422242,0.5087345547507456
1,vol_ratio_bucket,<=0.5,20,2347,3.2787601193012357,3.0,0.565828717511717,0.5466553046442266
1,vol_ratio_bucket,<=0.5,30,2347,3.3588623775031956,3.0,0.5688112484022156,0.5432466979122283
1,vol_ratio_bucket,<=0.5,60,2347,7.256178099701747,6.75,0.5918193438432041,0.5794631444397103
1,vol_ratio_bucket,0.5:0.75,1,1232,0.006493506493506494,0.25,0.5032467532467533,0.3977272727272727
1,vol_ratio_bucket,0.5:0.75,3,1232,-0.013392857142857142,0.5,0.5178571428571429,0.4594155844155844
1,vol_ratio_bucket,0.5:0.75,5,1232,-0.11647727272727272,0.75,0.525974025974026,0.476461038961039
1,vol_ratio_bucket,0.5:0.75,10,1232,0.5012175324675324,1.75,0.5625,0.5186688311688312
1,vol_ratio_bucket,0.5:0.75,20,1232,1.4450081168831168,2.5,0.5576298701298701,0.538961038961039
1,vol_ratio_bucket,0.5:0.75,30,1232,0.5947646103896104,2.125,0.5413961038961039,0.5202922077922078
1,vol_ratio_bucket,0.5:0.75,60,1232,2.0247564935064934,5.75,0.5836038961038961,0.5698051948051948
1,vol_ratio_bucket,0.75:1.0,1,236,0.4152542372881356,0.25,0.5084745762711864,0.4449152542372881
1,vol_ratio_bucket,0.75:1.0,3,236,2.2563559322033897,2.75,0.5847457627118644,0.538135593220339
1,vol_ratio_bucket,0.75:1.0,5,236,3.711864406779661,2.5,0.559322033898305,0.5423728813559322
1,vol_ratio_bucket,0.75:1.0,10,236,3.9417372881355934,2.75,0.5508474576271186,0.5254237288135594
1,vol_ratio_bucket,0.75:1.0,20,236,8.82415254237288,4.5,0.6186440677966102,0.5805084745762712
1,vol_ratio_bucket,0.75:1.0,30,236,6.399364406779661,5.25,0.5508474576271186,0.538135593220339
1,vol_ratio_bucket,0.75:1.0,60,236,3.347457627118644,7.75,0.5805084745762712,0.5677966101694916
2,vwap_distance_bucket,<=-2,1,2139,0.12131837307152875,0.25,0.5137914913510987,0.42262739597942967
2,vwap_distance_bucket,<=-2,3,2139,0.09583917718560075,0.0,0.49696119682094436,0.44460028050490885
2,vwap_distance_bucket,<=-2,5,2139,0.08321645628798503,0.0,0.49789621318373073,0.4576905095839177
2,vwap_distance_bucket,<=-2,10,2139,0.11243571762505844,0.25,0.501168770453483,0.4726507713884993
2,vwap_distance_bucket,<=-2,20,2139,-0.7878681626928471,-0.25,0.49322113136979895,0.47545582047685836
2,vwap_distance_bucket,<=-2,30,2139,-1.0253623188405796,0.5,0.5053763440860215,0.4904160822814399
2,vwap_distance_bucket,<=-2,60,2139,-1.4315100514259,0.75,0.5044413277232351,0.4950911640953717
2,vwap_distance_bucket,-2:-1,1,278,-0.36780575539568344,0.0,0.4856115107913669,0.381294964028777
2,vwap_distance_bucket,-2:-1,3,278,-0.28327338129496404,-0.375,0.4784172661870504,0.420863309352518
2,vwap_distance_bucket,-2:-1,5,278,0.08543165467625899,-0.125,0.4856115107913669,0.44964028776978415
2,vwap_distance_bucket,-2:-1,10,278,0.0764388489208633,2.0,0.5323741007194245,0.5215827338129496
2,vwap_distance_bucket,-2:-1,20,278,-0.6160071942446043,4.0,0.5719424460431655,0.564748201438849
2,vwap_distance_bucket,-2:-1,30,278,-0.9469424460431655,0.75,0.5107913669064749,0.49280575539568344
2,vwap_distance_bucket,-2:-1,60,278,-2.106115107913669,-1.25,0.4892086330935252,0.4856115107913669
2,vwap_distance_bucket,-1:0,1,206,1.316747572815534,1.0,0.6116504854368932,0.47572815533980584
2,vwap_distance_bucket,-1:0,3,206,1.8604368932038835,1.125,0.5728155339805825,0.5
2,vwap_distance_bucket,-1:0,5,206,2.529126213592233,1.125,0.5388349514563107,0.5
2,vwap_distance_bucket,-1:0,10,206,2.741504854368932,2.875,0.587378640776699,0.5679611650485437
2,vwap_distance_bucket,-1:0,20,206,1.3046116504854368,3.125,0.587378640776699,0.5388349514563107
2,vwap_distance_bucket,-1:0,30,206,-1.4381067961165048,4.375,0.5776699029126213,0.5485436893203883
2,vwap_distance_bucket,-1:0,60,206,-9.359223300970873,0.5,0.5048543689320388,0.49514563106796117
2,vwap_distance_bucket,0:1,1,174,0.0014367816091954023,0.0,0.4942528735632184,0.3793103448275862
2,vwap_distance_bucket,0:1,3,174,0.12931034482758622,0.5,0.5287356321839081,0.4367816091954023
2,vwap_distance_bucket,0:1,5,174,-0.03879310344827586,0.875,0.5632183908045977,0.4942528735632184
2,vwap_distance_bucket,0:1,10,174,-0.9295977011494253,0.375,0.5114942528735632,0.46551724137931033
2,vwap_distance_bucket,0:1,20,174,-3.836206896551724,-2.125,0.4482758620689655,0.41954022988505746
2,vwap_distance_bucket,0:1,30,174,-4.614942528735632,-2.0,0.4367816091954023,0.40804597701149425
2,vwap_distance_bucket,0:1,60,174,-8.783045977011493,-2.25,0.47126436781609193,0.4367816091954023
2,vwap_distance_bucket,1:2,1,159,-0.1289308176100629,0.25,0.5031446540880503,0.389937106918239
2,vwap_distance_bucket,1:2,3,159,0.0660377358490566,0.5,0.5408805031446541,0.4779874213836478
2,vwap_distance_bucket,1:2,5,159,1.1650943396226414,0.75,0.5408805031446541,0.48427672955974843
2,vwap_distance_bucket,1:2,10,159,1.9968553459119496,1.5,0.5849056603773585,0.5220125786163522
2,vwap_distance_bucket,1:2,20,159,1.2641509433962264,2.75,0.610062893081761,0.5660377358490566
2,vwap_distance_bucket,1:2,30,159,1.3757861635220126,2.5,0.5660377358490566,0.5534591194968553
2,vwap_distance_bucket,1:2,60,159,1.921383647798742,5.5,0.5786163522012578,0.559748427672956
2,vwap_distance_bucket,>=2,1,936,0.08947649572649573,0.25,0.5138888888888888,0.3685897435897436
2,vwap_distance_bucket,>=2,3,936,0.4150641025641026,0.75,0.5544871794871795,0.47649572649572647
2,vwap_distance_bucket,>=2,5,936,0.53125,1.25,0.5715811965811965,0.5021367521367521
2,vwap_distance_bucket,>=2,10,936,1.0598290598290598,2.0,0.6036324786324786,0.5523504273504274
2,vwap_distance_bucket,>=2,20,936,0.8197115384615384,3.0,0.6014957264957265,0.5662393162393162
2,vwap_distance_bucket,>=2,30,936,-1.0256410256410255,3.5,0.5790598290598291,0.5576923076923077
2,vwap_distance_bucket,>=2,60,936,-3.435630341880342,4.5,0.592948717948718,0.5769230769230769
2,ou_residual_bucket,<=-2,1,1655,0.03564954682779456,0.25,0.5166163141993958,0.4114803625377644
2,ou_residual_bucket,<=-2,3,1655,0.14018126888217522,0.25,0.513595166163142,0.4561933534743202
2,ou_residual_bucket,<=-2,5,1655,0.21238670694864048,0.75,0.5238670694864048,0.4755287009063444
2,ou_residual_bucket,<=-2,10,1655,1.3700906344410877,2.0,0.570392749244713,0.5347432024169184
2,ou_residual_bucket,<=-2,20,1655,0.2983383685800604,1.25,0.5329305135951662,0.5075528700906344
2,ou_residual_bucket,<=-2,30,1655,-0.7971299093655589,1.25,0.516012084592145,0.5033232628398792
2,ou_residual_bucket,<=-2,60,1655,-1.9622356495468278,3.25,0.5474320241691842,0.5347432024169184
2,ou_residual_bucket,-2:-1,1,2237,0.1935628073312472,0.25,0.5149754135002235,0.40232454179704963
2,ou_residual_bucket,-2:-1,3,2237,0.31247206079570855,0.5,0.518998658918194,0.4532856504246759
2,ou_residual_bucket,-2:-1,5,2237,0.4680375502905677,0.5,0.5198927134555208,0.4707197139025481
2,ou_residual_bucket,-2:-1,10,2237,-0.13109074653553868,0.5,0.5113991953509164,0.47787215020116225
2,ou_residual_bucket,-2:-1,20,2237,-0.796043808672329,1.5,0.5324094769780957,0.5087170317389361
2,ou_residual_bucket,-2:-1,30,2237,-1.331135449262405,1.75,0.5346446133214126,0.5127402771569066
2,ou_residual_bucket,-2:-1,60,2237,-3.0248100134108182,1.0,0.5105051408135897,0.4988824318283415
2,half_life_bucket,<=5,1,1402,0.41298145506419404,0.5,0.5399429386590585,0.42368045649072755
2,half_life_bucket,<=5,3,1402,0.6836661911554922,0.5,0.5349500713266762,0.4593437945791726
2,half_life_bucket,<=5,5,1402,0.8890870185449358,0.75,0.5399429386590585,0.48288159771754635
2,half_life_bucket,<=5,10,1402,1.481811697574893,1.5,0.5477888730385164,0.5121255349500713
2,half_life_bucket,<=5,20,1402,2.265335235378031,1.75,0.5534950071326676,0.5206847360912982
2,half_life_bucket,<=5,30,1402,2.0916547788873037,2.625,0.5549215406562055,0.5320970042796006
2,half_life_bucket,<=5,60,1402,2.3799928673323825,3.875,0.551355206847361,0.536376604850214
2,vol_ratio_bucket,<=0.5,1,2379,0.23013871374527112,0.25,0.5237494745691467,0.41277847835224885
2,vol_ratio_bucket,<=0.5,3,2379,0.43831441782261454,0.5,0.5292139554434636,0.46490121899957965
2,vol_ratio_bucket,<=0.5,5,2379,0.4775115594787726,0.75,0.5287936107608239,0.48003362757461115
2,vol_ratio_bucket,<=0.5,10,2379,0.1830601092896175,1.0,0.5313156788566624,0.4985287936107608
2,vol_ratio_bucket,<=0.5,20,2379,0.10960487599831863,1.5,0.539302227826818,0.5140815468684321
2,vol_ratio_bucket,<=0.5,30,2379,-0.492854140395124,2.0,0.5342580916351408,0.5182849936948297
2,vol_ratio_bucket,<=0.5,60,2379,-3.567885666246322,1.25,0.5115594787725936,0.5014712063892391
2,vol_ratio_bucket,0.5:0.75,1,1279,-0.029319781078967943,0.25,0.5035183737294762,0.38702111024237684
2,vol_ratio_bucket,0.5:0.75,3,1279,-0.08346364347146208,0.0,0.49648162627052383,0.4323690383111806
2,vol_ratio_bucket,0.5:0.75,5,1279,0.05922595777951525,0.25,0.5089913995308835,0.4573885848318999
2,vol_ratio_bucket,0.5:0.75,10,1279,0.8928850664581705,1.25,0.5410476935105551,0.5043002345582487
2,vol_ratio_bucket,0.5:0.75,20,1279,-0.766223612197029,1.25,0.524628616106333,0.5019546520719312
2,vol_ratio_bucket,0.5:0.75,30,1279,-1.1217748240813135,1.75,0.5324472243940579,0.509773260359656
2,vol_ratio_bucket,0.5:0.75,60,1279,-0.509773260359656,3.25,0.5488663017982799,0.5324472243940579
2,vol_ratio_bucket,0.75:1.0,1,234,-0.07692307692307693,0.125,0.5,0.4444444444444444
2,vol_ratio_bucket,0.75:1.0,3,234,-0.021367521367521368,0.125,0.5,0.4700854700854701
2,vol_ratio_bucket,0.75:1.0,5,234,0.7980769230769231,0.75,0.5170940170940171,0.4829059829059829
2,vol_ratio_bucket,0.75:1.0,10,234,1.6955128205128205,2.125,0.5641025641025641,0.5256410256410257
2,vol_ratio_bucket,0.75:1.0,20,234,-2.426282051282051,0.25,0.5085470085470085,0.4829059829059829
2,vol_ratio_bucket,0.75:1.0,30,234,-7.221153846153846,-5.375,0.4188034188034188,0.405982905982906
2,vol_ratio_bucket,0.75:1.0,60,234,-3.735042735042735,6.375,0.5512820512820513,0.5427350427350427
3,vwap_distance_bucket,<=-2,1,2600,-0.32548076923076924,0.0,0.4896153846153846,0.43653846153846154
3,vwap_distance_bucket,<=-2,3,2600,-0.6211538461538462,0.25,0.5023076923076923,0.47384615384615386
3,vwap_distance_bucket,<=-2,5,2600,-0.7569230769230769,0.25,0.5042307692307693,0.4826923076923077
3,vwap_distance_bucket,<=-2,10,2600,-0.3465384615384615,1.25,0.5242307692307693,0.5069230769230769
3,vwap_distance_bucket,<=-2,20,2600,-2.030096153846154,-1.0,0.4857692307692308,0.4746153846153846
3,vwap_distance_bucket,<=-2,30,2600,-2.9082692307692306,-2.5,0.47423076923076923,0.4634615384615385
3,vwap_distance_bucket,<=-2,60,2600,-7.650673076923077,-3.5,0.4796153846153846,0.47692307692307695
3,vwap_distance_bucket,-2:-1,1,283,-0.7579505300353356,0.25,0.5123674911660777,0.4734982332155477
3,vwap_distance_bucket,-2:-1,3,283,-0.21289752650176677,-1.0,0.4840989399293286,0.44876325088339225
3,vwap_distance_bucket,-2:-1,5,283,-1.245583038869258,0.0,0.49469964664310956,0.46996466431095407
3,vwap_distance_bucket,-2:-1,10,283,-0.2835689045936396,0.0,0.49469964664310956,0.4840989399293286
3,vwap_distance_bucket,-2:-1,20,283,-2.9010600706713783,1.75,0.519434628975265,0.508833922261484
3,vwap_distance_bucket,-2:-1,30,283,-6.081272084805653,-3.25,0.47703180212014135,0.4734982332155477
3,vwap_distance_bucket,-2:-1,60,283,-7.470848056537102,3.75,0.5265017667844523,0.519434628975265
3,vwap_distance_bucket,-1:0,1,226,1.0210176991150441,0.75,0.5398230088495575,0.4823008849557522
3,vwap_distance_bucket,-1:0,3,226,4.371681415929204,2.625,0.5973451327433629,0.5530973451327433
3,vwap_distance_bucket,-1:0,5,226,4.051991150442478,2.0,0.5663716814159292,0.5353982300884956
3,vwap_distance_bucket,-1:0,10,226,3.1548672566371683,0.75,0.5088495575221239,0.4911504424778761
3,vwap_distance_bucket,-1:0,20,226,3.631637168141593,3.0,0.5309734513274337,0.5176991150442478
3,vwap_distance_bucket,-1:0,30,226,5.652654867256637,7.625,0.584070796460177,0.5752212389380531
3,vwap_distance_bucket,-1:0,60,226,5.149336283185841,6.625,0.5442477876106194,0.5353982300884956
3,vwap_distance_bucket,0:1,1,173,1.3526011560693643,1.5,0.5606936416184971,0.5144508670520231
3,vwap_distance_bucket,0:1,3,173,2.5216763005780347,2.25,0.5780346820809249,0.5549132947976878
3,vwap_distance_bucket,0:1,5,173,4.182080924855492,3.0,0.5780346820809249,0.5549132947976878
3,vwap_distance_bucket,0:1,10,173,2.842485549132948,2.0,0.5202312138728323,0.5086705202312138
3,vwap_distance_bucket,0:1,20,173,-0.057803468208092484,1.25,0.5144508670520231,0.5028901734104047
3,vwap_distance_bucket,0:1,30,173,-1.8713872832369942,8.5,0.5722543352601156,0.5606936416184971
3,vwap_distance_bucket,0:1,60,173,0.2384393063583815,3.5,0.5549132947976878,0.5317919075144508
3,vwap_distance_bucket,1:2,1,126,-2.2142857142857144,0.125,0.5,0.4365079365079365
3,vwap_distance_bucket,1:2,3,126,-0.4880952380952381,0.5,0.5317460317460317,0.47619047619047616
3,vwap_distance_bucket,1:2,5,126,0.6726190476190477,3.75,0.5476190476190477,0.5158730158730159
3,vwap_distance_bucket,1:2,10,126,-0.5654761904761905,3.875,0.5952380952380952,0.5873015873015873
3,vwap_distance_bucket,1:2,20,126,-6.632936507936508,-0.5,0.49206349206349204,0.46825396825396826
3,vwap_distance_bucket,1:2,30,126,-0.18055555555555555,4.875,0.5634920634920635,0.5555555555555556
3,vwap_distance_bucket,1:2,60,126,7.746031746031746,8.75,0.5714285714285714,0.5714285714285714
3,vwap_distance_bucket,>=2,1,610,0.07459016393442623,0.75,0.5426229508196722,0.43934426229508194
3,vwap_distance_bucket,>=2,3,610,0.6807377049180328,1.0,0.5688524590163935,0.49836065573770494
3,vwap_distance_bucket,>=2,5,610,0.9663934426229508,2.0,0.5836065573770491,0.5311475409836065
3,vwap_distance_bucket,>=2,10,610,2.1176229508196722,4.0,0.5950819672131148,0.5704918032786885
3,vwap_distance_bucket,>=2,20,610,2.59672131147541,4.75,0.6032786885245902,0.5885245901639344
3,vwap_distance_bucket,>=2,30,610,-0.6069672131147541,5.5,0.5901639344262295,0.5819672131147541
3,vwap_distance_bucket,>=2,60,610,5.377868852459017,13.25,0.639344262295082,0.6327868852459017
3,ou_residual_bucket,<=-2,1,1692,0.07963947990543735,0.75,0.526595744680851,0.4734042553191489
3,ou_residual_bucket,<=-2,3,1692,0.6981382978723404,1.125,0.5366430260047281,0.5
3,ou_residual_bucket,<=-2,5,1692,1.0769799054373523,1.25,0.5295508274231678,0.5047281323877069
3,ou_residual_bucket,<=-2,10,1692,0.8751477541371159,2.75,0.5537825059101655,0.5372340425531915
3,ou_residual_bucket,<=-2,20,1692,-0.5986997635933806,2.0,0.5295508274231678,0.5171394799054374
3,ou_residual_bucket,<=-2,30,1692,0.14598108747044916,2.5,0.526595744680851,0.5159574468085106
3,ou_residual_bucket,<=-2,60,1692,-2.8232860520094563,3.0,0.5189125295508275,0.5130023640661938
3,ou_residual_bucket,-2:-1,1,2326,-0.41455288048151334,0.0,0.4901117798796217,0.42519346517626827
3,ou_residual_bucket,-2:-1,3,2326,-0.4636715391229579,0.5,0.5090283748925194,0.472055030094583
3,ou_residual_bucket,-2:-1,5,2326,-0.7864359415305245,0.75,0.5193465176268272,0.4901117798796217
3,ou_residual_bucket,-2:-1,10,2326,-0.015799656061908855,1.25,0.5197764402407566,0.501719690455718
3,ou_residual_bucket,-2:-1,20,2326,-1.516444539982803,0.0,0.49570077386070505,0.4836629406706793
3,ou_residual_bucket,-2:-1,30,2326,-3.8558684436801376,-1.0,0.4896818572656922,0.48065348237317285
3,ou_residual_bucket,-2:-1,60,2326,-5.059114359415306,3.0,0.5154772141014617,0.5116079105760963
3,half_life_bucket,<=5,1,1846,-0.2997020585048754,0.25,0.5065005417118094,0.4485373781148429
3,half_life_bucket,<=5,3,1846,-0.0710996749729144,1.0,0.5276273022751896,0.4945828819068256
3,half_life_bucket,<=5,5,1846,-0.054306608884073675,1.25,0.5287107258938245,0.5054171180931745
3,half_life_bucket,<=5,10,1846,-0.28399241603466957,1.75,0.5319609967497292,0.5113759479956663
3,half_life_bucket,<=5,20,1846,-0.995124593716143,0.75,0.5070422535211268,0.4934994582881907
3,half_life_bucket,<=5,30,1846,-3.0174702058504876,-0.5,0.49295774647887325,0.48212351029252437
3,half_life_bucket,<=5,60,1846,-6.288867822318527,0.875,0.5027085590465872,0.49837486457204766
3,vol_ratio_bucket,<=0.5,1,2586,-0.2541569992266048,0.0,0.49690641918020106,0.43116782675947407
3,vol_ratio_bucket,<=0.5,3,2586,0.10991879350348027,0.5,0.5131477184841454,0.4748646558391338
3,vol_ratio_bucket,<=0.5,5,2586,-0.10450502706883218,0.75,0.5189481825212684,0.4918793503480278
3,vol_ratio_bucket,<=0.5,10,2586,-0.38930781129157,2.0,0.5378963650425367,0.5212683681361175
3,vol_ratio_bucket,<=0.5,20,2586,-1.444508894044857,0.875,0.5100541376643465,0.4976798143851508
3,vol_ratio_bucket,<=0.5,30,2586,-1.6139791183294663,0.625,0.5050270688321732,0.4953596287703016
3,vol_ratio_bucket,<=0.5,60,2586,-3.1419180201082755,3.75,0.5189481825212684,0.5146945088940449
3,vol_ratio_bucket,0.5:0.75,1,1192,-0.04823825503355705,0.5,0.5260067114093959,0.4697986577181208
3,vol_ratio_bucket,0.5:0.75,3,1192,-0.13024328859060402,1.0,0.537751677852349,0.49916107382550334
3,vol_ratio_bucket,0.5:0.75,5,1192,-0.1967281879194631,1.25,0.5310402684563759,0.5041946308724832
3,vol_ratio_bucket,0.5:0.75,10,1192,0.8299077181208053,1.25,0.5234899328859061,0.50251677852349
3,vol_ratio_bucket,0.5:0.75,20,1192,-1.2095218120805369,0.875,0.5058724832214765,0.4949664429530201
3,vol_ratio_bucket,0.5:0.75,30,1192,-3.0423657718120807,0.75,0.5075503355704698,0.4974832214765101
3,vol_ratio_bucket,0.5:0.75,60,1192,-4.481543624161074,2.75,0.5192953020134228,0.5151006711409396
3,vol_ratio_bucket,0.75:1.0,1,240,-0.478125,0.0,0.49583333333333335,0.4791666666666667
3,vol_ratio_bucket,0.75:1.0,3,240,-0.109375,1.25,0.5166666666666667,0.5041666666666667
3,vol_ratio_bucket,0.75:1.0,5,240,2.073958333333333,1.5,0.5375,0.5041666666666667
3,vol_ratio_bucket,0.75:1.0,10,240,6.089583333333334,3.875,0.5458333333333333,0.5375
3,vol_ratio_bucket,0.75:1.0,20,240,2.654166666666667,2.625,0.5291666666666667,0.5125
3,vol_ratio_bucket,0.75:1.0,30,240,-3.839583333333333,-0.75,0.49583333333333335,0.4875
3,vol_ratio_bucket,0.75:1.0,60,240,-12.822916666666666,-2.875,0.48333333333333334,0.4708333333333333
4,vwap_distance_bucket,<=-2,1,2849,-0.22797472797472798,-0.25,0.4836784836784837,0.4261144261144261
4,vwap_distance_bucket,<=-2,3,2849,-0.7612320112320112,-0.75,0.47525447525447523,0.44226044226044225
4,vwap_distance_bucket,<=-2,5,2849,-0.8681116181116181,-1.0,0.47455247455247457,0.44471744471744473
4,vwap_distance_bucket,<=-2,10,2849,-0.44787644787644787,-1.0,0.47595647595647594,0.46051246051246053
4,vwap_distance_bucket,<=-2,20,2849,-1.1908564408564408,-4.5,0.4520884520884521,0.4433134433134433
4,vwap_distance_bucket,<=-2,30,2849,-4.052299052299053,-6.0,0.43664443664443664,0.42857142857142855
4,vwap_distance_bucket,<=-2,60,2849,-3.02983502983503,-13.0,0.42927342927342926,0.42435942435942436
4,vwap_distance_bucket,-2:-1,1,326,0.39033742331288346,-1.0,0.450920245398773,0.4049079754601227
