window,feature,feature_value,horizon_bars,observations,mean_future_points,median_future_points,positive_probability,cost_covered_probability
1,vwap_distance_bucket,<=-2,1,1949,0.2765520779887122,0.5,0.5223191380194971,0.4304771677783479
1,vwap_distance_bucket,<=-2,3,1949,0.8217034376603386,0.75,0.5356593124679323,0.4807593637762955
1,vwap_distance_bucket,<=-2,5,1949,1.1526423807080555,1.25,0.5469471523858389,0.5059004617752694
1,vwap_distance_bucket,<=-2,10,1949,1.5015392508978964,1.75,0.5551564905079528,0.521292970754233
1,vwap_distance_bucket,<=-2,20,1949,2.6577732170343764,2.5,0.5531041559774243,0.5366854797331965
1,vwap_distance_bucket,<=-2,30,1949,3.5369420215495126,3.0,0.5484864032837352,0.5284761416110826
1,vwap_distance_bucket,<=-2,60,1949,5.9453565931246795,7.0,0.5782452539763981,0.5679835813237558
1,vwap_distance_bucket,-2:-1,1,345,-0.3746376811594203,-0.25,0.47246376811594204,0.35942028985507246
1,vwap_distance_bucket,-2:-1,3,345,0.10652173913043478,0.0,0.4985507246376812,0.4492753623188406
1,vwap_distance_bucket,-2:-1,5,345,1.1586956521739131,1.0,0.5420289855072464,0.4985507246376812
1,vwap_distance_bucket,-2:-1,10,345,1.5855072463768116,1.0,0.5391304347826087,0.4753623188405797
1,vwap_distance_bucket,-2:-1,20,345,4.2876811594202895,3.0,0.5478260869565217,0.5304347826086957
1,vwap_distance_bucket,-2:-1,30,345,2.57536231884058,2.0,0.5594202898550724,0.527536231884058
1,vwap_distance_bucket,-2:-1,60,345,9.464492753623189,6.5,0.6,0.5855072463768116
1,vwap_distance_bucket,-1:0,1,268,0.3423507462686567,0.0,0.48134328358208955,0.40671641791044777
1,vwap_distance_bucket,-1:0,3,268,-0.18563432835820895,-0.25,0.4664179104477612,0.4141791044776119
1,vwap_distance_bucket,-1:0,5,268,-0.4039179104477612,-0.75,0.4552238805970149,0.41044776119402987
1,vwap_distance_bucket,-1:0,10,268,1.1679104477611941,1.0,0.5261194029850746,0.48507462686567165
1,vwap_distance_bucket,-1:0,20,268,3.4347014925373136,3.25,0.585820895522388,0.5671641791044776
1,vwap_distance_bucket,-1:0,30,268,2.9458955223880596,4.0,0.5932835820895522,0.5597014925373134
