candidate_id,strategy_name,strategy_label,side,hmm_state,vol_bucket,zscore,base_tp,base_sl,base_rr,base_horizon,tp,sl,rr,horizon,tp_delta,sl_delta,h_delta,observations,wins,losses,ambiguous,unresolved,resolved,wr,resolution,expectancy,expectancy_all,profit_factor,net_r
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,1.5,2.6666666666666665,3,-1.0,-0.5,-2,2255,1084,1139,0,32,2223,0.4876293297345929,0.985809312638581,0.7879742090268405,0.7767923133776792,2.5378987415861864,1751.6666666666665
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,1.5,2.6666666666666665,4,-1.0,-0.5,-1,2255,1094,1145,0,16,2239,0.4886109870477892,0.9929046563192905,0.7915736191752272,0.7859571322985955,2.5478893740902473,1772.333333333333
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,1.5,2.6666666666666665,5,-1.0,-0.5,0,2255,1098,1148,0,9,2246,0.4888691006233304,0.9960088691796009,0.792520035618878,0.7893569844789357,2.5505226480836236,1780.0
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,1.5,2.6666666666666665,6,-1.0,-0.5,1,2255,1100,1151,0,4,2251,0.48867170146601513,0.9982261640798226,0.7917962387087221,0.7903917220990391,2.5485085432956844,1782.333333333333
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,1.5,2.6666666666666665,7,-1.0,-0.5,2,2255,1100,1154,0,1,2254,0.4880212954747116,0.9995565410199556,0.7894114167406092,0.789061345158906,2.5418833044482954,1779.333333333333
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.0,2.0,3,-1.0,0.0,-2,2255,1102,1112,0,41,2214,0.4977416440831075,0.9818181818181818,0.4932249322493225,0.4842572062084257,1.9820143884892085,1092.0
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.0,2.0,4,-1.0,0.0,-1,2255,1114,1119,0,22,2233,0.49888042991491266,0.9902439024390244,0.496641289744738,0.4917960088691796,1.9910634495084898,1109.0
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.0,2.0,5,-1.0,0.0,0,2255,1119,1123,0,13,2242,0.49910793933987513,0.9942350332594235,0.49732381801962544,0.49445676274944567,1.9928762243989315,1115.0
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.0,2.0,6,-1.0,0.0,1,2255,1122,1127,0,6,2249,0.4988883948421521,0.9973392461197339,0.49666518452645625,0.4953436807095344,1.9911268855368234,1117.0
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.0,2.0,7,-1.0,0.0,2,2255,1123,1131,0,1,2254,0.4982253771073647,0.9995565410199556,0.4946761313220941,0.49445676274944567,1.9858532272325375,1115.0
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.5,1.6,3,-1.0,0.5,-2,2255,1116,1094,0,45,2210,0.5049773755656108,0.9800443458980045,0.3129411764705883,0.3066962305986697,1.6321755027422304,691.6000000000001
C01,MRS2,Mean Reversion Short — HMM 2,SHORT,2,80-100,2.0,5.0,2.0,2.5,5,4.0,2.5,1.6,4,-1.0,0.5,-1,2255,1130,1102,0,23,2232,0.5062724014336918,0.98980044345898,0.3163082437275987,0.31308203991130823,1.6406533575317603,706.0
