candidate,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,losses,conflicts,unresolved,resolved,win_rate_resolved,win_rate_all,expectancy_resolved,expectancy_all,tp_hit_rate,sl_hit_rate
C1,LONG,0,40-60,2.0,50.0,12.5,4.0,3,5154,32,1542,0,3580,1574,0.020330368487928845,0.006208769887466045,-0.8983481575603558,-0.9689561505626698,0.006596818005432673,0.2991850989522701
A1,LONG,0,20-40,2.0,50.0,12.5,4.0,3,3267,7,775,1,2484,782,0.008951406649616368,0.0021426385062748698,-0.9552429667519182,-0.9892868074686257,0.0027548209366391185,0.23752678298132843
A2_H3,LONG,0,20-40,2.5,50.0,12.5,4.0,3,861,5,254,1,601,259,0.019305019305019305,0.005807200929152149,-0.9034749034749036,-0.9709639953542393,0.008130081300813009,0.2961672473867596
A2_H4,LONG,0,20-40,2.5,50.0,12.5,4.0,4,861,5,293,1,562,298,0.016778523489932886,0.005807200929152149,-0.9161073825503355,-0.9709639953542393,0.008130081300813009,0.34146341463414637
