side,hmm_state,horizon_bars,observations,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,prob_mfe_ge_5,prob_mfe_ge_10,prob_mfe_ge_20,prob_mfe_ge_35,prob_mfe_ge_50,prob_mfe_ge_75,prob_mfe_ge_100,prob_mae_ge_5,prob_mae_ge_10,prob_mae_ge_20,prob_mae_ge_35,prob_mae_ge_50,prob_mae_ge_75,prob_mae_ge_100
LONG,0,5,407621,11.188392997330821,7.5,11.504490132870153,7.5,0.9725240204573524,0.6419443551730651,0.3969766032662694,0.14957767141535888,0.041180410234016404,0.015092451075876857,0.0052573346319252446,0.002838420984198557,0.6317142639854179,0.400151120771501,0.16456217908302076,0.04925899303519691,0.018026549171902332,0.005338292188086483,0.0027427438723716395
LONG,0,10,407621,16.15559842007777,10.75,16.633274045361432,10.75,0.9712819241731382,0.7383255524126578,0.53088776093479,0.2657836568773444,0.09870934029404765,0.042784841801575484,0.015040932631046977,0.007327885462230847,0.7230540134095153,0.5252992363003869,0.2792888492006055,0.1138165109255902,0.05117008201245765,0.0168195456073166,0.007764565613646009
LONG,0,20,407621,23.46230876234029,15.5,24.246597834193636,15.25,0.967653644555967,0.8137485556436003,0.6508276070173028,0.40728274549152277,0.1981546583713793,0.10188385779927923,0.041055294010858126,0.02045527585673947,0.7958274966206353,0.635843099349641,0.410135886031387,0.21416708167636114,0.11692969694888143,0.04850829569624725,0.023298603359493256
LONG,0,30,407621,29.36791007426344,19.5,30.47104167535568,19.25,0.96379737808621,0.8508197565876144,0.7134274240041607,0.49320815168992765,0.27595486984232903,0.15753849777121395,0.07000375348669474,0.03642108723544665,0.8314316485166368,0.6934161880766693,0.48755829557358427,0.28751217429916515,0.1738281393745661,0.08201245765061171,0.04341287617664448
LONG,0,60,407621,43.75469958708405,29.25,45.68527487248184,28.5,0.9577418480946766,0.9009496566663641,0.804082714089804,0.6359804818691873,0.4332259623522831,0.29131717943874336,0.15578932390627567,0.09091288230979268,0.8809727663687592,0.7784412481201901,0.6131430912538853,0.42811091675845947,0.30150311195939367,0.1734086320380942,0.10672168509473261
LONG,0,120,407621,65.31575205496259,44.0,67.99746227456754,41.5,0.960561613185262,0.9322826841600408,0.8649137311375027,0.743958235714058,0.5836254756256425,0.45036197840641184,0.2894551556470349,0.19136894320950099,0.9134391996486932,0.8365761332217918,0.7091955517502778,0.5564948812745173,0.43745292808761077,0.30004096942993613,0.21255774359024682
LONG,1,5,240988,13.283660389728949,8.25,13.593450711238734,8.0,0.977210325171249,0.6527586435839129,0.43737032549338556,0.20775308314106927,0.07473401165203247,0.030146729297724367,0.009639484123690806,0.004477401364383289,0.6415755141334838,0.4350922037611831,0.21733862267000847,0.0846432187494813,0.03502249074642721,0.01027437050807509,0.0044649526117483025
LONG,1,10,240988,18.987716193337427,11.5,19.593152978571545,11.5,0.9690995734123922,0.7419539562135874,0.551168522914004,0.32124421133002473,0.14946802330406495,0.07386259896758345,0.02752419207595399,0.012842963135093864,0.7275258519096387,0.5446702740385413,0.32708267631583315,0.16377993925008713,0.08519096386542069,0.0320430892824539,0.014349262203927167
LONG,1,20,240988,27.364077256958854,16.75,28.413995717629092,16.5,0.9630492497041228,0.8165842282603283,0.6594270254120537,0.44424618653210945,0.25536956196989063,0.1502564443042807,0.0682897073713214,0.034914601556923996,0.798848905339685,0.6454346274503294,0.44488522250070545,0.26919597656314836,0.1682697893671054,0.08070111374840241,0.04052068982687935
LONG,1,30,240988,34.07814600727007,21.25,35.370816181718595,20.75,0.9634537646005285,0.8535570235862366,0.7194507610337444,0.5201669792686773,0.3303857453483161,0.21233007452653244,0.10804687370325493,0.05903198499510349,0.8332780055438445,0.6997111889388683,0.5132620711404717,0.33772635981874616,0.2287873255099839,0.12469500556044284,0.07018606735605093
LONG,1,60,240988,49.57086644396954,32.0,51.37230636761624,31.0,0.9649336373812822,0.9007087489833518,0.8069613424734842,0.6466712035454047,0.47050475542350656,0.343523328962438,0.20479857918236594,0.12616395837137118,0.8801600079672017,0.779267017444852,0.6251182631500324,0.46303965342672665,0.3474363868740352,0.22335966936113003,0.14826464388268296
