candidate,event_id,window,timestamp,side,zscore,tp,sl,rr,horizon,first_tp_bar,first_sl_bar,tp_hit,sl_hit,outcome,resolution,terminal_favorable,terminal_adverse
C1,38817,2,2019-09-10 14:37:00-04:00,LONG,-2.3431911,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.75,6.0
C1,38819,2,2019-09-10 14:39:00-04:00,LONG,-2.1671038,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,6.5
C1,38863,2,2019-09-10 15:23:00-04:00,LONG,-2.1777499,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.25,0.0
C1,42028,2,2019-09-20 10:15:00-04:00,LONG,-2.2400343,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.75,0.0
C1,42052,2,2019-09-20 10:39:00-04:00,LONG,-3.1912658,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.0,1.0
C1,42053,2,2019-09-20 10:40:00-04:00,LONG,-3.0260062,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
C1,42054,2,2019-09-20 10:41:00-04:00,LONG,-2.2262821,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.0,2.0
C1,42055,2,2019-09-20 10:42:00-04:00,LONG,-2.163221,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.5,1.5
C1,42116,2,2019-09-20 11:43:00-04:00,LONG,-2.3434653,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.5,0.0
C1,42359,2,2019-09-20 15:46:00-04:00,LONG,-2.8194716,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,3.5
C1,42360,2,2019-09-20 15:47:00-04:00,LONG,-2.5001552,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,2.5
C1,42361,2,2019-09-20 15:48:00-04:00,LONG,-2.4755168,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.5,0.0
C1,42362,2,2019-09-20 15:49:00-04:00,LONG,-2.192288,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,8.5,0.0
C1,43677,2,2019-09-25 15:59:00-04:00,LONG,-2.1558127,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.5,0.75
C1,43725,2,2019-09-26 09:32:00-04:00,LONG,-3.3500974,50.0,12.5,4.0,3,,2.0,False,True,LOSS,SL_ONLY,0.0,21.25
C1,44051,2,2019-09-26 14:58:00-04:00,LONG,-2.5370278,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,8.25,0.0
C1,44052,2,2019-09-26 14:59:00-04:00,LONG,-2.124228,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,9.25,0.0
C1,45658,2,2019-10-02 12:46:00-04:00,LONG,-2.192878,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.5,3.25
C1,47072,2,2019-10-07 14:35:00-04:00,LONG,-2.223928,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,4.25
C1,47073,2,2019-10-07 14:36:00-04:00,LONG,-2.583613,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.25,0.5
C1,47074,2,2019-10-07 14:37:00-04:00,LONG,-2.4563015,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
C1,47472,2,2019-10-08 14:01:00-04:00,LONG,-2.558374,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.5,5.25
C1,47473,2,2019-10-08 14:02:00-04:00,LONG,-2.096604,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.25,1.75
C1,50712,2,2019-10-18 10:03:00-04:00,LONG,-2.8200345,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.75,4.0
C1,50713,2,2019-10-18 10:04:00-04:00,LONG,-2.663035,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,5.0
C1,50714,2,2019-10-18 10:05:00-04:00,LONG,-2.173736,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,5.0
C1,50715,2,2019-10-18 10:06:00-04:00,LONG,-2.2993937,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.0,0.0
C1,50716,2,2019-10-18 10:07:00-04:00,LONG,-2.177912,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,9.25,0.0
C1,50822,2,2019-10-18 11:53:00-04:00,LONG,-2.2468476,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.75
C1,50823,2,2019-10-18 11:54:00-04:00,LONG,-2.0111935,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,9.25
C1,51639,2,2019-10-22 11:00:00-04:00,LONG,-2.7630172,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.25,5.75
C1,51642,2,2019-10-22 11:03:00-04:00,LONG,-2.7475622,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.0,0.0
C1,51649,2,2019-10-22 11:10:00-04:00,LONG,-2.0867872,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,6.25
C1,51850,2,2019-10-22 14:31:00-04:00,LONG,-2.9918628,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,6.0
C1,51851,2,2019-10-22 14:32:00-04:00,LONG,-2.5874047,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,4.75
C1,53759,2,2019-10-29 10:05:00-04:00,LONG,-2.4065871,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.5,5.0
C1,53822,2,2019-10-29 11:08:00-04:00,LONG,-2.1637902,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,2.75
C1,53825,2,2019-10-29 11:11:00-04:00,LONG,-2.0441206,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,6.0
C1,53835,2,2019-10-29 11:21:00-04:00,LONG,-2.0961938,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,5.25
C1,53836,2,2019-10-29 11:22:00-04:00,LONG,-2.15372,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.5,2.75
C1,53837,2,2019-10-29 11:23:00-04:00,LONG,-2.1563694,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
C1,54782,2,2019-10-31 12:38:00-04:00,LONG,-2.0468225,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,5.25
C1,59872,2,2019-11-18 10:28:00-05:00,LONG,-2.0381458,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,10.0,0.0
C1,60282,2,2019-11-19 10:03:00-05:00,LONG,-2.032287,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.5,2.25
C1,61033,2,2019-11-20 15:19:00-05:00,LONG,-2.242392,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.25,3.0
C1,61034,2,2019-11-20 15:20:00-05:00,LONG,-2.6390612,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.5,0.0
C1,61035,2,2019-11-20 15:21:00-05:00,LONG,-2.2483447,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.5,0.0
C1,64700,2,2019-12-04 11:11:00-05:00,LONG,-2.0188134,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.25,0.0
C1,64990,2,2019-12-04 16:01:00-05:00,LONG,-3.1001468,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.25,2.5
C1,65127,2,2019-12-05 11:03:00-05:00,LONG,-2.6840231,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
