target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,10,15,2,100,0.9570565,0.96,16.305
1.0,10,15,3,100,0.96506363,0.97,18.17
1.0,10,15,4,100,0.9714389,0.97,24.57
1.0,10,15,5,100,0.9768002,1.0,30.315
1.0,10,15,6,100,0.9805976,0.99,29.8925
1.0,10,15,7,100,0.98388076,0.95,28.44
1.0,10,15,8,100,0.9873962,0.99,34.3025
1.0,10,15,9,100,0.9916737,1.0,33.035
1.0,10,16,0,114,0.93763566,0.956140350877193,20.19298245614035
1.0,10,16,1,113,0.9675335,0.9911504424778761,33.85398230088496
1.0,10,16,2,113,0.97499686,0.9823008849557522,48.79203539823009
1.0,10,16,3,113,0.9793225,0.9557522123893806,45.426991150442475
1.0,10,16,4,113,0.98235226,0.9557522123893806,38.7212389380531
1.0,10,16,5,113,0.9847055,0.9911504424778761,40.36283185840708
1.0,10,16,6,113,0.98692685,0.9646017699115044,35.72566371681416
1.0,10,16,7,113,0.9889733,0.9823008849557522,37.442477876106196
1.0,10,16,8,113,0.99128634,0.9557522123893806,37.440265486725664
1.0,10,16,9,113,0.993984,1.0,39.20575221238938
1.0,10,17,0,100,0.9245766,0.99,26.1
1.0,10,17,1,100,0.95450073,0.98,20.0475
1.0,10,17,2,100,0.9636979,0.95,25.0025
1.0,10,17,3,99,0.97023386,0.9494949494949495,22.717171717171716
1.0,10,17,4,100,0.9749768,0.96,20.3525
1.0,10,17,5,100,0.9785564,0.98,28.01
1.0,10,17,6,99,0.9817032,0.9696969696969697,23.77777777777778
1.0,10,17,7,100,0.98464423,0.96,30.1525
1.0,10,17,8,100,0.98750985,0.98,29.5125
1.0,10,17,9,100,0.9917137,0.95,27.59
1.0,10,18,0,90,0.92334706,0.9444444444444444,30.91111111111111
1.0,10,18,1,89,0.95485353,0.9438202247191011,32.735955056179776
1.0,10,18,2,89,0.96381754,0.9662921348314607,29.132022471910112
1.0,10,18,3,89,0.96917033,0.9887640449438202,51.449438202247194
1.0,10,18,4,89,0.97339964,0.9775280898876404,31.5
1.0,10,18,5,89,0.9767472,0.9775280898876404,40.57303370786517
1.0,10,18,6,89,0.9796143,0.9887640449438202,20.6938202247191
1.0,10,18,7,89,0.9824859,0.9775280898876404,19.707865168539325
1.0,10,18,8,89,0.98548126,0.9887640449438202,33.71067415730337
1.0,10,18,9,89,0.98984367,0.9662921348314607,29.884831460674157
1.0,10,19,0,109,0.9315625,0.9724770642201835,29.763761467889907
1.0,10,19,1,109,0.962322,0.9541284403669725,30.36467889908257
1.0,10,19,2,109,0.969897,0.9724770642201835,29.493119266055047
1.0,10,19,3,109,0.97454506,0.9908256880733946,33.018348623853214
1.0,10,19,4,109,0.97800326,0.981651376146789,34.977064220183486
1.0,10,19,5,109,0.98090154,0.9908256880733946,34.70183486238532
1.0,10,19,6,109,0.9833828,0.981651376146789,32.39678899082569
1.0,10,19,7,109,0.98614556,0.9908256880733946,33.272935779816514
