direction,horizon_bars,windows,mean_of_window_means,median_of_window_means,positive_window_ratio,cost_positive_window_ratio,min_window_mean,max_window_mean
long_reversion,1,22,0.18335150543368484,0.238024757083258,0.6363636363636364,0.0,-0.5834305717619603,0.8688751317175974
long_reversion,3,22,0.5556369828903726,0.7089423659557244,0.6363636363636364,0.36363636363636365,-1.7518094793369134,2.614918292040063
long_reversion,5,22,0.9284275774902692,1.1744068464096438,0.6363636363636364,0.5,-2.919644942770381,4.367879746835443
long_reversion,10,22,1.8064839144869624,2.324624669842602,0.6363636363636364,0.5909090909090909,-5.91528297474275,8.769672564034856
long_reversion,20,22,3.552584603719204,4.585215748601149,0.6363636363636364,0.6363636363636364,-12.09563994374121,17.02991792427853
long_reversion,30,22,5.249470944925066,6.394759929270947,0.6363636363636364,0.6363636363636364,-18.140742481203006,25.24870867768595
long_reversion,60,22,10.100555212669065,10.59553895042858,0.6363636363636364,0.6363636363636364,-35.15511121628017,51.20301926080167
short_reversion,1,22,-0.16734309957221227,-0.22359014578027722,0.3181818181818182,0.0,-0.8893484347162128,0.5590995485863626
short_reversion,3,22,-0.49770259664152383,-0.6680584585272935,0.3181818181818182,0.18181818181818182,-2.640883626177744,1.6927145234133587
short_reversion,5,22,-0.8258242121639586,-1.0974640142955856,0.3181818181818182,0.18181818181818182,-4.362229299363057,2.834780023781213
short_reversion,10,22,-1.6442050816577343,-2.1615340015120865,0.3181818181818182,0.2727272727272727,-8.595344387755102,5.728869047619048
short_reversion,20,22,-3.218827492906206,-4.251788212098665,0.3181818181818182,0.2727272727272727,-16.948721227621483,11.621479713603819
short_reversion,30,22,-4.8169443388476605,-6.270972450220583,0.36363636363636365,0.3181818181818182,-25.09846153846154,17.4127990430622
short_reversion,60,22,-9.41745946942372,-12.060278813137977,0.3181818181818182,0.3181818181818182,-48.842441860465115,34.72084337349398
