condition,condition_value,horizon_bars,observations,mean_return,median_return,std_return,win_rate_positive,mean_displacement_points,median_displacement_points,window,validation_start,validation_end
zscore_30,-1.0:0,1,6328,5.925315476713707e-06,0.0,0.00047938276521408116,0.49352085967130216,0.08422882427307206,0.0,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.0:0,3,6328,1.325520483669308e-05,1.735814979486605e-05,0.0008461200389733381,0.5091656131479141,0.18911978508217447,0.25,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.0:0,5,6328,2.3640488320448947e-06,1.700955086403333e-05,0.001086942609445017,0.5061630847029077,0.03911188369152971,0.25,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.0:0,10,6328,-6.478852836075491e-06,3.6404343547680185e-05,0.0014906453412300992,0.5178571428571429,-0.07162610619469026,0.5,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.0:0,20,6328,3.191239632952911e-06,3.3850111792688153e-05,0.0020308555593458316,0.5080594184576486,0.08770543615676359,0.5,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.0:0,30,6328,0.0001259431318100871,0.00012036280861293935,0.0026074517797768397,0.5412452591656132,1.794840391908976,1.75,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.0:0,60,6325,0.00024126797522394956,0.0002061643129573909,0.0036962753031525813,0.5389723320158103,3.437509881422925,3.0,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.5:-1.0,1,2982,-5.4676561598074275e-06,0.0,0.0005185263422230943,0.49798792756539234,-0.07109322602280349,0.0,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.5:-1.0,3,2982,9.792534812500242e-06,1.818214891669001e-05,0.0008915648481896179,0.5120724346076458,0.15300134138162308,0.25,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.5:-1.0,5,2982,5.670878604438462e-05,5.282593580058226e-05,0.0010819604505632224,0.5335345405767941,0.8202548625083836,0.75,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.5:-1.0,10,2982,0.00014056101274430763,9.15449254670353e-05,0.0014645353576364557,0.5442655935613682,1.977112676056338,1.25,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.5:-1.0,20,2982,0.0001648273757660162,0.00013403085100016643,0.0020792939917829547,0.545271629778672,2.3250335345405766,2.0,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
zscore_30,-1.5:-1.0,30,2982,0.0001867870618976695,0.00017920344106570063,0.0023536387178354425,0.5519785378940308,2.682679409792086,2.5,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
