tp,sl,rr,horizon,observations,wins,losses,ambiguous,unresolved,resolved,win_rate_resolved,resolved_rate,ambiguous_rate,expectancy_resolved_r,expectancy_all_r,score,side,hmm_state,vol_bucket,zscore
5.0,2.0833333333333335,2.4,42,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,43,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,44,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,45,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,46,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,47,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,48,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,49,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,50,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,51,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,52,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,53,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,54,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,55,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,56,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,57,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
