feature,condition,threshold,horizon_bars,observations,mean_return,median_return,win_rate_positive,window,validation_start,validation_end
normalized_vwap_distance,bottom_10pct,-5.585745568458536,1,2868,1.4133163042414734e-05,1.671290570581796e-05,0.5017433751743375,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,bottom_10pct,-5.585745568458536,3,2868,3.7666271672912365e-05,1.809758216309021e-05,0.5125523012552301,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,bottom_10pct,-5.585745568458536,5,2868,5.673275926328616e-05,4.434530483243826e-05,0.5247559274755927,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,bottom_10pct,-5.585745568458536,10,2868,0.00013611531028688152,9.633823857901902e-05,0.5453277545327755,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,bottom_10pct,-5.585745568458536,20,2868,0.00030157488932097665,0.0001790309091407316,0.544281729428173,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,bottom_10pct,-5.585745568458536,30,2868,0.0004296061757953197,0.0003017156146293276,0.5679916317991632,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,bottom_10pct,-5.585745568458536,60,2868,0.0005806002861293289,0.0007110269953711779,0.5878661087866108,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,1,2867,-2.767671291294323e-06,0.0,0.4771538193233345,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,3,2865,-1.3357918374202375e-05,1.6544786737737738e-05,0.5008726003490401,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,5,2863,-2.0381545270516385e-05,0.0,0.4952846664338107,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,10,2858,-2.4580205396540886e-05,0.0,0.4926522043386984,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,20,2848,5.354373923754711e-05,-3.3524513445071236e-05,0.48103932584269665,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,30,2838,0.00011114873718844653,3.3239984563171454e-05,0.507399577167019,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
normalized_vwap_distance,top_10pct,12.644094339761137,60,2837,0.0001999458063292084,0.00022123517298888729,0.5629185759605216,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,1,1217,1.7067688704612493e-06,0.0,0.48726376335250615,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,3,1217,3.2849840772445092e-06,1.7006224278137694e-05,0.5094494658997535,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,5,1217,2.0597169207562546e-05,3.305894409733057e-05,0.5135579293344289,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,10,1217,5.891653576245405e-05,3.374502260911072e-05,0.5135579293344289,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,20,1217,8.14540498027407e-05,1.657797450316245e-05,0.5004108463434676,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,30,1217,8.013546872075191e-05,3.352105122012006e-05,0.5094494658997535,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,bottom_10pct,0.17611612123115686,60,1214,0.0001478139325085982,0.00015072494389400948,0.5321252059308073,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,1,1217,-1.0521889871364929e-05,0.0,0.4930156121610518,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,3,1217,-5.6823629870492165e-06,-1.707708596609958e-05,0.485620377978636,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,5,1217,-1.216500530690668e-05,-1.8304960644366375e-05,0.48315529991783074,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,10,1217,-6.220866660954964e-05,-3.397777853286765e-05,0.48726376335250615,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,20,1217,-0.00021234084325592263,-8.894739650966432e-05,0.4732949876746097,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,30,1217,-0.0002219522980476045,-5.010689470874574e-05,0.485620377978636,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_30,top_10pct,0.5471790939377479,60,1217,7.092419634856277e-06,0.00018155110663653495,0.5439605587510271,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,1,1329,1.796758900989847e-05,1.6708158593781164e-05,0.5056433408577878,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,3,1329,3.381904538428885e-05,1.778093883353371e-05,0.5184349134687735,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,5,1329,5.0922972278904514e-05,3.70940519687224e-05,0.5289691497366441,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,10,1329,0.00011512525290085807,9.018596345655716e-05,0.5673438675696012,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,20,1329,0.000247531529058172,0.0002493599760613474,0.5989465763732129,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,30,1329,0.0002731074785336582,0.0002552279185312756,0.5718585402558315,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,bottom_10pct,0.166204270737569,60,1329,0.0004146875291500771,0.0002519822604487576,0.5583145221971407,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,top_10pct,0.4514530241933122,1,1329,-2.5852422139654e-06,0.0,0.4815650865312265,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,top_10pct,0.4514530241933122,3,1329,-1.0834532517707286e-05,-1.6997841274180026e-05,0.4815650865312265,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
half_life_60,top_10pct,0.4514530241933122,5,1329,-1.1021234645368504e-05,1.6974470396613484e-05,0.5011286681715575,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
