from_state,to_state,count,probability
0,0,386592,0.9484127373534174
0,1,11791,0.028926451106422647
0,2,9237,0.022660811540159954
1,0,12369,0.05132620711404717
1,1,224567,0.9318596776602984
1,2,4052,0.01681411522565439
2,0,8659,0.048891072114190214
2,1,4630,0.02614224089256273
2,2,163819,0.924966686993247
