target_points,horizon_bars,windows,mean_realized_probability,mean_baseline_probability,mean_probability_lift,median_probability_lift,positive_lift_window_ratio,mean_top_decile_lift,positive_top_decile_lift_ratio,mean_future_mfe
1.0,5,22,0.9518185657804646,0.9482041547821144,0.0036144109983501775,0.002614230149935226,0.6818181818181818,0.024692999455743794,0.7727272727272727,17.149203886855915
1.0,10,22,0.96485782931246,0.9630785071695815,0.001779322142878363,0.001985449280227647,0.6818181818181818,0.012404638895935193,0.7272727272727273,23.994333737679543
1.0,20,22,0.9744775532507848,0.973610474261865,0.0008670789889197652,0.0013932903535777696,0.5909090909090909,0.009636864934692206,0.7727272727272727,33.308157575383525
1.0,30,22,0.9789796160862206,0.9787151455846501,0.0002644705015708772,0.000604061019695401,0.5454545454545454,0.002745238934827582,0.6363636363636364,40.43004178720926
2.0,5,22,0.9063541351593554,0.8977187226469695,0.00863541251238593,0.009010192581160259,0.8636363636363636,0.04713888026771,0.9090909090909091,17.149203886855915
2.0,10,22,0.9330896194198474,0.9272747473074819,0.005814872112365194,0.0059820601927032535,0.8181818181818182,0.028137426858819616,0.8636363636363636,23.994333737679543
2.0,20,22,0.952817980226552,0.9489647364108372,0.003853243815714699,0.003694454667157343,0.7727272727272727,0.023981404326040553,0.9090909090909091,33.308157575383525
2.0,30,22,0.9611188226308515,0.9589204530894441,0.0021983695414073763,0.0029547243363078346,0.7272727272727273,0.013136076408626452,0.6818181818181818,40.43004178720926
3.0,5,22,0.8580350378889489,0.8469027977039002,0.01113224018504874,0.01129054513338379,0.8636363636363636,0.07923892690911843,1.0,17.149203886855915
3.0,10,22,0.89765603009307,0.8907981200429952,0.006857910050075012,0.007377166004784774,0.8181818181818182,0.04977829740746553,0.9090909090909091,23.994333737679543
3.0,20,22,0.92693810265522,0.9231041601868586,0.0038339424683611167,0.0057486214976869565,0.6818181818181818,0.036806490816203755,0.9545454545454546,33.308157575383525
3.0,30,22,0.9406292316046035,0.9384931301583156,0.0021361014462879728,0.003954319270363216,0.6363636363636364,0.022268368219459912,0.8636363636363636,40.43004178720926
5.0,5,22,0.7641818491748633,0.7467952502032571,0.01738659897160607,0.01645668579418741,0.8636363636363636,0.1401630114303374,1.0,17.149203886855915
5.0,10,22,0.8303904238774481,0.8183059090034955,0.012084514873952467,0.011469525191038943,0.7727272727272727,0.09382778867395954,1.0,23.994333737679543
5.0,20,22,0.8769229893302587,0.8709716090423253,0.00595138028793332,0.005109103482072663,0.7272727272727273,0.06366705090810365,0.8636363636363636,33.308157575383525
5.0,30,22,0.8996897116115583,0.8964095995580827,0.003280112053475685,0.0026371812844267484,0.5909090909090909,0.053412214595876174,0.9090909090909091,40.43004178720926
