vol_bucket,observations,mean_realized_vol_30,median_realized_vol_30,min_percentile,max_percentile
80-100,788212,0.08724075635010595,0.08724075635010596,100.0,100.0
UNKNOWN,37505,0.08724075635010596,0.08724075635010596,,
