window,observations,win_rate,expectancy_r,context,side,hmm_state,vol_bucket,zscore,tp,sl,horizon
1,12,0.75,2.75,A1,LONG,0,20-40,2.0,50.0,12.5,3
2,314,0.5477707006369427,1.7388535031847132,A1,LONG,0,20-40,2.0,50.0,12.5,3
3,17,0.47058823529411764,1.3529411764705883,A1,LONG,0,20-40,2.0,50.0,12.5,3
4,62,0.6451612903225806,2.225806451612903,A1,LONG,0,20-40,2.0,50.0,12.5,3
5,84,0.6309523809523809,2.1547619047619047,A1,LONG,0,20-40,2.0,50.0,12.5,3
6,146,0.589041095890411,1.945205479452055,A1,LONG,0,20-40,2.0,50.0,12.5,3
7,130,0.5,1.5,A1,LONG,0,20-40,2.0,50.0,12.5,3
8,134,0.5895522388059702,1.947761194029851,A1,LONG,0,20-40,2.0,50.0,12.5,3
9,16,0.4375,1.1875,A1,LONG,0,20-40,2.0,50.0,12.5,3
10,26,0.46153846153846156,1.307692307692308,A1,LONG,0,20-40,2.0,50.0,12.5,3
11,35,0.45714285714285713,1.2857142857142856,A1,LONG,0,20-40,2.0,50.0,12.5,3
12,181,0.49171270718232046,1.4585635359116023,A1,LONG,0,20-40,2.0,50.0,12.5,3
13,208,0.49038461538461536,1.4519230769230769,A1,LONG,0,20-40,2.0,50.0,12.5,3
14,138,0.4927536231884058,1.463768115942029,A1,LONG,0,20-40,2.0,50.0,12.5,3
15,544,0.47794117647058826,1.3897058823529413,A1,LONG,0,20-40,2.0,50.0,12.5,3
16,176,0.42613636363636365,1.1306818181818183,A1,LONG,0,20-40,2.0,50.0,12.5,3
17,227,0.5903083700440529,1.9515418502202646,A1,LONG,0,20-40,2.0,50.0,12.5,3
18,104,0.40384615384615385,1.0192307692307692,A1,LONG,0,20-40,2.0,50.0,12.5,3
19,158,0.5443037974683544,1.7215189873417722,A1,LONG,0,20-40,2.0,50.0,12.5,3
20,156,0.532051282051282,1.6602564102564101,A1,LONG,0,20-40,2.0,50.0,12.5,3
21,241,0.49377593360995853,1.4688796680497926,A1,LONG,0,20-40,2.0,50.0,12.5,3
22,158,0.5,1.5,A1,LONG,0,20-40,2.0,50.0,12.5,3
2,116,0.5431034482758621,1.7155172413793105,A2,LONG,0,20-40,2.5,50.0,12.5,3
3,10,0.5,1.5,A2,LONG,0,20-40,2.5,50.0,12.5,3
4,11,0.6363636363636364,2.1818181818181817,A2,LONG,0,20-40,2.5,50.0,12.5,3
6,24,0.5416666666666666,1.708333333333333,A2,LONG,0,20-40,2.5,50.0,12.5,3
7,18,0.3333333333333333,0.6666666666666665,A2,LONG,0,20-40,2.5,50.0,12.5,3
8,21,0.6666666666666666,2.333333333333333,A2,LONG,0,20-40,2.5,50.0,12.5,3
12,24,0.625,2.125,A2,LONG,0,20-40,2.5,50.0,12.5,3
