target_points,horizon_bars,feature,gain_normalized
5.0,10,variance_60,0.013664228265129384
5.0,10,atr_60,0.012398672911028067
5.0,10,true_range,0.012103194703481026
5.0,10,minutes_until_rth_close,0.010700601729608718
5.0,10,rolling_mean_60,0.010579683019646577
5.0,10,typical_price,0.010232513460020224
5.0,10,ou_residual_30,0.010220779815600031
5.0,10,rth_progress,0.010099178313144616
5.0,10,vwap,0.010087013555069765
5.0,10,mean_distance_15,0.009949359754543929
5.0,10,realized_vol_60,0.009944412702073654
5.0,10,close,0.009881525610884031
5.0,10,realized_vol_30,0.009621893144434407
5.0,10,rolling_mean_30,0.00948088766918296
5.0,10,rolling_mean_15,0.009440060372331313
5.0,10,realized_vol_15,0.009429987298236006
5.0,10,minutes_since_rth_open,0.009389770172891162
5.0,10,log_price,0.009209360506030776
5.0,10,low,0.009118216755312113
5.0,10,rolling_range_30,0.00906440762004682
5.0,10,rolling_mean_5,0.009058558359919559
5.0,10,vwap_distance_pct,0.008897585417365744
5.0,10,variance_30,0.00887119805529004
5.0,10,rolling_range_60,0.008710992899501608
5.0,10,rolling_range_5,0.00867658152821518
5.0,10,high,0.008612258337615501
5.0,10,rolling_std_60,0.00859570758239854
5.0,10,vwap_distance,0.008519771531046856
5.0,10,ou_residual_60,0.008471330672147729
5.0,10,vol_ratio_15_60,0.008336049770670277
5.0,10,log_zscore_15,0.008334302365602482
5.0,10,mean_distance_30,0.008304781613073178
5.0,10,normalized_vwap_distance,0.008249912100533644
5.0,10,mean_distance_60,0.008197692688554525
5.0,10,rolling_range_15,0.008168667222240142
5.0,10,volume,0.008161971168149085
5.0,10,displacement_60,0.008145555587751525
5.0,10,ou_residual_120,0.008129165463504336
5.0,10,rolling_std_30,0.008115273479017474
5.0,10,ar1_coefficient_120,0.008013056081143163
5.0,10,vol_ratio_30_60,0.008012989513753425
5.0,10,normalized_ou_residual_120,0.007984556080329986
5.0,10,half_life_60,0.007960839485306116
5.0,10,log_return_1,0.007945063833696102
5.0,10,abs_zscore_15,0.007921411988458462
5.0,10,log_return_60,0.007914526853710413
5.0,10,vol_ratio_15_30,0.007851346262863703
5.0,10,displacement_15,0.00780326442881709
5.0,10,log_zscore_60,0.0077899089304819
5.0,10,mean_reversion_speed_60,0.007756346415373541
5.0,10,normalized_range_60,0.007744897201302506
5.0,10,ar1_coefficient_60,0.007698607276238147
5.0,10,displacement_30,0.007679319386148737
5.0,10,mean_reversion_speed_120,0.007662368716583366
5.0,10,return_60,0.007617533007370574
5.0,10,return_15,0.0076131149239483335
5.0,10,mean_reversion_speed_30,0.007589941511728934
5.0,10,variance_ratio_5_60,0.0075897604803599064
5.0,10,mean_distance_5,0.007582188761305241
5.0,10,return_10,0.007515257734450556
5.0,10,variance_5,0.007489358341055257
5.0,10,variance_ratio_5_30,0.007473370925124202
5.0,10,log_zscore_30,0.00744842163597544
5.0,10,return_30,0.00744621262752584
5.0,10,ar1_coefficient_30,0.0074095661929320725
5.0,10,zscore_60,0.007400798234379008
5.0,10,normalized_range_15,0.0073784319018679
5.0,10,half_life_30,0.00737805910674589
5.0,10,log_return_30,0.007350494929899772
5.0,10,open,0.0073447684713062785
5.0,10,past_return_30,0.007315546473754304
5.0,10,short_return,0.007309567227604843
5.0,10,rolling_std_15,0.007289678944895665
5.0,10,normalized_range_30,0.00728753377639112
5.0,10,log_return_15,0.0072671812293784955
5.0,10,displacement_10,0.007190996381853308
5.0,10,return_1,0.007189887065795206
5.0,10,log_return_10,0.007184273873766263
5.0,10,half_life_120,0.007163047258343015
5.0,10,vol_ratio_5_15,0.007157912477850914
5.0,10,realized_vol_5,0.00714230803506715
5.0,10,autocorrelation_120,0.007097594484332062
5.0,10,abs_zscore_5,0.007077895725766818
5.0,10,abs_zscore_60,0.007031315627197425
5.0,10,past_return_15,0.006996747727195422
5.0,10,log_zscore_5,0.006982726532788504
5.0,10,vol_ratio_5_60,0.0069799637200222125
5.0,10,zscore_15,0.006975686798493068
5.0,10,autocorrelation_60,0.006971230597368309
5.0,10,zscore_30,0.006916801245617015
5.0,10,rolling_std_5,0.006870811339467764
5.0,10,log_return_5,0.00686065557723244
5.0,10,normalized_ou_residual_60,0.006843807220104195
5.0,10,autocorrelation_30,0.006772399503028109
5.0,10,abs_zscore_30,0.006770643693882795
5.0,10,vol_ratio_5_30,0.006674481356250388
5.0,10,past_return_10,0.0066049168374212016
5.0,10,past_return_3,0.006587755955046131
5.0,10,normalized_ou_residual_30,0.006581181261156287
5.0,10,return_5,0.0065707870803418614
5.0,10,normalized_range_5,0.006447066198147479
5.0,10,displacement_5,0.006440579026405301
5.0,10,displacement_1,0.00633003870912251
5.0,10,zscore_5,0.006285823659882659
5.0,10,past_return_5,0.005972783502546095
5.0,10,return,0.0058050040333043965
5.0,10,log_return,0.005747123820973294
5.0,10,long_return,0.00556931206457583
5.0,10,zscore_direction_60,0.002326152841782286
5.0,10,direction_60,0.0017201935074159078
5.0,10,direction_30,0.0008240065182603541
5.0,10,zscore_direction_5,0.0008172038942575455
5.0,10,vwap_side,0.0003752888934243293
5.0,10,direction_10,0.0002957862535757678
5.0,10,past_return_1,0.0002886241390591576
5.0,10,direction_1,0.0
5.0,10,direction_15,0.0
5.0,10,direction_5,0.0
5.0,10,zscore_direction_15,0.0
5.0,10,zscore_direction_30,0.0
5.0,20,atr_15,0.038097776960404145
5.0,20,atr_30,0.03116562958097174
5.0,20,atr_5,0.026669800370222048
5.0,20,atr_60,0.022467759171766893
5.0,20,variance_60,0.014189483597874641
5.0,20,true_range,0.013017197516525076
5.0,20,rolling_range_60,0.011642998882702418
5.0,20,minutes_until_rth_close,0.011543046017842633
5.0,20,vwap,0.01137835763040043
5.0,20,rolling_mean_60,0.01094527267629192
5.0,20,rolling_mean_30,0.010704256328088897
5.0,20,rolling_mean_15,0.010699582574445577
5.0,20,ou_residual_30,0.01044716646096536
5.0,20,low,0.010352934976773602
5.0,20,typical_price,0.010184370069986298
5.0,20,minutes_since_rth_open,0.010119398523654257
5.0,20,realized_vol_15,0.010063881719751018
5.0,20,rth_progress,0.010036414710893518
5.0,20,variance_30,0.009967488635863577
5.0,20,realized_vol_30,0.009956389377337126
5.0,20,log_return_1,0.009648130530314077
5.0,20,rolling_mean_5,0.009512814981419416
5.0,20,vwap_distance_pct,0.009487492387138662
5.0,20,close,0.009402398663085131
5.0,20,rolling_std_60,0.009318618503000056
5.0,20,volume,0.009287290829455569
5.0,20,vwap_distance,0.009074979772170385
5.0,20,rolling_range_30,0.009035442201864152
5.0,20,high,0.00895381388476207
5.0,20,rolling_range_15,0.008898250248637937
5.0,20,half_life_60,0.008825248085139762
5.0,20,half_life_30,0.008788380062296278
5.0,20,ar1_coefficient_60,0.008760897708790643
5.0,20,log_price,0.00869356794282794
5.0,20,displacement_60,0.008683700757544665
5.0,20,mean_reversion_speed_60,0.008676349407150633
5.0,20,vol_ratio_15_60,0.00864633112879736
5.0,20,normalized_vwap_distance,0.00864392492387976
5.0,20,mean_distance_30,0.008593182190365735
5.0,20,ar1_coefficient_120,0.008565525036482583
5.0,20,rolling_std_30,0.008542719607551893
5.0,20,vol_ratio_30_60,0.0085378075905499
5.0,20,ou_residual_120,0.00852401712022367
5.0,20,rolling_range_5,0.00850658163073517
5.0,20,vol_ratio_5_60,0.008498873849887224
5.0,20,realized_vol_60,0.008429947442242078
5.0,20,mean_distance_60,0.008362282777116412
5.0,20,mean_reversion_speed_30,0.008255662773514078
5.0,20,normalized_range_60,0.008232093238759609
5.0,20,return_60,0.00820075481065682
5.0,20,displacement_30,0.008130440599329415
5.0,20,return_15,0.008108965963834808
5.0,20,vol_ratio_15_30,0.00807387392879242
5.0,20,half_life_120,0.008052088519824403
5.0,20,ar1_coefficient_30,0.008047960343815032
5.0,20,variance_ratio_5_60,0.008039913583724271
5.0,20,variance_5,0.0080371469126216
5.0,20,log_return_30,0.007986641710712797
5.0,20,log_zscore_60,0.007967003665509679
5.0,20,normalized_ou_residual_120,0.007960163921649967
5.0,20,ou_residual_60,0.007952128758742696
5.0,20,open,0.007860903605996143
5.0,20,return_30,0.007819714800765118
5.0,20,mean_distance_5,0.007814947404854354
5.0,20,mean_distance_15,0.007814880549198105
5.0,20,rolling_std_15,0.007795741293756734
5.0,20,log_zscore_15,0.007770452404483443
5.0,20,realized_vol_5,0.007740372681014594
5.0,20,mean_reversion_speed_120,0.007731116088550715
5.0,20,displacement_15,0.007702140359296685
5.0,20,log_return_60,0.007698274394940762
5.0,20,log_return_15,0.007689762189762578
5.0,20,normalized_range_30,0.007684326708494197
5.0,20,normalized_range_15,0.007587779468546311
5.0,20,zscore_60,0.007519082144080173
5.0,20,log_zscore_30,0.0074365535928379925
5.0,20,variance_ratio_5_30,0.007405317831961881
5.0,20,autocorrelation_120,0.007372119707898015
5.0,20,return_10,0.007350170585725989
5.0,20,autocorrelation_60,0.007341491679350535
5.0,20,displacement_10,0.007335252328110593
5.0,20,rolling_std_5,0.007242471145998154
5.0,20,normalized_ou_residual_60,0.007215378961215417
5.0,20,past_return_15,0.007188599268417983
5.0,20,vol_ratio_5_30,0.007186831219033117
5.0,20,abs_zscore_15,0.007184478742558332
5.0,20,log_return_10,0.00715368895214938
5.0,20,past_return_30,0.007150271419613134
5.0,20,autocorrelation_30,0.0071004100055212065
5.0,20,abs_zscore_60,0.00708723979602967
5.0,20,log_return_5,0.007039239918369623
5.0,20,past_return_10,0.006979252677410841
5.0,20,return_5,0.006945676103766475
5.0,20,vol_ratio_5_15,0.006836211419708672
5.0,20,return_1,0.006749771091909636
5.0,20,abs_zscore_5,0.006738803748573575
5.0,20,zscore_15,0.006680138054348174
5.0,20,log_zscore_5,0.006562846068326118
5.0,20,normalized_range_5,0.006527209321835211
5.0,20,zscore_30,0.006515069798167262
5.0,20,displacement_5,0.0065118927242500445
5.0,20,abs_zscore_30,0.00648915594709771
5.0,20,displacement_1,0.006304932270376455
5.0,20,past_return_3,0.006304417537259204
5.0,20,past_return_5,0.006191127445726167
5.0,20,zscore_5,0.005990902826722179
5.0,20,short_return,0.005849492226150774
5.0,20,log_return,0.005535104090259189
5.0,20,normalized_ou_residual_30,0.00549162943692257
5.0,20,return,0.005313234037852713
5.0,20,long_return,0.004611958698314126
5.0,20,zscore_direction_60,0.0022509025099376836
5.0,20,direction_10,0.0009141244282502504
5.0,20,direction_30,0.0005596675577440432
5.0,20,direction_60,0.0003826103749729338
5.0,20,vwap_side,0.000354598875024489
5.0,20,past_return_1,0.0003311179267863433
5.0,20,zscore_direction_5,0.00026962460417832645
5.0,20,direction_15,0.00019691241461606253
5.0,20,direction_1,0.0
5.0,20,direction_5,0.0
5.0,20,zscore_direction_15,0.0
5.0,20,zscore_direction_30,0.0
5.0,30,atr_60,0.03406886867291871
5.0,30,atr_30,0.0250826378219894
5.0,30,atr_15,0.019814526130046164
5.0,30,atr_5,0.01649936634515013
5.0,30,rolling_range_60,0.0134547727980784
5.0,30,variance_60,0.012601789663590136
5.0,30,rolling_mean_30,0.012073544164498648
5.0,30,minutes_until_rth_close,0.01192888320379314
5.0,30,rolling_mean_60,0.011872588701191403
5.0,30,vwap,0.01174330631537097
5.0,30,typical_price,0.011548083807740892
5.0,30,rth_progress,0.01138490537137148
5.0,30,rolling_mean_15,0.011155516574425357
5.0,30,low,0.010978534108116514
5.0,30,close,0.010923621422123341
5.0,30,minutes_since_rth_open,0.010920296822275435
5.0,30,realized_vol_15,0.010551566479816324
5.0,30,rolling_mean_5,0.010342247584568602
5.0,30,true_range,0.010224706072005488
5.0,30,vwap_distance_pct,0.010202595831028052
5.0,30,rolling_std_60,0.010180849803700334
5.0,30,variance_30,0.01006679804552169
5.0,30,rolling_range_5,0.009902820634167819
5.0,30,high,0.009839594253294524
5.0,30,realized_vol_30,0.00982114796837171
5.0,30,vwap_distance,0.0095600521280652
5.0,30,rolling_range_15,0.009545347808549801
5.0,30,ou_residual_30,0.009505810925648325
5.0,30,rolling_range_30,0.009467348012895812
5.0,30,half_life_60,0.009422073983365581
5.0,30,displacement_60,0.009405392532547316
5.0,30,realized_vol_60,0.009228996954680909
5.0,30,vol_ratio_30_60,0.009206760652540695
5.0,30,open,0.009172052255876008
5.0,30,mean_distance_30,0.009094524019885631
5.0,30,vol_ratio_15_60,0.00903635225923998
5.0,30,normalized_vwap_distance,0.008949250781110354
5.0,30,mean_reversion_speed_60,0.008932647539214009
5.0,30,half_life_120,0.008914586067909286
5.0,30,return_60,0.008913503006278049
5.0,30,mean_distance_60,0.008802360234161219
5.0,30,vol_ratio_15_30,0.00876216177961656
5.0,30,rolling_std_30,0.008731765672564507
5.0,30,mean_reversion_speed_120,0.008673133661172219
5.0,30,ar1_coefficient_60,0.008630166029823678
5.0,30,return_15,0.00862987559022648
5.0,30,ar1_coefficient_120,0.008600179349914902
5.0,30,log_return_60,0.008598534900340297
5.0,30,ou_residual_120,0.008592848244699695
5.0,30,rolling_std_15,0.008558112396193402
5.0,30,normalized_range_60,0.00850577395231951
5.0,30,log_zscore_60,0.008484792718220325
5.0,30,normalized_range_30,0.008410822334034103
5.0,30,variance_5,0.00840459613218194
5.0,30,realized_vol_5,0.0083744171785102
5.0,30,log_price,0.008317659609019756
5.0,30,displacement_30,0.008256610061618545
5.0,30,volume,0.008225690684325639
5.0,30,vol_ratio_5_60,0.008205408385644356
5.0,30,mean_reversion_speed_30,0.008196045888499134
5.0,30,ou_residual_60,0.00818874001769083
5.0,30,return_30,0.008172585385008937
5.0,30,normalized_ou_residual_120,0.008084497569749752
5.0,30,normalized_range_15,0.008039889923696007
5.0,30,ar1_coefficient_30,0.007977469292070185
5.0,30,mean_distance_5,0.007974558243794101
5.0,30,log_zscore_15,0.007954387859042202
5.0,30,log_return_30,0.00794013427747857
5.0,30,zscore_60,0.007907294734780277
5.0,30,variance_ratio_5_60,0.007876679922143618
5.0,30,abs_zscore_60,0.007866979776216405
5.0,30,autocorrelation_120,0.007851664553440753
5.0,30,rolling_std_5,0.007848743526708512
5.0,30,mean_distance_15,0.007704049747969423
5.0,30,past_return_30,0.007621441125160172
5.0,30,abs_zscore_15,0.0076066126736501856
5.0,30,displacement_15,0.007562604378021899
5.0,30,normalized_ou_residual_60,0.007529328821138257
5.0,30,log_return_15,0.00752279793267094
5.0,30,autocorrelation_60,0.007400201722269966
5.0,30,autocorrelation_30,0.007399808659794785
5.0,30,log_return_5,0.0073687271436765085
5.0,30,past_return_15,0.007337548570441348
5.0,30,past_return_10,0.007294810754025266
5.0,30,return_10,0.007273436745717412
5.0,30,zscore_15,0.007205625086845387
5.0,30,log_return_10,0.007150160037868079
5.0,30,displacement_10,0.00714038239259805
5.0,30,return_5,0.007034532171452329
5.0,30,vol_ratio_5_30,0.006979421379842928
5.0,30,log_return_1,0.006942813140561893
5.0,30,vol_ratio_5_15,0.006921396036410616
5.0,30,log_zscore_30,0.006868207295026098
5.0,30,abs_zscore_5,0.006857452648026603
5.0,30,variance_ratio_5_30,0.006826920989191248
