context,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,aggregate_wr,mean_window_wr,median_window_wr,std_window_wr,min_window_wr,max_window_wr,mean_window_expectancy,median_window_expectancy,min_window_expectancy,positive_window_ratio,wr_ge_50_window_ratio,windows
A1,LONG,0,20-40,2.0,50.0,10.0,5.0,3,3222,1596,0.49534450651769085,0.5012910913180695,0.4861878453038674,0.0716004938484223,0.375,0.6451612903225806,2.0077465479084173,1.9171270718232045,1.25,1.0,0.42105263157894735,19
A1,LONG,0,20-40,2.0,47.5,10.0,4.75,3,3222,1596,0.49534450651769085,0.5012910913180695,0.4861878453038674,0.0716004938484223,0.375,0.6451612903225806,1.8824237750789,1.7955801104972378,1.15625,1.0,0.42105263157894735,19
A1,LONG,0,20-40,2.0,50.0,10.0,5.0,4,3222,1533,0.4757914338919926,0.4804249787618585,0.463768115942029,0.07357843439737147,0.375,0.6547619047619048,1.8825498725711511,1.782608695652174,1.25,1.0,0.3684210526315789,19
A1,LONG,0,20-40,2.0,50.0,10.0,5.0,5,3222,1491,0.462756052141527,0.47230644973285196,0.46408839779005523,0.0746772996563052,0.375,0.6904761904761905,1.8338386983971118,1.7845303867403313,1.25,1.0,0.21052631578947367,19
A1,LONG,0,20-40,2.0,45.0,10.0,4.5,3,3222,1596,0.49534450651769085,0.5012910913180695,0.4861878453038674,0.0716004938484223,0.375,0.6451612903225806,1.757101002249383,1.6740331491712706,1.0625,1.0,0.42105263157894735,19
A1,LONG,0,20-40,2.0,47.5,10.0,4.75,4,3222,1534,0.4761018001241465,0.4808177517390777,0.463768115942029,0.07391811915292076,0.375,0.6547619047619048,1.7647020724996967,1.6666666666666667,1.15625,1.0,0.3684210526315789,19
A1,LONG,0,20-40,2.0,47.5,10.0,4.75,5,3222,1492,0.46306641837368095,0.47269922271007114,0.46408839779005523,0.07497437739223735,0.375,0.6904761904761905,1.7180205305829086,1.6685082872928174,1.15625,1.0,0.21052631578947367,19
A1,LONG,0,20-40,2.0,50.0,12.5,4.0,3,3222,1660,0.5152079453755432,0.5191775288511421,0.5,0.06640139875725974,0.40384615384615385,0.6451612903225806,1.5958876442557106,1.5,1.0192307692307692,1.0,0.5263157894736842,19
A1,LONG,0,20-40,2.0,42.5,10.0,4.25,3,3222,1596,0.49534450651769085,0.5012910913180695,0.4861878453038674,0.0716004938484223,0.375,0.6451612903225806,1.6317782294198653,1.5524861878453038,0.96875,1.0,0.42105263157894735,19
A1,LONG,0,20-40,2.0,45.0,10.0,4.5,4,3222,1534,0.4761018001241465,0.4808177517390777,0.463768115942029,0.07391811915292076,0.375,0.6547619047619048,1.6444976345649274,1.5507246376811594,1.0625,1.0,0.3684210526315789,19
C1,LONG,0,40-60,2.0,50.0,10.0,5.0,3,5149,2456,0.47698582248980387,0.48612085463138904,0.5,0.05027007834830328,0.3646723646723647,0.5794392523364486,1.9167251277883341,2.0,1.188034188034188,1.0,0.5238095238095238,21
C1,LONG,0,40-60,2.0,47.5,10.0,4.75,3,5149,2456,0.47698582248980387,0.48612085463138904,0.5,0.05027007834830328,0.3646723646723647,0.5794392523364486,1.7951949141304868,1.875,1.0968660968660968,1.0,0.5238095238095238,21
