target_points,horizon_bars,window,observations,baseline_probability,mean_model_probability,realized_probability,probability_lift_vs_baseline,top_decile_realized_probability,top_decile_lift_vs_baseline,mean_future_mfe
1.0,5,1,1239,0.9218872870249017,0.92619956,0.9313962873284907,0.009509000303588921,0.967741935483871,0.04585464845896925,10.357546408393866
1.0,5,2,990,0.9247173689619733,0.92506915,0.9333333333333333,0.00861596437136003,0.98989898989899,0.06518162093701663,9.63560606060606
1.0,5,3,1468,0.958934793429567,0.9622638,0.9584468664850136,-0.00048792694455335184,0.9863945578231292,0.027459764393562236,17.900544959128066
1.0,5,4,1739,0.9490697674418604,0.9660406,0.9511213341000575,0.002051566658197057,0.9482758620689655,-0.0007939053728949208,16.90037377803335
1.0,5,5,1352,0.9444582814445828,0.95800924,0.9511834319526628,0.00672515050807998,0.9558823529411765,0.011424071496593746,17.08117603550296
1.0,5,6,1369,0.9484367708819412,0.9552833,0.9415631848064281,-0.006873586075513138,0.9416058394160584,-0.006830931465882872,15.697772096420746
1.0,5,7,1207,0.9342032204330927,0.941483,0.9411764705882353,0.006973250155142607,0.9669421487603306,0.032738928327237904,12.635666942833472
1.0,5,8,1306,0.9268929503916449,0.9423659,0.9364471669218989,0.009554216530254012,0.9694656488549618,0.042572698463316905,11.970903522205207
1.0,5,9,1008,0.9256349829798377,0.9383708,0.9285714285714286,0.002936445591590897,1.0,0.0743650170201623,11.323660714285714
1.0,5,10,897,0.943081452404318,0.93445015,0.9453734671125975,0.002292014708279555,0.9444444444444444,0.001362992040126465,12.204292084726868
1.0,5,11,1085,0.9184782608695652,0.92857355,0.9299539170506912,0.011475656181126004,0.9541284403669725,0.03565017949740734,11.386866359447005
1.0,5,12,1208,0.9476439790575916,0.93562824,0.9445364238410596,-0.003107555216531943,0.9834710743801653,0.035827095322573776,13.415769867549669
1.0,5,13,1287,0.9510435454779695,0.94311666,0.9518259518259519,0.0007824063479823229,1.0,0.04895645452203046,14.998251748251748
1.0,5,14,1246,0.9628992628992629,0.95709455,0.9686998394863563,0.005800576587093431,0.992,0.02910073710073713,20.309390048154093
1.0,5,15,1000,0.9673502428494334,0.95569545,0.972,0.004649757150566591,1.0,0.032649757150566616,17.773
1.0,5,16,1131,0.9656415185007208,0.9720745,0.9655172413793104,-0.00012427712141038771,0.9646017699115044,-0.001039748589216405,27.232758620689655
1.0,5,17,998,0.9469502819067145,0.9602483,0.9468937875751503,-5.649433156418304e-05,0.93,-0.016950281906714437,18.522795591182366
1.0,5,18,891,0.9567581563956499,0.9548167,0.9551066217732884,-0.0016515346223614502,0.9550561797752809,-0.0017019766203689723,20.717171717171716
