condition,condition_value,horizon_bars,total_observations,pooled_mean_return,pooled_mean_displacement,pooled_win_rate_positive,median_window_mean_return
zscore_30,-2.5:-2.0,30,23138,5.082584192646429e-05,0.8009011150488374,0.5243754862131559,8.655750936921352e-05
zscore_30,-2.5:-2.0,60,23123,7.691078698092512e-05,1.4596397526272542,0.5299485360896078,0.00011975013570858021
zscore_30,0:1.0,1,147386,1.8160352105237852e-06,0.03066098543959399,0.4948231175281234,6.249471790630957e-07
zscore_30,0:1.0,3,147375,8.193402031990822e-06,0.14045971162001697,0.5050653095843936,5.739953324494796e-06
zscore_30,0:1.0,5,147371,1.5087307657169504e-05,0.23729906155213712,0.5078339700483813,1.7470752538365028e-05
zscore_30,0:1.0,10,147340,2.1990422531214554e-05,0.31209447536310575,0.5114700692276367,2.3415029580774738e-05
zscore_30,0:1.0,20,147263,4.024323823231776e-05,0.6647477642041789,0.5206942680782002,4.7149673324914405e-05
zscore_30,0:1.0,30,147189,4.314120385725476e-05,0.7077923622009797,0.5230553913675614,6.879601882260641e-05
zscore_30,0:1.0,60,147014,0.00011638816163769222,1.72860747955977,0.5292489150693132,0.00016686966288505
zscore_30,1.0:1.5,1,80901,6.965353076873868e-07,0.014786591018652404,0.4927133162754478,2.3058759583833545e-06
zscore_30,1.0:1.5,3,80898,6.512857183136123e-06,0.12303456204108879,0.5000741674701475,2.902871632179677e-06
zscore_30,1.0:1.5,5,80886,1.20646277750274e-05,0.21424597581781768,0.5038943698538684,6.7850247669701844e-06
zscore_30,1.0:1.5,10,80873,2.5909073264999565e-05,0.4467251122129759,0.51360775536953,3.4739889025652236e-05
zscore_30,1.0:1.5,20,80851,3.372931375170548e-05,0.5994390916624408,0.5196596207839111,3.65205278304378e-05
zscore_30,1.0:1.5,30,80837,5.242434010509276e-05,0.9242982792533122,0.5225824807946856,7.901915144858221e-05
zscore_30,1.0:1.5,60,80761,7.670752311805427e-05,1.3280667648988993,0.5280271418134991,9.550921097459226e-05
zscore_30,1.5:2.0,1,54933,5.473967450199003e-07,-0.02848925054156881,0.48846776982870044,-8.51663358827892e-07
zscore_30,1.5:2.0,3,54925,-8.233148204580897e-07,-0.05632680928538916,0.498479745106964,-2.145382080543879e-06
zscore_30,1.5:2.0,5,54917,2.192564084813113e-06,0.02029881457472186,0.5030136387639529,2.935784401589222e-06
zscore_30,1.5:2.0,10,54907,1.4025345969374021e-05,0.2726838108073652,0.5064199464549147,2.0784626577472056e-05
zscore_30,1.5:2.0,20,54890,1.989860381849612e-05,0.29775460010930954,0.517708143559847,2.7768262012806934e-05
zscore_30,1.5:2.0,30,54883,3.3885688545546315e-05,0.48923619335677715,0.5227119508773208,4.77572553998322e-05
zscore_30,1.5:2.0,60,54844,9.042350218805687e-05,1.514536685872657,0.527696739843921,9.325524176856775e-05
zscore_30,2.0:2.5,1,23744,-5.379444159933438e-07,-0.04830694070080865,0.4786472371967655,-1.3724463062942694e-06
zscore_30,2.0:2.5,3,23743,-6.905327270999653e-06,-0.13614539022027547,0.49547234974518806,1.5692323870191205e-06
zscore_30,2.0:2.5,5,23742,-1.8619782189538226e-05,-0.3017542751242524,0.4998736416477129,3.4787498159922595e-06
zscore_30,2.0:2.5,10,23734,-2.223656934183934e-05,-0.3436314991151934,0.5032864245386366,7.043704008543059e-06
zscore_30,2.0:2.5,20,23727,1.7127184319618898e-05,0.3523306781304,0.5114426602604628,3.099505227666403e-05
zscore_30,2.0:2.5,30,23720,2.9453314128224176e-05,0.5163153456998314,0.5152613827993254,5.417131294929992e-05
zscore_30,2.0:2.5,60,23700,0.00010154914269663276,1.5891877637130802,0.5262025316455696,0.000138275300978
zscore_30,<=-2.5,1,12277,4.103405897581125e-06,0.11417691618473569,0.5252097417935978,5.230600798850629e-06
zscore_30,<=-2.5,3,12277,1.8079680910503143e-05,0.42984849718986723,0.5265129917732345,1.0688425498541547e-05
zscore_30,<=-2.5,5,12275,2.365733948912126e-05,0.5760896130346232,0.529938900203666,1.4846520074503108e-05
zscore_30,<=-2.5,10,12274,4.1715347508626356e-05,0.939872902069415,0.5374775949160828,4.421643700638837e-05
zscore_30,<=-2.5,20,12268,4.152195003307943e-05,1.0978765895011413,0.5325236387349201,7.534415611777382e-05
zscore_30,<=-2.5,30,12268,-2.284525965320123e-05,0.2617378545810237,0.5271437887186176,-6.761238780837945e-05
zscore_30,<=-2.5,60,12262,3.433299664818159e-05,1.0251590278910454,0.5319686837383787,9.56097036190701e-05
zscore_30,>=2.5,1,10553,-1.4388321679746757e-06,0.04387377996778167,0.47796835023216144,-3.858688427789231e-06
zscore_30,>=2.5,3,10551,-3.122300349521509e-05,-0.471779926073358,0.48725239313809116,-4.648562531599912e-05
zscore_30,>=2.5,5,10551,-6.81998172185399e-05,-1.0451379016206994,0.48289261681357215,-7.152603808864426e-05
zscore_30,>=2.5,10,10548,-7.716828785795894e-05,-1.2176478953356087,0.4964922260144103,-4.165577234529516e-05
zscore_30,>=2.5,20,10547,-3.1046932715768614e-05,-0.40876552574191716,0.5015644259031004,-3.580527090058535e-05
zscore_30,>=2.5,30,10546,1.4742345039430614e-05,0.28909065048359567,0.5171629053669637,4.789138807262233e-05
zscore_30,>=2.5,60,10532,7.799683921699528e-05,1.2192128750474744,0.5081655905810862,3.565539239030731e-05
zscore_60,-1.0:0,1,134163,3.6968866562608463e-06,0.06683101898436972,0.49357870649881114,3.205569626119794e-06
zscore_60,-1.0:0,3,134154,1.4052796571578271e-05,0.23067519417982318,0.5027729325998479,1.3906802884331192e-05
zscore_60,-1.0:0,5,134147,1.971778297141962e-05,0.31144378927594357,0.5073911455343765,1.8208887724101587e-05
zscore_60,-1.0:0,10,134108,4.014045328036819e-05,0.6417271900259492,0.5137799385569839,4.292056472215118e-05
zscore_60,-1.0:0,20,134015,5.65650517385909e-05,0.9796515315449763,0.5177032421743835,6.609729953029481e-05
zscore_60,-1.0:0,30,133955,7.122451947013338e-05,1.2988839535664962,0.5223769176215893,0.00010843802554884625
zscore_60,-1.0:0,60,133810,0.00015516288899106233,2.5497664599058365,0.5303788954487706,0.000133862543306
zscore_60,-1.5:-1.0,1,64800,5.533550056654755e-07,-0.0016126543209876412,0.4953858024691358,-2.414716501541689e-07
zscore_60,-1.5:-1.0,3,64792,-2.3718200774192303e-06,-0.030976046425484627,0.5055408075070996,1.2547911766148907e-06
zscore_60,-1.5:-1.0,5,64786,-7.049629805126008e-06,-0.08369863859475812,0.5078103293921526,-1.479393080775345e-05
zscore_60,-1.5:-1.0,10,64783,-1.3682895386629326e-05,-0.16563373107142307,0.5099022891808036,5.347287659219657e-06
zscore_60,-1.5:-1.0,20,64771,4.14240130643258e-06,0.10156551543128875,0.5161260440629294,2.954729240509324e-05
zscore_60,-1.5:-1.0,30,64750,3.9989125432109746e-05,0.8869111969111969,0.5179459459459459,5.3952488720218274e-05
zscore_60,-1.5:-1.0,60,64647,2.4470187973703234e-05,1.122573359939363,0.5209058424984918,8.09151356341979e-05
zscore_60,-2.0:-1.5,1,45138,-1.6812127333818217e-06,-0.024513713500819722,0.496056537728743,2.0135318663344836e-06
zscore_60,-2.0:-1.5,3,45138,-5.734583052560839e-07,-0.021860738180690342,0.5040763879657938,5.480696282565072e-06
zscore_60,-2.0:-1.5,5,45137,-9.439644535703556e-07,-0.047411214746217074,0.5110219996898332,9.594866207337035e-06
zscore_60,-2.0:-1.5,10,45133,-3.4461509167513127e-06,-0.10197638091861831,0.5134823743159107,-1.539624020535451e-07
zscore_60,-2.0:-1.5,20,45125,-3.824108536822493e-06,-0.15216066481994459,0.5150138504155125,-4.61136830408267e-07
zscore_60,-2.0:-1.5,30,45118,2.65651501451562e-05,0.23529411764705874,0.5210780619708321,-4.565606507037091e-06
zscore_60,-2.0:-1.5,60,45068,9.482659840957576e-05,1.7033815567586759,0.5304428863051389,9.756595380197052e-05
zscore_60,-2.5:-2.0,1,23204,1.4486184307452e-06,0.04271892777107395,0.5078865712808136,-9.729430338945593e-07
zscore_60,-2.5:-2.0,3,23204,5.285682585750842e-06,0.10074771591104979,0.5109463885536977,1.4096426850651378e-05
zscore_60,-2.5:-2.0,5,23204,1.2594307688454891e-05,0.20442596104119976,0.5150405102568523,1.3165426857981106e-05
zscore_60,-2.5:-2.0,10,23204,2.2716366698960287e-05,0.380397776245475,0.519781072228926,3.7652137434292704e-05
zscore_60,-2.5:-2.0,20,23202,2.3561206342976587e-05,0.49291009395741747,0.5191793810878372,7.834196822388888e-05
zscore_60,-2.5:-2.0,30,23193,4.4007341946129887e-05,0.8456215237356098,0.5286508860432027,7.812595400208885e-05
zscore_60,-2.5:-2.0,60,23156,9.312857180015336e-05,1.754307738814994,0.5349801347382968,2.6692784390306527e-05
zscore_60,0:1.0,1,147922,4.6673756170986e-07,0.016561093008477433,0.49597760982139233,1.3524870022041094e-06
zscore_60,0:1.0,3,147904,-4.124714166301971e-08,0.024722117048896583,0.5045908156642146,1.5549162811643272e-06
zscore_60,0:1.0,5,147881,6.026753199656599e-06,0.12869300315794457,0.5087468978435363,5.8555411256360795e-06
zscore_60,0:1.0,10,147830,1.272953941108073e-05,0.27516573090712304,0.5125955489413515,1.7703372087108347e-05
zscore_60,0:1.0,20,147738,2.809878849193177e-05,0.539757882196862,0.5195210440103426,2.965731127643378e-05
zscore_60,0:1.0,30,147638,3.09426441900591e-05,0.46469066229561495,0.5211598639916553,6.368854773513981e-05
zscore_60,0:1.0,60,147510,6.358076884697617e-05,0.9962138160124737,0.524405125076266,4.7265979876590074e-05
zscore_60,1.0:1.5,1,80227,2.524053777996567e-06,0.01246151544991088,0.493674199459035,-1.1342877294174822e-06
zscore_60,1.0:1.5,3,80223,7.121471354511731e-06,0.06872094037869439,0.5021627214140583,4.644040167930252e-06
zscore_60,1.0:1.5,5,80220,1.1872915048895655e-05,0.15451882323610072,0.5028920468711044,1.3727918644727734e-05
zscore_60,1.0:1.5,10,80217,1.8677194042559172e-05,0.26096089357617464,0.5092062779710037,1.9601776678411954e-05
zscore_60,1.0:1.5,20,80205,3.8582600949972616e-05,0.5806495854373169,0.5201047316252104,4.568843356684044e-05
zscore_60,1.0:1.5,30,80195,5.178699459513701e-05,0.9175665565184862,0.5253694120581084,6.183352591264873e-05
zscore_60,1.0:1.5,60,80113,8.571441508184016e-05,1.3724894836044088,0.528191429605682,0.00010676542036466129
zscore_60,1.5:2.0,1,54179,1.4424787123919764e-06,0.04115524465198691,0.4934384170988759,3.95193908448892e-06
zscore_60,1.5:2.0,3,54176,4.570193765416247e-06,0.08934306704075605,0.50247341996456,5.927985549545316e-06
zscore_60,1.5:2.0,5,54172,3.4085873157928573e-06,0.08002750498412464,0.5037473233404711,1.1488002757498053e-05
zscore_60,1.5:2.0,10,54165,1.081757394912324e-05,0.1886734976460814,0.5100341548970737,1.776529963619673e-05
zscore_60,1.5:2.0,20,54164,4.3314346240516414e-05,0.6842644560963002,0.5220256997267558,4.670252492720397e-05
zscore_60,1.5:2.0,30,54159,6.537971340138048e-05,1.0505963921047288,0.5252312635019111,7.943053620804687e-05
zscore_60,1.5:2.0,60,54114,9.026843505230086e-05,1.5126723213955724,0.5285138781091769,0.00012702893217155
zscore_60,2.0:2.5,1,24273,3.3662379847227455e-06,0.034565154698636344,0.4872080088987764,1.7444779116160306e-06
zscore_60,2.0:2.5,3,24271,8.699757768244089e-06,0.1282394627333031,0.5010918379959622,1.1132736982622432e-05
zscore_60,2.0:2.5,5,24271,5.665735019266902e-06,0.0805179020229904,0.5048823699064727,5.527269276212252e-06
zscore_60,2.0:2.5,10,24268,9.001204102459828e-06,0.08310326355694742,0.5107136970496127,2.0326063141296907e-05
zscore_60,2.0:2.5,20,24268,4.372628002234317e-06,-0.12917216087028185,0.5097247403988792,3.3227576733692435e-07
zscore_60,2.0:2.5,30,24264,2.3387100222049855e-05,-0.007758407517309519,0.5215957797560171,1.9804779862434608e-05
zscore_60,2.0:2.5,60,24232,6.782763852794523e-05,0.6124855562892043,0.5302079894354572,6.83396693706568e-05
zscore_60,<=-2.5,1,16250,3.540373447272719e-06,0.12498461538461539,0.5121846153846153,9.89575884631205e-06
zscore_60,<=-2.5,3,16250,1.0729945867287323e-05,0.3116923076923077,0.5152,3.416478516460664e-05
zscore_60,<=-2.5,5,16250,2.4164414215303222e-05,0.6174461538461539,0.5195692307692308,4.908334560470107e-05
zscore_60,<=-2.5,10,16250,1.2661907009555149e-05,0.4064,0.5139076923076923,5.5485247327086154e-05
zscore_60,<=-2.5,20,16250,-1.1227804339729017e-05,0.13501538461538465,0.517723076923077,-4.482905510014977e-07
zscore_60,<=-2.5,30,16246,-6.841921678595722e-05,-0.6384494644835652,0.509725470885141,-3.204071563693332e-05
zscore_60,<=-2.5,60,16231,4.011921975197032e-06,0.6073100856385928,0.516788860821884,6.1001787483149545e-05
zscore_60,>=2.5,1,14649,-5.785446282607443e-06,-0.11365963546999795,0.4833777049627961,-9.087737936906723e-06
zscore_60,>=2.5,3,14649,-2.4730724850395616e-05,-0.40693904020752275,0.48931667690627345,-3.568097592632723e-05
zscore_60,>=2.5,5,14649,-3.8169207481038636e-05,-0.6454877466038638,0.49709877807358865,-6.402038996236191e-05
zscore_60,>=2.5,10,14649,-2.7694667561842982e-05,-0.4372482763328555,0.5064509522834323,-3.8411245318682206e-05
zscore_60,>=2.5,20,14649,-4.595373676375659e-06,0.030718820397296745,0.5092497781418527,-5.99856997793405e-05
zscore_60,>=2.5,30,14649,3.42086987869516e-05,0.5629735818144583,0.5150522219946754,7.669622943262123e-06
zscore_60,>=2.5,60,14626,9.960307236487298e-05,1.4491316833037058,0.5214002461370163,0.00012432151244725
