condition,condition_value,horizon_bars,total_observations,pooled_mean_return,pooled_mean_displacement,pooled_win_rate_positive,median_window_mean_return
zscore_30,-1.0:0,1,136265,3.0837022647336525e-06,0.05884306314901112,0.4952115363446226,2.459889436932087e-06
zscore_30,-1.0:0,3,136260,3.697540551995344e-06,0.05475194481138999,0.501783355350066,-1.0599435930595052e-07
zscore_30,-1.0:0,5,136250,2.069539972893567e-06,0.023088073394495427,0.5039853211009174,1.102831289800062e-06
zscore_30,-1.0:0,10,136223,8.502509103552637e-06,0.17610095211528157,0.51080214060768,3.781939434746085e-06
zscore_30,-1.0:0,20,136169,2.120130397856857e-05,0.3663829505981538,0.5166961643252135,1.312720688345546e-05
zscore_30,-1.0:0,30,136099,4.5897997496822586e-05,0.8308749513221992,0.5210545264843974,3.9719721298401084e-05
zscore_30,-1.0:0,60,135897,7.75859712532276e-05,1.4406683002568121,0.5249931933743939,9.791491366748057e-05
zscore_30,-1.5:-1.0,1,67469,-2.174904870599603e-07,-0.006421467636988829,0.4962723621218634,-4.566321665639491e-07
zscore_30,-1.5:-1.0,3,67462,4.9474023054790535e-06,0.0963283033411402,0.5064036049924402,7.382089515940316e-06
zscore_30,-1.5:-1.0,5,67458,9.16577635811621e-06,0.17181431409173115,0.5126300809392511,1.188703113623548e-05
zscore_30,-1.5:-1.0,10,67448,1.583129385432357e-05,0.2555153599810224,0.5141887083382755,3.548739481574568e-05
zscore_30,-1.5:-1.0,20,67433,3.081655637476638e-05,0.43985140806430084,0.5150593922856761,5.9388135077184065e-05
zscore_30,-1.5:-1.0,30,67407,6.704165848697795e-05,1.0604239915735754,0.5208361149435519,7.916351378014553e-05
zscore_30,-1.5:-1.0,60,67329,9.808410355037545e-05,1.8955687742280445,0.5258506735581993,0.0001547086512185
zscore_30,-2.0:-1.5,1,48123,-1.3959548220423176e-06,-0.0029351869168588885,0.5008831535856035,9.488392114475853e-06
zscore_30,-2.0:-1.5,3,48117,-2.1963258301442628e-06,-0.02643036764553068,0.5075960679177838,1.6984042903279182e-06
zscore_30,-2.0:-1.5,5,48115,1.2198984130848695e-06,0.012896186220513358,0.5151408084796841,7.815744151168002e-06
zscore_30,-2.0:-1.5,10,48112,1.0605699913477376e-05,0.1914439225141337,0.5144454605919521,8.435573275143905e-06
zscore_30,-2.0:-1.5,20,48096,1.6607446654080304e-05,0.3813310878243513,0.5159680638722555,2.3963578549174938e-05
zscore_30,-2.0:-1.5,30,48080,3.339518274475699e-05,0.6463654326123128,0.5213602329450915,2.9427134728990498e-05
zscore_30,-2.0:-1.5,60,48045,4.642111131553829e-05,1.0639660734727863,0.5271932563221979,0.00010549521912475
zscore_30,-2.5:-2.0,1,23154,7.72653674361826e-06,0.14334456249460137,0.5133022371944372,6.5271781531302e-06
zscore_30,-2.5:-2.0,3,23153,2.2231111580340356e-05,0.3974430959270937,0.5207100591715976,2.8717739343651707e-05
zscore_30,-2.5:-2.0,5,23152,4.448662242641341e-05,0.8466871112646855,0.5226330338631652,4.8407641611838053e-05
zscore_30,-2.5:-2.0,10,23148,3.6318876653814185e-05,0.6716130983238293,0.5222049421116295,4.5837486481557093e-05
zscore_30,-2.5:-2.0,20,23143,6.798915898350983e-05,1.1758307047487362,0.5231387460571231,8.958146085282481e-05
