window,events,assigned,coverage_pct
1,37505,37505,100.0
2,37534,37534,100.0
3,37534,37534,100.0
4,37534,37534,100.0
5,37534,37534,100.0
6,37534,37534,100.0
7,37534,37534,100.0
8,37534,37534,100.0
9,37534,37534,100.0
10,37534,37534,100.0
11,37534,37534,100.0
12,37534,37534,100.0
13,37534,37534,100.0
14,37534,37534,100.0
15,37534,37534,100.0
16,37534,37534,100.0
17,37534,37534,100.0
18,37534,37534,100.0
19,37534,37534,100.0
20,37534,37534,100.0
21,37533,37533,100.0
22,37533,37533,100.0
